projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Unknown Test;genKeyRingCollection;67-93;67-93
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Unknown Test;authN;95-127;95-127
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Unknown Test;symmetricCryption;129-163;129-163
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Verbose Test;authN;95-127;95-127
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Verbose Test;symmetricCryption;129-163;129-163
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Conditional Test Logic;symmetricCryption;144-144;144-144
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Conditional Test Logic;symmetricCryption;156-156;156-156
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Exception Catching Throwing;symmetricCryption;134-162;134-162
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;genKeyRingCollection;87;87
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;authN;114;114
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;authN;118;118
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;authN;119;119
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;authN;120;120
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;authN;121;121
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;authN;123;123
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;authN;124;124
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;authN;125;125
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;authN;126;126
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;symmetricCryption;133;133
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;symmetricCryption;144;144
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;symmetricCryption;146;146
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;symmetricCryption;156;156
1m5-core;KeyRingServiceTest;C:\Users\cebec\.jnose_projects\1m5-core\src\test\java\io\onemfive\core\keyring\KeyRingServiceTest.java;C:\Users\cebec\.jnose_projects\1m5-core\src\main\java\io\onemfive\core\keyring\KeyRingService.java;JUnit4;203;9;Print Statement;symmetricCryption;159;159
