projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
2checkout-java;TwocheckoutTest;C:\Users\cebec\.jnose_projects\2checkout-java\src\test\java\com\twocheckout\TwocheckoutTest.java;C:\Users\cebec\.jnose_projects\2checkout-java\src\main\java\com\twocheckout\Twocheckout.java;JUnit4;234;17;Assertion Roulette;testSaleRetrieve;29-29;29-29
2checkout-java;TwocheckoutTest;C:\Users\cebec\.jnose_projects\2checkout-java\src\test\java\com\twocheckout\TwocheckoutTest.java;C:\Users\cebec\.jnose_projects\2checkout-java\src\main\java\com\twocheckout\Twocheckout.java;JUnit4;234;17;Assertion Roulette;testSaleRetrieve;26-26;26-26
2checkout-java;TwocheckoutTest;C:\Users\cebec\.jnose_projects\2checkout-java\src\test\java\com\twocheckout\TwocheckoutTest.java;C:\Users\cebec\.jnose_projects\2checkout-java\src\main\java\com\twocheckout\Twocheckout.java;JUnit4;234;17;Assertion Roulette;testInvoiceRetrieve;40-40;40-40
2checkout-java;TwocheckoutTest;C:\Users\cebec\.jnose_projects\2checkout-java\src\test\java\com\twocheckout\TwocheckoutTest.java;C:\Users\cebec\.jnose_projects\2checkout-java\src\main\java\com\twocheckout\Twocheckout.java;JUnit4;234;17;Assertion Roulette;testInvoiceRetrieve;37-37;37-37
2checkout-java;TwocheckoutTest;C:\Users\cebec\.jnose_projects\2checkout-java\src\test\java\com\twocheckout\TwocheckoutTest.java;C:\Users\cebec\.jnose_projects\2checkout-java\src\main\java\com\twocheckout\Twocheckout.java;JUnit4;234;17;Assertion Roulette;testInvoiceRefund;56-56;56-56
2checkout-java;TwocheckoutTest;C:\Users\cebec\.jnose_projects\2checkout-java\src\test\java\com\twocheckout\TwocheckoutTest.java;C:\Users\cebec\.jnose_projects\2checkout-java\src\main\java\com\twocheckout\Twocheckout.java;JUnit4;234;17;Assertion Roulette;testInvoiceRefund;53-53;53-53
2checkout-java;TwocheckoutTest;C:\Users\cebec\.jnose_projects\2checkout-java\src\test\java\com\twocheckout\TwocheckoutTest.java;C:\Users\cebec\.jnose_projects\2checkout-java\src\main\java\com\twocheckout\Twocheckout.java;JUnit4;234;17;Assertion Roulette;testSaleRefund;71-71;71-71
2checkout-java;TwocheckoutTest;C:\Users\cebec\.jnose_projects\2checkout-java\src\test\java\com\twocheckout\TwocheckoutTest.java;C:\Users\cebec\.jnose_projects\2checkout-java\src\main\java\com\twocheckout\Twocheckout.java;JUnit4;234;17;Assertion Roulette;testSaleRefund;68-68;68-68
2checkout-java;TwocheckoutTest;C:\Users\cebec\.jnose_projects\2checkout-java\src\test\java\com\twocheckout\TwocheckoutTest.java;C:\Users\cebec\.jnose_projects\2checkout-java\src\main\java\com\twocheckout\Twocheckout.java;JUnit4;234;17;Assertion Roulette;testSaleStop;79-79;79-79
2checkout-java;TwocheckoutTest;C:\Users\cebec\.jnose_projects\2checkout-java\src\test\java\com\twocheckout\TwocheckoutTest.java;C:\Users\cebec\.jnose_projects\2checkout-java\src\main\java\com\twocheckout\Twocheckout.java;JUnit4;234;17;Assertion Roulette;testLineitemStop;95-95;95-95
2checkout-java;TwocheckoutTest;C:\Users\cebec\.jnose_projects\2checkout-java\src\test\java\com\twocheckout\TwocheckoutTest.java;C:\Users\cebec\.jnose_projects\2checkout-java\src\main\java\com\twocheckout\Twocheckout.java;JUnit4;234;17;Assertion Roulette;testLineitemStop;92-92;92-92
2checkout-java;TwocheckoutTest;C:\Users\cebec\.jnose_projects\2checkout-java\src\test\java\com\twocheckout\TwocheckoutTest.java;C:\Users\cebec\.jnose_projects\2checkout-java\src\main\java\com\twocheckout\Twocheckout.java;JUnit4;234;17;Assertion Roulette;testLineitemRefund;114-114;114-114
2checkout-java;TwocheckoutTest;C:\Users\cebec\.jnose_projects\2checkout-java\src\test\java\com\twocheckout\TwocheckoutTest.java;C:\Users\cebec\.jnose_projects\2checkout-java\src\main\java\com\twocheckout\Twocheckout.java;JUnit4;234;17;Assertion Roulette;testLineitemRefund;111-111;111-111
