projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
3scale_ws_api_for_java;ParameterEncoderTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\impl\ParameterEncoderTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ParameterEncoder.java;JUnit4;113;8;Verbose Test;testEncodingAnArray;75-112;75-112
3scale_ws_api_for_java;ParameterEncoderTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\impl\ParameterEncoderTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ParameterEncoder.java;JUnit4;113;8;Assertion Roulette;testEncodeOneParameter;33-33;33-33
3scale_ws_api_for_java;ParameterEncoderTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\impl\ParameterEncoderTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ParameterEncoder.java;JUnit4;113;8;Assertion Roulette;testEncodeTwoParameters;42-42;42-42
3scale_ws_api_for_java;ParameterEncoderTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\impl\ParameterEncoderTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ParameterEncoder.java;JUnit4;113;8;Assertion Roulette;testEncodeTwoParametersAndOneMap;55-55;55-55
3scale_ws_api_for_java;ParameterEncoderTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\impl\ParameterEncoderTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ParameterEncoder.java;JUnit4;113;8;Assertion Roulette;testEncodeTwoParametersAndTwoMap;70-72;70-72
3scale_ws_api_for_java;ParameterEncoderTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\impl\ParameterEncoderTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ParameterEncoder.java;JUnit4;113;8;Assertion Roulette;testEncodingAnArray;110-110;110-110
3scale_ws_api_for_java;ParameterEncoderTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\impl\ParameterEncoderTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ParameterEncoder.java;JUnit4;113;8;General Fixture;setup;25;25
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Magic Number Test;test_successful_authorize;163;163
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Magic Number Test;test_authorize_metric_period_eternity;283;283
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Magic Number Test;test_successful_oauth_authorize;349;349
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Verbose Test;test_successful_authorize;130-176;130-176
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Verbose Test;test_authorize_with_exceeded_usage_limits;198-236;198-236
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Verbose Test;test_authorize_metric_period_eternity;257-291;257-291
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Verbose Test;test_successful_oauth_authorize;307-362;307-362
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Verbose Test;test_oauth_authorize_with_exceeded_usage_limits;364-405;364-405
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Verbose Test;test_report_encodes_transactions;466-503;466-503
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Lazy Test;test_custom_host, test_default_host;58, 51;58, 51
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Lazy Test;test_custom_host, test_default_host;58, 51;58, 51
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Lazy Test;test_custom_host, test_default_host;58, 51;58, 51
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Lazy Test;test_custom_host, test_default_host;58, 51;58, 51
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_default_host;53-53;53-53
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_custom_host;60-60;60-60
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authrep_with_app_keys;126-126;126-126
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize;161-161;161-161
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize;162-162;162-162
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize;163-163;163-163
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize;165-165;165-165
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize;166-166;166-166
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize;167-167;167-167
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize;168-168;168-168
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize;169-169;169-169
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize;171-171;171-171
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize;172-172;172-172
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize;173-173;173-173
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize;174-174;174-174
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize;175-175;175-175
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_authorize_with_app_keys;195-195;195-195
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_authorize_with_exceeded_usage_limits;233-233;233-233
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_authorize_with_exceeded_usage_limits;234-234;234-234
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_authorize_with_exceeded_usage_limits;235-235;235-235
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_authorize_with_invalid_app_id;251-251;251-251
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_authorize_with_invalid_app_id;252-252;252-252
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_authorize_with_invalid_app_id;253-253;253-253
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_authorize_metric_period_eternity;280-280;280-280
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_authorize_metric_period_eternity;282-282;282-282
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_authorize_metric_period_eternity;283-283;283-283
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_authorize_metric_period_eternity;285-285;285-285
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_authorize_metric_period_eternity;286-286;286-286
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_authorize_metric_period_eternity;288-288;288-288
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_authorize_metric_period_eternity;289-289;289-289
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;343-343;343-343
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;345-345;345-345
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;346-346;346-346
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;348-348;348-348
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;349-349;349-349
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;351-351;351-351
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;352-352;352-352
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;353-353;353-353
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;354-354;354-354
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;355-355;355-355
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;357-357;357-357
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;358-358;358-358
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;359-359;359-359
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;360-360;360-360
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_successful_oauth_authorize;361-361;361-361
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_oauth_authorize_with_exceeded_usage_limits;402-402;402-402
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_oauth_authorize_with_exceeded_usage_limits;403-403;403-403
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_oauth_authorize_with_exceeded_usage_limits;404-404;404-404
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_oauth_authorize_with_invalid_app_id;421-421;421-421
3scale_ws_api_for_java;ServiceApiDriverTest;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\test\java\threescale\v3\api\ServiceApiDriverTest.java;C:\Users\cebec\.jnose_projects\3scale_ws_api_for_java\src\main\java\threescale\v3\api\impl\ServiceApiDriver.java;JUnit4;635;33;Assertion Roulette;test_oauth_authorize_with_invalid_app_id;422-422;422-422
