projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Verbose Test;testMatches;38-74;38-74
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;40-40;40-40
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;41-41;41-41
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;42-42;42-42
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;43-43;43-43
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;44-44;44-44
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;46-46;46-46
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;47-47;47-47
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;49-49;49-49
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;50-50;50-50
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;51-51;51-51
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;52-52;52-52
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;54-54;54-54
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;55-55;55-55
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;56-56;56-56
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;58-58;58-58
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;59-59;59-59
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;61-61;61-61
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;62-62;62-62
ALauncher;DefaultAppSearchAlgorithmTest;C:\Users\cebec\.jnose_projects\ALauncher\app\src\tests\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithmTest.java;C:\Users\cebec\.jnose_projects\ALauncher\app\src\main\java\com\android\launcher3\allapps\search\DefaultAppSearchAlgorithm.java;JUnit4;99;4;Assertion Roulette;testMatches;65-65;65-65
