projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;Unknown Test;sendsPrivacyViolation;66-73;66-73
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;Unknown Test;sendsLocalityViolation;75-83;75-83
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;Unknown Test;sendsInputArgsViolation;85-92;85-92
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;Unknown Test;canBackupDB;103-110;103-110
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;Redundant Assertion;canEditUser;294-294;294-294
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;Lazy Test;canEditUser, canAddUser;293, 270;293, 270
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;Lazy Test;bannedCreatorPassesBlacklistCheck, userGetsBannedIfClaimsBot, cannotBanCreator, canUnbanUser, canBanUser;247, 236, 204, 182, 176, 168;247, 236, 204, 182, 176, 168
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;Lazy Test;canBlockAdminsFromCreatorAbilities, userGetsBannedIfClaimsBot, creatorCanClaimBot, canPromote, canDemote;359, 240, 223, 156, 143, 137;359, 240, 223, 156, 143, 137
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;Eager Test;userGetsBannedIfClaimsBot;236, 240;236, 240
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;Eager Test;canAddUser;270, 271;270, 271
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;Assertion Roulette;canProcessRepliesIfSatisfyRequirements;99-99;99-99
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;Assertion Roulette;canFilterOutReplies;131-131;131-131
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;General Fixture;setUp;60;60
AbilityBots;AbilityBotTest;C:\Users\cebec\.jnose_projects\AbilityBots\src\test\java\org\telegram\abilitybots\api\bot\AbilityBotTest.java;C:\Users\cebec\.jnose_projects\AbilityBots\src\main\java\org\telegram\abilitybots\api\bot\AbilityBot.java;JUnit4;588;49;General Fixture;setUp;62;62
