projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
AdobeSignJavaSdk;AgreementsApiTest;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\test\java\io\swagger\client\api\AgreementsApiTest.java;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\main\java\io\swagger\client\api\AgreementsApi.java;JUnit4;874;39;Unknown Test;addTemplateFieldsToAgreementTest;88-99;88-99
AdobeSignJavaSdk;AgreementsApiTest;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\test\java\io\swagger\client\api\AgreementsApiTest.java;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\main\java\io\swagger\client\api\AgreementsApi.java;JUnit4;874;39;Unknown Test;createAgreementTest;109-118;109-118
AdobeSignJavaSdk;AgreementsApiTest;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\test\java\io\swagger\client\api\AgreementsApiTest.java;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\main\java\io\swagger\client\api\AgreementsApi.java;JUnit4;874;39;Unknown Test;createAgreementViewTest;128-138;128-138
AdobeSignJavaSdk;AgreementsApiTest;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\test\java\io\swagger\client\api\AgreementsApiTest.java;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\main\java\io\swagger\client\api\AgreementsApi.java;JUnit4;874;39;Unknown Test;createDelegatedParticipantSetsTest;148-158;148-158
AdobeSignJavaSdk;AgreementsApiTest;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\test\java\io\swagger\client\api\AgreementsApiTest.java;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\main\java\io\swagger\client\api\AgreementsApi.java;JUnit4;874;39;Unknown Test;createReminderOnParticipantTest;168-178;168-178
AdobeSignJavaSdk;AgreementsApiTest;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\test\java\io\swagger\client\api\AgreementsApiTest.java;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\main\java\io\swagger\client\api\AgreementsApi.java;JUnit4;874;39;Unknown Test;createShareOnAgreementTest;188-198;188-198
AdobeSignJavaSdk;AgreementsApiTest;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\test\java\io\swagger\client\api\AgreementsApiTest.java;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\main\java\io\swagger\client\api\AgreementsApi.java;JUnit4;874;39;Unknown Test;deleteDocumentsTest;208-218;208-218
AdobeSignJavaSdk;AgreementsApiTest;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\test\java\io\swagger\client\api\AgreementsApiTest.java;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\main\java\io\swagger\client\api\AgreementsApi.java;JUnit4;874;39;Unknown Test;getAgreementInfoTest;228-238;228-238
AdobeSignJavaSdk;AgreementsApiTest;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\test\java\io\swagger\client\api\AgreementsApiTest.java;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\main\java\io\swagger\client\api\AgreementsApi.java;JUnit4;874;39;Unknown Test;getAgreementNoteForApiUserTest;248-257;248-257
AdobeSignJavaSdk;AgreementsApiTest;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\test\java\io\swagger\client\api\AgreementsApiTest.java;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\main\java\io\swagger\client\api\AgreementsApi.java;JUnit4;874;39;Unknown Test;getAgreementReminderTest;267-277;267-277
AdobeSignJavaSdk;AgreementsApiTest;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\test\java\io\swagger\client\api\AgreementsApiTest.java;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\main\java\io\swagger\client\api\AgreementsApi.java;JUnit4;874;39;Unknown Test;getAgreementRemindersTest;287-297;287-297
AdobeSignJavaSdk;AgreementsApiTest;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\test\java\io\swagger\client\api\AgreementsApiTest.java;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\main\java\io\swagger\client\api\AgreementsApi.java;JUnit4;874;39;Unknown Test;getAgreementSecurityOptionsForParticipationTest;307-318;307-318
AdobeSignJavaSdk;AgreementsApiTest;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\test\java\io\swagger\client\api\AgreementsApiTest.java;C:\Users\cebec\.jnose_projects\AdobeSignJavaSdk\src\main\java\io\swagger\client\api\AgreementsApi.java;JUnit4;874;39;Unknown Test;getAgreementsTest;328-340;328-340
