projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
AirMapView;AirMapTypeTest;C:\Users\cebec\.jnose_projects\AirMapView\library\src\test\java\com\airbnb\android\airmapview\AirMapTypeTest.java;C:\Users\cebec\.jnose_projects\AirMapView\library\src\main\java\com\airbnb\android\airmapview\AirMapType.java;JUnit4;35;2;Unknown Test;shouldConvertToBundle;15-23;15-23
AirMapView;AirMapTypeTest;C:\Users\cebec\.jnose_projects\AirMapView\library\src\test\java\com\airbnb\android\airmapview\AirMapTypeTest.java;C:\Users\cebec\.jnose_projects\AirMapView\library\src\main\java\com\airbnb\android\airmapview\AirMapType.java;JUnit4;35;2;Assertion Roulette;shouldConstructFromBundle;33-33;33-33
AirMapView;DefaultAirMapViewBuilderTest;C:\Users\cebec\.jnose_projects\AirMapView\library\src\test\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilderTest.java;C:\Users\cebec\.jnose_projects\AirMapView\library\src\main\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilder.java;JUnit4;41;6;Lazy Test;shouldReturnWebAirMapViewWhenRequestedExplicitly, shouldThrowWhenRequestedNativeWebViewAndNotSupported, shouldReturnNativeAirMapViewWhenRequestedExplicitly, shouldReturnWebAirMapViewIfDefaultNotSupported, shouldReturnNativeAirMapViewByDefault;37, 32, 25, 20, 15;37, 32, 25, 20, 15
AirMapView;DefaultAirMapViewBuilderTest;C:\Users\cebec\.jnose_projects\AirMapView\library\src\test\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilderTest.java;C:\Users\cebec\.jnose_projects\AirMapView\library\src\main\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilder.java;JUnit4;41;6;Lazy Test;shouldReturnWebAirMapViewWhenRequestedExplicitly, shouldThrowWhenRequestedNativeWebViewAndNotSupported, shouldReturnNativeAirMapViewWhenRequestedExplicitly, shouldReturnWebAirMapViewIfDefaultNotSupported, shouldReturnNativeAirMapViewByDefault;38, 33, 26, 21, 16;38, 33, 26, 21, 16
AirMapView;DefaultAirMapViewBuilderTest;C:\Users\cebec\.jnose_projects\AirMapView\library\src\test\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilderTest.java;C:\Users\cebec\.jnose_projects\AirMapView\library\src\main\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilder.java;JUnit4;41;6;Eager Test;shouldReturnNativeAirMapViewByDefault;15, 16;15, 16
AirMapView;DefaultAirMapViewBuilderTest;C:\Users\cebec\.jnose_projects\AirMapView\library\src\test\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilderTest.java;C:\Users\cebec\.jnose_projects\AirMapView\library\src\main\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilder.java;JUnit4;41;6;Eager Test;shouldReturnWebAirMapViewIfDefaultNotSupported;20, 21;20, 21
AirMapView;DefaultAirMapViewBuilderTest;C:\Users\cebec\.jnose_projects\AirMapView\library\src\test\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilderTest.java;C:\Users\cebec\.jnose_projects\AirMapView\library\src\main\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilder.java;JUnit4;41;6;Eager Test;shouldReturnNativeAirMapViewWhenRequestedExplicitly;25, 26;25, 26
AirMapView;DefaultAirMapViewBuilderTest;C:\Users\cebec\.jnose_projects\AirMapView\library\src\test\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilderTest.java;C:\Users\cebec\.jnose_projects\AirMapView\library\src\main\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilder.java;JUnit4;41;6;Eager Test;shouldThrowWhenRequestedNativeWebViewAndNotSupported;32, 33;32, 33
AirMapView;DefaultAirMapViewBuilderTest;C:\Users\cebec\.jnose_projects\AirMapView\library\src\test\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilderTest.java;C:\Users\cebec\.jnose_projects\AirMapView\library\src\main\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilder.java;JUnit4;41;6;Eager Test;shouldReturnWebAirMapViewWhenRequestedExplicitly;37, 38;37, 38
AirMapView;DefaultAirMapViewBuilderTest;C:\Users\cebec\.jnose_projects\AirMapView\library\src\test\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilderTest.java;C:\Users\cebec\.jnose_projects\AirMapView\library\src\main\java\com\airbnb\android\airmapview\DefaultAirMapViewBuilder.java;JUnit4;41;6;Assertion Roulette;shouldReturnNativeAirMapViewByDefault;16-16;16-16
