projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
Android-GeoGson;GeometryCollectionTest;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\test\java\com\cube\geojson\test\GeometryCollectionTest.java;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\main\java\com\cube\geojson\GeometryCollection.java;JUnit4;32;2;Assertion Roulette;itShouldSerialize;30-30;30-30
Android-GeoGson;LineStringTest;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\test\java\com\cube\geojson\test\LineStringTest.java;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\main\java\com\cube\geojson\LineString.java;JUnit4;36;3;Magic Number Test;itShouldDeserializeLineString;33;33
Android-GeoGson;LineStringTest;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\test\java\com\cube\geojson\test\LineStringTest.java;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\main\java\com\cube\geojson\LineString.java;JUnit4;36;3;Magic Number Test;itShouldDeserializeLineString;34;34
Android-GeoGson;LineStringTest;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\test\java\com\cube\geojson\test\LineStringTest.java;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\main\java\com\cube\geojson\LineString.java;JUnit4;36;3;Assertion Roulette;itShouldSerializeMultiPoint;24-24;24-24
Android-GeoGson;LineStringTest;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\test\java\com\cube\geojson\test\LineStringTest.java;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\main\java\com\cube\geojson\LineString.java;JUnit4;36;3;Assertion Roulette;itShouldDeserializeLineString;31-31;31-31
Android-GeoGson;MultiLineStringTest;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\test\java\com\cube\geojson\test\MultiLineStringTest.java;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\main\java\com\cube\geojson\MultiLineString.java;JUnit4;25;2;Eager Test;itShouldSerialize;20, 22;20, 22
Android-GeoGson;MultiLineStringTest;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\test\java\com\cube\geojson\test\MultiLineStringTest.java;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\main\java\com\cube\geojson\MultiLineString.java;JUnit4;25;2;Assertion Roulette;itShouldSerialize;23-23;23-23
Android-GeoGson;MultiPointTest;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\test\java\com\cube\geojson\test\MultiPointTest.java;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\main\java\com\cube\geojson\MultiPoint.java;JUnit4;35;3;Magic Number Test;itShouldDeserializeMultiPoint;32;32
Android-GeoGson;MultiPointTest;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\test\java\com\cube\geojson\test\MultiPointTest.java;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\main\java\com\cube\geojson\MultiPoint.java;JUnit4;35;3;Magic Number Test;itShouldDeserializeMultiPoint;33;33
Android-GeoGson;MultiPointTest;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\test\java\com\cube\geojson\test\MultiPointTest.java;C:\Users\cebec\.jnose_projects\Android-GeoGson\library\src\main\java\com\cube\geojson\MultiPoint.java;JUnit4;35;3;Assertion Roulette;itShouldSerializeMultiPoint;23-23;23-23
