projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
AndroidLocalizePlugin;GoogleTokenTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\impl\google\GoogleTokenTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\impl\google\GoogleToken.java;JUnit5;22;1;Assertion Roulette;getToken;18-18;18-18
AndroidLocalizePlugin;GoogleTokenTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\impl\google\GoogleTokenTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\impl\google\GoogleToken.java;JUnit5;22;1;Assertion Roulette;getToken;19-19;19-19
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;IgnoredTest;testEmpty;Kas.17;Kas.17
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;IgnoredTest;testFull;19-26;19-26
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;IgnoredTest;testPut;28-41;28-41
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;Assertion Roulette;testEmpty;14-14;14-14
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;Assertion Roulette;testEmpty;15-15;15-15
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;Assertion Roulette;testEmpty;16-16;16-16
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;Assertion Roulette;testFull;23-23;23-23
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;Assertion Roulette;testFull;24-24;24-24
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;Assertion Roulette;testFull;25-25;25-25
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;Assertion Roulette;testPut;35-35;35-35
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;Assertion Roulette;testPut;36-36;36-36
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;Assertion Roulette;testPut;37-37;37-37
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;Assertion Roulette;testPut;38-38;38-38
AndroidLocalizePlugin;LRUCacheTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\LRUCacheTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\LRUCache.java;JUnit5;42;3;Assertion Roulette;testPut;40-40;40-40
AndroidLocalizePlugin;UrlBuilderTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\UrlBuilderTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\UrlBuilder.java;JUnit5;45;4;Lazy Test;testRepeatParameterBuild, testSomeParameterBuild, testSingleParameterBuild, testNoParameterBuild;38, 27, 19, 12;38, 27, 19, 12
AndroidLocalizePlugin;UrlBuilderTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\UrlBuilderTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\UrlBuilder.java;JUnit5;45;4;Assertion Roulette;testNoParameterBuild;14-14;14-14
AndroidLocalizePlugin;UrlBuilderTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\UrlBuilderTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\UrlBuilder.java;JUnit5;45;4;Assertion Roulette;testSingleParameterBuild;22-22;22-22
AndroidLocalizePlugin;UrlBuilderTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\UrlBuilderTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\UrlBuilder.java;JUnit5;45;4;Assertion Roulette;testSomeParameterBuild;33-33;33-33
AndroidLocalizePlugin;UrlBuilderTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\translate\util\UrlBuilderTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\translate\util\UrlBuilder.java;JUnit5;45;4;Assertion Roulette;testRepeatParameterBuild;43-43;43-43
AndroidLocalizePlugin;TextUtilTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\utils\TextUtilTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\utils\TextUtil.java;JUnit5;34;1;Assertion Roulette;isEmptyOrSpacesLineBreak;14-14;14-14
AndroidLocalizePlugin;TextUtilTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\utils\TextUtilTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\utils\TextUtil.java;JUnit5;34;1;Assertion Roulette;isEmptyOrSpacesLineBreak;15-15;15-15
AndroidLocalizePlugin;TextUtilTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\utils\TextUtilTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\utils\TextUtil.java;JUnit5;34;1;Assertion Roulette;isEmptyOrSpacesLineBreak;16-16;16-16
AndroidLocalizePlugin;TextUtilTest;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\test\java\com\airsaid\localization\utils\TextUtilTest.java;C:\Users\cebec\.jnose_projects\AndroidLocalizePlugin\src\main\java\com\airsaid\localization\utils\TextUtil.java;JUnit5;34;1;Assertion Roulette;isEmptyOrSpacesLineBreak;17-17;17-17
