projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
ArcGIS-Server-SOS-Extension;TimeConverterTest;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\test\java\org\n52\oxf\valueDomains\time\TimeConverterTest.java;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\main\java\org\n52\oxf\valueDomains\time\TimeConverter.java;JUnit4;51;2;Sensitive Equality;testTimePositionCreation;49-49;49-49
ArcGIS-Server-SOS-Extension;TimeConverterTest;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\test\java\org\n52\oxf\valueDomains\time\TimeConverterTest.java;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\main\java\org\n52\oxf\valueDomains\time\TimeConverter.java;JUnit4;51;2;Assertion Roulette;testTimeZoneHandling;37-37;37-37
ArcGIS-Server-SOS-Extension;TimeConverterTest;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\test\java\org\n52\oxf\valueDomains\time\TimeConverterTest.java;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\main\java\org\n52\oxf\valueDomains\time\TimeConverter.java;JUnit4;51;2;Assertion Roulette;testTimeZoneHandling;40-40;40-40
ArcGIS-Server-SOS-Extension;TimeConverterTest;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\test\java\org\n52\oxf\valueDomains\time\TimeConverterTest.java;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\main\java\org\n52\oxf\valueDomains\time\TimeConverter.java;JUnit4;51;2;Assertion Roulette;testTimePositionCreation;49-49;49-49
ArcGIS-Server-SOS-Extension;PropertyUnitMappingCacheTest;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\test\java\org\n52\sos\cache\PropertyUnitMappingCacheTest.java;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\main\java\org\n52\sos\cache\PropertyUnitMappingCache.java;JUnit4;64;2;Resource Optimism;testSerializationRoundtrip;39-61;39-61
ArcGIS-Server-SOS-Extension;PropertyUnitMappingCacheTest;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\test\java\org\n52\sos\cache\PropertyUnitMappingCacheTest.java;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\main\java\org\n52\sos\cache\PropertyUnitMappingCache.java;JUnit4;64;2;Magic Number Test;testSerializationRoundtrip;52;52
ArcGIS-Server-SOS-Extension;PropertyUnitMappingCacheTest;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\test\java\org\n52\sos\cache\PropertyUnitMappingCacheTest.java;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\main\java\org\n52\sos\cache\PropertyUnitMappingCache.java;JUnit4;64;2;Eager Test;testSerializationRoundtrip;46, 54, 56;46, 54, 56
ArcGIS-Server-SOS-Extension;PropertyUnitMappingCacheTest;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\test\java\org\n52\sos\cache\PropertyUnitMappingCacheTest.java;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\main\java\org\n52\sos\cache\PropertyUnitMappingCache.java;JUnit4;64;2;Assertion Roulette;testSerializationRoundtrip;60-60;60-60
ArcGIS-Server-SOS-Extension;PropertyUnitMappingCacheTest;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\test\java\org\n52\sos\cache\PropertyUnitMappingCacheTest.java;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\main\java\org\n52\sos\cache\PropertyUnitMappingCache.java;JUnit4;64;2;Mystery Guest;testSerializationRoundtrip;39-61;39-61
ArcGIS-Server-SOS-Extension;OutputTest;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\test\java\org\n52\sos\dataTypes\OutputTest.java;C:\Users\cebec\.jnose_projects\ArcGIS-Server-SOS-Extension\src\main\java\org\n52\sos\dataTypes\Output.java;JUnit4;101;14;Lazy Test;testEqualsObject_OneUnitNull, testEqualsObject_UnitNull, testEqualsObject_OneLabelNull, testEqualsObject_BothLabelsNull, testEqualsObject_OneObservedPropertyNull, testEqualsObject_BothObservedPropertiesNull, testNotEqualsObject, testEqualsObject;97, 96, 89, 88, 81, 80, 73, 72, 65, 64, 57, 56, 50, 47, 44, 43, 36, 35;97, 96, 89, 88, 81, 80, 73, 72, 65, 64, 57, 56, 50, 47, 44, 43, 36, 35
