projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Magic Number Test;testFormatTemperatureFromFahrenheit;82;82
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Magic Number Test;testFormatTemperatureFromFahrenheit;83;83
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Magic Number Test;testFormatTemperatureFromFahrenheit;84;84
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Magic Number Test;testFormatTemperatureFromFahrenheit;85;85
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Magic Number Test;testFormatTemperatureFromFahrenheit;88;88
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Magic Number Test;testFormatTemperatureFromFahrenheit;89;89
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Magic Number Test;testFormatTemperatureFromFahrenheit;96;96
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Magic Number Test;testFormatTemperatureFromFahrenheit;97;97
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Magic Number Test;testFormatTemperatureFromFahrenheit;98;98
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Magic Number Test;testFormatTemperatureFromFahrenheit;99;99
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Magic Number Test;testFormatTemperatureFromFahrenheit;102;102
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Magic Number Test;testFormatTemperatureFromFahrenheit;103;103
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Duplicate Assert;testGetFormatDefault;44, 56;44, 56
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Duplicate Assert;testGetFormatDefault;47, 53;47, 53
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Duplicate Assert;testUseFahrenheit;71, 76;71, 76
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testGetFormatDefault;44-44;44-44
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testGetFormatDefault;47-47;47-47
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testGetFormatDefault;53-53;53-53
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testGetFormatDefault;56-56;56-56
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testUseFahrenheit;62-62;62-62
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testUseFahrenheit;63-63;63-63
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testUseFahrenheit;65-65;65-65
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testUseFahrenheit;66-66;66-66
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testUseFahrenheit;68-68;68-68
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testUseFahrenheit;71-71;71-71
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testUseFahrenheit;76-76;76-76
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testFormatTemperatureFromFahrenheit;82-82;82-82
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testFormatTemperatureFromFahrenheit;83-83;83-83
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testFormatTemperatureFromFahrenheit;84-84;84-84
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testFormatTemperatureFromFahrenheit;85-85;85-85
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testFormatTemperatureFromFahrenheit;88-88;88-88
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testFormatTemperatureFromFahrenheit;89-89;89-89
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testFormatTemperatureFromFahrenheit;96-96;96-96
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testFormatTemperatureFromFahrenheit;97-97;97-97
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testFormatTemperatureFromFahrenheit;98-98;98-98
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testFormatTemperatureFromFahrenheit;99-99;99-99
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testFormatTemperatureFromFahrenheit;102-102;102-102
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Assertion Roulette;testFormatTemperatureFromFahrenheit;103-103;103-103
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Conditional Test Logic;testGetFormatDefault;49-57;49-57
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Conditional Test Logic;testUseFahrenheit;73-77;73-77
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;Conditional Test Logic;testFormatTemperatureFromFahrenheit;92-94;92-94
BBQTimer;LocaleUtilsTest;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\test\java\com\onefishtwo\bbqtimer\LocaleUtilsTest.java;C:\Users\cebec\.jnose_projects\BBQTimer\app\src\main\java\com\onefishtwo\bbqtimer\LocaleUtils.java;JUnit4;106;8;General Fixture;setUp;26;26
