projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
BitPlus;PatternElementTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternElementTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\element\PatternElement.java;JUnit4;69;4;Assertion Roulette;testAnyElement;30-30;30-30
BitPlus;PatternElementTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternElementTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\element\PatternElement.java;JUnit4;69;4;Assertion Roulette;testFieldElement;41-41;41-41
BitPlus;PatternElementTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternElementTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\element\PatternElement.java;JUnit4;69;4;Assertion Roulette;testFieldElement;42-42;42-42
BitPlus;PatternElementTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternElementTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\element\PatternElement.java;JUnit4;69;4;Assertion Roulette;testFieldElement;43-43;43-43
BitPlus;PatternElementTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternElementTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\element\PatternElement.java;JUnit4;69;4;Assertion Roulette;testInstructionElement;53-53;53-53
BitPlus;PatternElementTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternElementTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\element\PatternElement.java;JUnit4;69;4;Assertion Roulette;testInstructionElement;54-54;54-54
BitPlus;PatternElementTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternElementTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\element\PatternElement.java;JUnit4;69;4;Assertion Roulette;testMethodElement;65-65;65-65
BitPlus;PatternElementTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternElementTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\element\PatternElement.java;JUnit4;69;4;Assertion Roulette;testMethodElement;66-66;66-66
BitPlus;PatternElementTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternElementTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\element\PatternElement.java;JUnit4;69;4;Assertion Roulette;testMethodElement;67-67;67-67
BitPlus;PatternTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\Pattern.java;JUnit4;67;2;Magic Number Test;testOffset;64;64
BitPlus;PatternTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\Pattern.java;JUnit4;67;2;Magic Number Test;testOffset;65;65
BitPlus;PatternTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\Pattern.java;JUnit4;67;2;Eager Test;testContains;45, 46;45, 46
BitPlus;PatternTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\Pattern.java;JUnit4;67;2;Eager Test;testOffset;64, 65;64, 65
BitPlus;PatternTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\Pattern.java;JUnit4;67;2;Assertion Roulette;testContains;45-45;45-45
BitPlus;PatternTest;C:\Users\cebec\.jnose_projects\BitPlus\tests\bitmmo\PatternTest.java;C:\Users\cebec\.jnose_projects\BitPlus\src\me\themallard\bitmmo\api\analysis\util\pattern\Pattern.java;JUnit4;67;2;Assertion Roulette;testContains;46-46;46-46
