projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
BrillMooreSpellChecker;TrieTest;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\test\java\com\ryangantt\util\TrieTest.java;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\main\java\com\ryangantt\util\Trie.java;None;62;8;Magic Number Test;insertionAndRetrieval;19;19
BrillMooreSpellChecker;TrieTest;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\test\java\com\ryangantt\util\TrieTest.java;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\main\java\com\ryangantt\util\Trie.java;None;62;8;Magic Number Test;insertAndRetrieveWithCommonSubstring;27;27
BrillMooreSpellChecker;TrieTest;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\test\java\com\ryangantt\util\TrieTest.java;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\main\java\com\ryangantt\util\Trie.java;None;62;8;Magic Number Test;insertAndRetrieveWithCommonSubstring;28;28
BrillMooreSpellChecker;TrieTest;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\test\java\com\ryangantt\util\TrieTest.java;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\main\java\com\ryangantt\util\Trie.java;None;62;8;Magic Number Test;removalWithCommonSuperstring;43;43
BrillMooreSpellChecker;TrieTest;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\test\java\com\ryangantt\util\TrieTest.java;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\main\java\com\ryangantt\util\Trie.java;None;62;8;Magic Number Test;removalWithCommonSuperstring;46;46
BrillMooreSpellChecker;TrieTest;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\test\java\com\ryangantt\util\TrieTest.java;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\main\java\com\ryangantt\util\Trie.java;None;62;8;Magic Number Test;removalWithCommonSubstring;52;52
BrillMooreSpellChecker;TrieTest;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\test\java\com\ryangantt\util\TrieTest.java;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\main\java\com\ryangantt\util\Trie.java;None;62;8;Magic Number Test;removalWithCommonSubstring;55;55
BrillMooreSpellChecker;TrieTest;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\test\java\com\ryangantt\util\TrieTest.java;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\main\java\com\ryangantt\util\Trie.java;None;62;8;Duplicate Assert;removalWithCommonSuperstring;43, 46;43, 46
BrillMooreSpellChecker;TrieTest;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\test\java\com\ryangantt\util\TrieTest.java;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\main\java\com\ryangantt\util\Trie.java;None;62;8;Duplicate Assert;removalWithCommonSubstring;52, 55;52, 55
BrillMooreSpellChecker;TrieTest;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\test\java\com\ryangantt\util\TrieTest.java;C:\Users\cebec\.jnose_projects\BrillMooreSpellChecker\src\main\java\com\ryangantt\util\Trie.java;None;62;8;Assertion Roulette;insertionAndRetrieval;19-19;19-19
