projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
ChordView;ChordHelperTest;C:\Users\cebec\.jnose_projects\ChordView\library\src\test\java\com\github\airsaid\library\widget\ChordHelperTest.java;C:\Users\cebec\.jnose_projects\ChordView\library\src\main\java\com\github\airsaid\library\widget\ChordHelper.java;JUnit4;69;7;Magic Number Test;getWithFirstString;55;55
ChordView;ChordHelperTest;C:\Users\cebec\.jnose_projects\ChordView\library\src\test\java\com\github\airsaid\library\widget\ChordHelperTest.java;C:\Users\cebec\.jnose_projects\ChordView\library\src\main\java\com\github\airsaid\library\widget\ChordHelper.java;JUnit4;69;7;Magic Number Test;getWithFirstString;56;56
ChordView;ChordHelperTest;C:\Users\cebec\.jnose_projects\ChordView\library\src\test\java\com\github\airsaid\library\widget\ChordHelperTest.java;C:\Users\cebec\.jnose_projects\ChordView\library\src\main\java\com\github\airsaid\library\widget\ChordHelper.java;JUnit4;69;7;Magic Number Test;getWithFirstString;57;57
ChordView;ChordHelperTest;C:\Users\cebec\.jnose_projects\ChordView\library\src\test\java\com\github\airsaid\library\widget\ChordHelperTest.java;C:\Users\cebec\.jnose_projects\ChordView\library\src\main\java\com\github\airsaid\library\widget\ChordHelper.java;JUnit4;69;7;Magic Number Test;getWithFirstString;58;58
ChordView;ChordHelperTest;C:\Users\cebec\.jnose_projects\ChordView\library\src\test\java\com\github\airsaid\library\widget\ChordHelperTest.java;C:\Users\cebec\.jnose_projects\ChordView\library\src\main\java\com\github\airsaid\library\widget\ChordHelper.java;JUnit4;69;7;Magic Number Test;getMaxUnClosedString;63;63
ChordView;ChordHelperTest;C:\Users\cebec\.jnose_projects\ChordView\library\src\test\java\com\github\airsaid\library\widget\ChordHelperTest.java;C:\Users\cebec\.jnose_projects\ChordView\library\src\main\java\com\github\airsaid\library\widget\ChordHelper.java;JUnit4;69;7;Magic Number Test;getMaxUnClosedString;64;64
ChordView;ChordHelperTest;C:\Users\cebec\.jnose_projects\ChordView\library\src\test\java\com\github\airsaid\library\widget\ChordHelperTest.java;C:\Users\cebec\.jnose_projects\ChordView\library\src\main\java\com\github\airsaid\library\widget\ChordHelper.java;JUnit4;69;7;Magic Number Test;getMaxUnClosedString;65;65
ChordView;ChordHelperTest;C:\Users\cebec\.jnose_projects\ChordView\library\src\test\java\com\github\airsaid\library\widget\ChordHelperTest.java;C:\Users\cebec\.jnose_projects\ChordView\library\src\main\java\com\github\airsaid\library\widget\ChordHelper.java;JUnit4;69;7;Magic Number Test;getMaxUnClosedString;66;66
ChordView;ChordHelperTest;C:\Users\cebec\.jnose_projects\ChordView\library\src\test\java\com\github\airsaid\library\widget\ChordHelperTest.java;C:\Users\cebec\.jnose_projects\ChordView\library\src\main\java\com\github\airsaid\library\widget\ChordHelper.java;JUnit4;69;7;Assertion Roulette;getBarreChordData;36-36;36-36
ChordView;ChordHelperTest;C:\Users\cebec\.jnose_projects\ChordView\library\src\test\java\com\github\airsaid\library\widget\ChordHelperTest.java;C:\Users\cebec\.jnose_projects\ChordView\library\src\main\java\com\github\airsaid\library\widget\ChordHelper.java;JUnit4;69;7;Assertion Roulette;getBarreChordData;37-37;37-37
