projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Verbose Test;testGetByName;38-86;38-86
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Duplicate Assert;testGetByName;53, 79;53, 79
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Duplicate Assert;testGetByName;59, 84;59, 84
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Assertion Roulette;testVerify;35-35;35-35
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Assertion Roulette;testGetByName;55-55;55-55
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Conditional Test Logic;testGetByName;45-61;45-61
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Conditional Test Logic;testGetByName;71-85;71-85
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Print Statement;testGetByName;46;46
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Print Statement;testGetByName;47;47
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Print Statement;testGetByName;48;48
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Print Statement;testGetByName;50;50
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Print Statement;testGetByName;51;51
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Print Statement;testGetByName;52;52
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Print Statement;testGetByName;72;72
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Print Statement;testGetByName;73;73
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Print Statement;testGetByName;74;74
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Print Statement;testGetByName;76;76
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Print Statement;testGetByName;77;77
DNSSEC4J;DnsSecTest;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\test\java\org\littleshoot\dnssec4j\DnsSecTest.java;C:\Users\cebec\.jnose_projects\DNSSEC4J\src\main\java\org\littleshoot\dnssec4j\DnsSec.java;JUnit4;87;3;Print Statement;testGetByName;78;78
