projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Magic Number Test;test_indexOf;15;15
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Magic Number Test;test_indexOf;16;16
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Magic Number Test;test_indexOf;17;17
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Magic Number Test;test_indexOf;18;18
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Verbose Test;test_filter;21-119;21-119
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Duplicate Assert;test_filter;30, 42, 54, 66, 78, 90, 102;30, 42, 54, 66, 78, 90, 102
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Duplicate Assert;test_filter;31, 43, 67, 79, 91, 115;31, 43, 67, 79, 91, 115
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Duplicate Assert;test_filter;32, 44, 56, 68, 92, 104, 116;32, 44, 56, 68, 92, 104, 116
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Duplicate Assert;test_filter;33, 45, 69, 93;33, 45, 69, 93
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Duplicate Assert;test_filter;55, 103;55, 103
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Duplicate Assert;test_filter;57, 81, 105, 117;57, 81, 105, 117
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Assertion Roulette;test_indexOf;15-15;15-15
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Assertion Roulette;test_indexOf;16-16;16-16
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Assertion Roulette;test_indexOf;17-17;17-17
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Assertion Roulette;test_indexOf;18-18;18-18
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Assertion Roulette;test_filter;30-30;30-30
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Assertion Roulette;test_filter;31-31;31-31
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Assertion Roulette;test_filter;32-32;32-32
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Assertion Roulette;test_filter;33-33;33-33
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Assertion Roulette;test_filter;42-42;42-42
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Assertion Roulette;test_filter;43-43;43-43
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Assertion Roulette;test_filter;44-44;44-44
DisableManager;FilterTypeTest;C:\Users\cebec\.jnose_projects\DisableManager\app\src\androidTest\java\com\nagopy\android\disablemanager2\FilterTypeTest.java;C:\Users\cebec\.jnose_projects\DisableManager\app\src\main\java\com\nagopy\android\disablemanager2\FilterType.java;JUnit4;120;2;Assertion Roulette;test_filter;45-45;45-45
