projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
DomainReverseMapper;DomainObjectTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\DomainObjectTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\DomainObject.java;JUnit4;55;4;Sensitive Equality;toStringWorks;30-30;30-30
DomainReverseMapper;DomainObjectTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\DomainObjectTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\DomainObject.java;JUnit4;55;4;Sensitive Equality;toStringWorks;31-31;31-31
DomainReverseMapper;DomainObjectTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\DomainObjectTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\DomainObject.java;JUnit4;55;4;Lazy Test;toStringWorks, domainConstructedProperlyFromInnerClass, domainObjectConstructedProperlyFromClass;29, 22, 15;29, 22, 15
DomainReverseMapper;DomainObjectTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\DomainObjectTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\DomainObject.java;JUnit4;55;4;Lazy Test;toStringWorks, domainConstructedProperlyFromInnerClass, domainObjectConstructedProperlyFromClass;29, 22, 15;29, 22, 15
DomainReverseMapper;DomainObjectTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\DomainObjectTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\DomainObject.java;JUnit4;55;4;Assertion Roulette;domainObjectConstructedProperlyFromClass;16-17;16-17
DomainReverseMapper;DomainObjectTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\DomainObjectTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\DomainObject.java;JUnit4;55;4;Assertion Roulette;domainConstructedProperlyFromInnerClass;23-24;23-24
DomainReverseMapper;DomainObjectTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\DomainObjectTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\DomainObject.java;JUnit4;55;4;Assertion Roulette;toStringWorks;30-30;30-30
DomainReverseMapper;DomainObjectTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\DomainObjectTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\DomainObject.java;JUnit4;55;4;Assertion Roulette;toStringWorks;31-31;31-31
DomainReverseMapper;EdgeTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\EdgeTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\Edge.java;JUnit4;25;2;Unknown Test;testEqualsContract;13-16;13-16
DomainReverseMapper;EdgeTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\EdgeTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\Edge.java;JUnit4;25;2;Sensitive Equality;toStringWorks;21-21;21-21
DomainReverseMapper;EdgeTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\EdgeTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\Edge.java;JUnit4;25;2;Sensitive Equality;toStringWorks;22-22;22-22
DomainReverseMapper;EdgeTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\EdgeTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\Edge.java;JUnit4;25;2;Assertion Roulette;toStringWorks;21-21;21-21
DomainReverseMapper;EdgeTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\EdgeTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\Edge.java;JUnit4;25;2;Assertion Roulette;toStringWorks;22-22;22-22
DomainReverseMapper;EdgeTypeTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\EdgeTypeTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\EdgeType.java;JUnit4;40;6;Assertion Roulette;oneToOneInBothEdges;13-13;13-13
DomainReverseMapper;EdgeTypeTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\EdgeTypeTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\EdgeType.java;JUnit4;40;6;Assertion Roulette;manyTomanyInBothEdges;18-18;18-18
DomainReverseMapper;EdgeTypeTest;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\test\java\com\nitorcreations\domain\EdgeTypeTest.java;C:\Users\cebec\.jnose_projects\DomainReverseMapper\drm-core\src\main\java\com\nitorcreations\domain\EdgeType.java;JUnit4;40;6;Assertion Roulette;manyToOneInSource;23-23;23-23
