projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
DownZLibrary;BitMapTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\DataTypes\BitMapTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\DataTypes\BitMap.java;JUnit4;26;3;EmptyTest;setCallback;11-14;11-14
DownZLibrary;BitMapTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\DataTypes\BitMapTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\DataTypes\BitMap.java;JUnit4;26;3;EmptyTest;cancel;16-19;16-19
DownZLibrary;BitMapTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\DataTypes\BitMapTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\DataTypes\BitMap.java;JUnit4;26;3;EmptyTest;setCacheManager;21-24;21-24
DownZLibrary;JsonArrayTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\DataTypes\JsonArrayTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\DataTypes\JsonArray.java;JUnit4;26;3;EmptyTest;setCallback;11-14;11-14
DownZLibrary;JsonArrayTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\DataTypes\JsonArrayTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\DataTypes\JsonArray.java;JUnit4;26;3;EmptyTest;cancel;16-19;16-19
DownZLibrary;JsonArrayTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\DataTypes\JsonArrayTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\DataTypes\JsonArray.java;JUnit4;26;3;EmptyTest;setCacheManager;21-24;21-24
DownZLibrary;JsonObjectTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\DataTypes\JsonObjectTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\DataTypes\JsonObject.java;JUnit4;26;3;EmptyTest;setCallback;11-14;11-14
DownZLibrary;JsonObjectTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\DataTypes\JsonObjectTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\DataTypes\JsonObject.java;JUnit4;26;3;EmptyTest;cancel;16-19;16-19
DownZLibrary;JsonObjectTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\DataTypes\JsonObjectTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\DataTypes\JsonObject.java;JUnit4;26;3;EmptyTest;setCacheManager;21-24;21-24
DownZLibrary;TypeTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\DataTypes\TypeTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\DataTypes\Type.java;JUnit4;26;3;EmptyTest;setCacheManager;11-14;11-14
DownZLibrary;TypeTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\DataTypes\TypeTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\DataTypes\Type.java;JUnit4;26;3;EmptyTest;setCallback;16-19;16-19
DownZLibrary;TypeTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\DataTypes\TypeTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\DataTypes\Type.java;JUnit4;26;3;EmptyTest;cancel;21-24;21-24
DownZLibrary;HttpListenerTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\ListnerInterface\HttpListenerTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\ListnerInterface\HttpListener.java;JUnit4;31;4;EmptyTest;onRequest;11-14;11-14
DownZLibrary;HttpListenerTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\ListnerInterface\HttpListenerTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\ListnerInterface\HttpListener.java;JUnit4;31;4;EmptyTest;onResponse;16-19;16-19
DownZLibrary;HttpListenerTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\ListnerInterface\HttpListenerTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\ListnerInterface\HttpListener.java;JUnit4;31;4;EmptyTest;onError;21-24;21-24
DownZLibrary;HttpListenerTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\ListnerInterface\HttpListenerTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\ListnerInterface\HttpListener.java;JUnit4;31;4;EmptyTest;onCancel;26-29;26-29
DownZLibrary;HeaderParamsTest;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\test\java\com\example\downzlibrary\Parameters\HeaderParamsTest.java;C:\Users\cebec\.jnose_projects\DownZLibrary\downzlibrary\src\main\java\com\example\downzlibrary\Parameters\HeaderParams.java;JUnit4;31;4;EmptyTest;getKey;11-14;11-14
