projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
ECharts;OptionTest;C:\Users\cebec\.jnose_projects\ECharts\src\test\java\com\github\abel533\echarts\OptionTest.java;C:\Users\cebec\.jnose_projects\ECharts\src\main\java\com\github\abel533\echarts\Option.java;JUnit4;65;1;Unknown Test;basicOption;46-64;46-64
ECharts;BarTest1;C:\Users\cebec\.jnose_projects\ECharts\src\test\java\com\github\abel533\echarts\samples\bar\BarTest1.java;C:\Users\cebec\.jnose_projects\ECharts\src\main\java\com\github\abel533\echarts\series\Bar.java;JUnit4;74;1;Unknown Test;test;47-73;47-73
ECharts;BarTest1;C:\Users\cebec\.jnose_projects\ECharts\src\test\java\com\github\abel533\echarts\samples\bar\BarTest1.java;C:\Users\cebec\.jnose_projects\ECharts\src\main\java\com\github\abel533\echarts\series\Bar.java;JUnit4;74;1;Eager Test;test;59, 62, 64, 68;59, 62, 64, 68
ECharts;BarTest12;C:\Users\cebec\.jnose_projects\ECharts\src\test\java\com\github\abel533\echarts\samples\bar\BarTest12.java;C:\Users\cebec\.jnose_projects\ECharts\src\main\java\com\github\abel533\echarts\series\Bar.java;JUnit4;97;1;Unknown Test;test;41-96;41-96
ECharts;BarTest12;C:\Users\cebec\.jnose_projects\ECharts\src\test\java\com\github\abel533\echarts\samples\bar\BarTest12.java;C:\Users\cebec\.jnose_projects\ECharts\src\main\java\com\github\abel533\echarts\series\Bar.java;JUnit4;97;1;Verbose Test;test;41-96;41-96
ECharts;BarTest12;C:\Users\cebec\.jnose_projects\ECharts\src\test\java\com\github\abel533\echarts\samples\bar\BarTest12.java;C:\Users\cebec\.jnose_projects\ECharts\src\main\java\com\github\abel533\echarts\series\Bar.java;JUnit4;97;1;Eager Test;test;69, 71, 73, 75, 77, 79, 81, 83, 85, 87, 89, 91;69, 71, 73, 75, 77, 79, 81, 83, 85, 87, 89, 91
ECharts;BarTest14;C:\Users\cebec\.jnose_projects\ECharts\src\test\java\com\github\abel533\echarts\samples\bar\BarTest14.java;C:\Users\cebec\.jnose_projects\ECharts\src\main\java\com\github\abel533\echarts\series\Bar.java;JUnit4;73;1;Unknown Test;test;44-72;44-72
ECharts;BarTest14;C:\Users\cebec\.jnose_projects\ECharts\src\test\java\com\github\abel533\echarts\samples\bar\BarTest14.java;C:\Users\cebec\.jnose_projects\ECharts\src\main\java\com\github\abel533\echarts\series\Bar.java;JUnit4;73;1;Eager Test;test;57, 67;57, 67
ECharts;BarTest4;C:\Users\cebec\.jnose_projects\ECharts\src\test\java\com\github\abel533\echarts\samples\bar\BarTest4.java;C:\Users\cebec\.jnose_projects\ECharts\src\main\java\com\github\abel533\echarts\series\Bar.java;JUnit4;83;1;Unknown Test;test;43-82;43-82
ECharts;BarTest4;C:\Users\cebec\.jnose_projects\ECharts\src\test\java\com\github\abel533\echarts\samples\bar\BarTest4.java;C:\Users\cebec\.jnose_projects\ECharts\src\main\java\com\github\abel533\echarts\series\Bar.java;JUnit4;83;1;Verbose Test;test;43-82;43-82
