projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
EasyHousing;CommunityTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\CommunityTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\Community.java;JUnit4;48;4;Unknown Test;insert;11-19;11-19
EasyHousing;CommunityTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\CommunityTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\Community.java;JUnit4;48;4;Unknown Test;delete;21-28;21-28
EasyHousing;CommunityTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\CommunityTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\Community.java;JUnit4;48;4;Unknown Test;update;30-38;30-38
EasyHousing;CommunityTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\CommunityTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\Community.java;JUnit4;48;4;Unknown Test;select;40-47;40-47
EasyHousing;CommunityTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\CommunityTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\Community.java;JUnit4;48;4;Lazy Test;update, insert;36, 17;36, 17
EasyHousing;CommunityTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\CommunityTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\Community.java;JUnit4;48;4;Lazy Test;select, update, delete;45, 35, 26;45, 35, 26
EasyHousing;CommunityTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\CommunityTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\Community.java;JUnit4;48;4;Print Statement;delete;27;27
EasyHousing;CommunityTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\CommunityTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\Community.java;JUnit4;48;4;Print Statement;update;37;37
EasyHousing;CommunityTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\CommunityTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\Community.java;JUnit4;48;4;Print Statement;select;46;46
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Unknown Test;insert;13-25;13-25
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Unknown Test;delete;27-34;27-34
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Unknown Test;update;36-49;36-49
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Unknown Test;select;51-58;51-58
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Lazy Test;update, insert;45, 21;45, 21
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Lazy Test;update, insert;43, 19;43, 19
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Lazy Test;update, insert;47, 23;47, 23
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Lazy Test;update, insert;44, 20;44, 20
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Lazy Test;select, update, delete;56, 41, 32;56, 41, 32
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Lazy Test;update, insert;42, 18;42, 18
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Lazy Test;update, insert;46, 22;46, 22
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Print Statement;delete;33;33
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Print Statement;update;48;48
EasyHousing;OrderBuildingTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderBuildingTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderBuilding.java;JUnit4;59;4;Print Statement;select;57;57
EasyHousing;OrderRentHouseTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderRentHouseTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderRentHouse.java;JUnit4;59;4;Unknown Test;insert;13-25;13-25
EasyHousing;OrderRentHouseTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderRentHouseTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderRentHouse.java;JUnit4;59;4;Unknown Test;delete;27-34;27-34
EasyHousing;OrderRentHouseTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderRentHouseTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderRentHouse.java;JUnit4;59;4;Unknown Test;update;36-49;36-49
EasyHousing;OrderRentHouseTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderRentHouseTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderRentHouse.java;JUnit4;59;4;Unknown Test;select;51-58;51-58
EasyHousing;OrderRentHouseTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderRentHouseTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderRentHouse.java;JUnit4;59;4;Lazy Test;update, insert;45, 21;45, 21
EasyHousing;OrderRentHouseTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderRentHouseTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderRentHouse.java;JUnit4;59;4;Lazy Test;update, insert;47, 23;47, 23
EasyHousing;OrderRentHouseTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderRentHouseTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderRentHouse.java;JUnit4;59;4;Lazy Test;update, insert;44, 20;44, 20
EasyHousing;OrderRentHouseTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderRentHouseTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderRentHouse.java;JUnit4;59;4;Lazy Test;select, update, delete;56, 41, 32;56, 41, 32
EasyHousing;OrderRentHouseTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderRentHouseTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderRentHouse.java;JUnit4;59;4;Lazy Test;update, insert;43, 19;43, 19
EasyHousing;OrderRentHouseTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderRentHouseTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderRentHouse.java;JUnit4;59;4;Lazy Test;update, insert;42, 18;42, 18
EasyHousing;OrderRentHouseTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderRentHouseTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderRentHouse.java;JUnit4;59;4;Lazy Test;update, insert;46, 22;46, 22
EasyHousing;OrderRentHouseTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderRentHouseTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderRentHouse.java;JUnit4;59;4;Print Statement;delete;33;33
EasyHousing;OrderRentHouseTest;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\test\OrderRentHouseTest.java;C:\Users\cebec\.jnose_projects\EasyHousing\src\com\easyhousing\model\OrderRentHouse.java;JUnit4;59;4;Print Statement;update;48;48
