projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
ExpenseManager;MainActivityTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\activity\MainActivityTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\activity\MainActivity.java;JUnit4;26;2;Unknown Test;shouldDisplayExpenseButton;22-25;22-25
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Magic Number Test;shouldAddExpenseType;54;54
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Magic Number Test;shouldReturnCurrentMonthsExpenses;65;65
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Magic Number Test;shouldReturnCurrentMonthsExpensesForMultipleExpenseTypes;81;81
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Magic Number Test;shouldReturnTodaysExpenses;90;90
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Magic Number Test;shouldReturnTodaysExpensesForMultipleExpenseTypes;103;103
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Magic Number Test;shouldReturnCurrentWeeksExpenses;119;119
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Assertion Roulette;shouldAddExpenseType;54-54;54-54
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Assertion Roulette;shouldAddExpenseType;55-55;55-55
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Assertion Roulette;shouldReturnCurrentMonthsExpenses;65-65;65-65
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Assertion Roulette;shouldReturnCurrentMonthsExpenses;66-66;66-66
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Assertion Roulette;shouldReturnCurrentMonthsExpensesForMultipleExpenseTypes;81-81;81-81
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Assertion Roulette;shouldReturnTodaysExpenses;90-90;90-90
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Assertion Roulette;shouldReturnTodaysExpenses;91-91;91-91
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Assertion Roulette;shouldReturnTodaysExpenses;92-92;92-92
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Assertion Roulette;shouldReturnTodaysExpenses;93-93;93-93
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Assertion Roulette;shouldReturnTodaysExpensesForMultipleExpenseTypes;103-103;103-103
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Assertion Roulette;shouldReturnCurrentWeeksExpenses;119-119;119-119
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Assertion Roulette;shouldReturnCurrentWeeksExpenses;120-120;120-120
ExpenseManager;ExpenseDatabaseHelperTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\androidTest\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelperTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\database\ExpenseDatabaseHelper.java;JUnit4;130;11;Conditional Test Logic;shouldReturnCurrentWeeksExpenses;115-117;115-117
ExpenseManager;CategoryPresenterTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\test\java\ajitsingh\com\expensemanager\presenter\CategoryPresenterTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\presenter\CategoryPresenter.java;JUnit4;54;6;Assertion Roulette;shouldAddCategoryToTheDatabaseAndNotify;39-39;39-39
ExpenseManager;CategoryPresenterTest;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\test\java\ajitsingh\com\expensemanager\presenter\CategoryPresenterTest.java;C:\Users\cebec\.jnose_projects\ExpenseManager\app\src\main\java\ajitsingh\com\expensemanager\presenter\CategoryPresenter.java;JUnit4;54;6;Assertion Roulette;shouldAddCategoryToTheDatabaseAndNotify;43-43;43-43
