projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Unknown Test;testSet;16-35;16-35
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Unknown Test;testWaitOne;37-48;37-48
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Lazy Test;testWaitOne, testSet;39, 18;39, 18
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Lazy Test;testWaitOne, testSet;46, 45, 44, 43, 33;46, 45, 44, 43, 33
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Eager Test;testSet;18, 33;18, 33
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Eager Test;testWaitOne;39, 46;39, 46
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Print Statement;testSet;32;32
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Print Statement;testSet;34;34
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Print Statement;testWaitOne;42;42
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Print Statement;testWaitOne;47;47
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\utility\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Unknown Test;testSet;16-35;16-35
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\utility\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Unknown Test;testWaitOne;37-48;37-48
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\utility\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Lazy Test;testWaitOne, testSet;39, 18;39, 18
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\utility\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Lazy Test;testWaitOne, testSet;46, 45, 44, 43, 33;46, 45, 44, 43, 33
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\utility\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Eager Test;testSet;18, 33;18, 33
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\utility\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Eager Test;testWaitOne;39, 46;39, 46
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\utility\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Print Statement;testSet;32;32
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\utility\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Print Statement;testSet;34;34
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\utility\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Print Statement;testWaitOne;42;42
Gaea;AutoResetEventTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\utility\AutoResetEventTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\AutoResetEvent.java;JUnit4;49;2;Print Statement;testWaitOne;47;47
Gaea;TimeSpanHelperTest;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\test\com\bj58\spat\gaea\client\utility\helper\TimeSpanHelperTest.java;C:\Users\cebec\.jnose_projects\Gaea\client\java\client\src\com\bj58\spat\gaea\client\utility\helper\TimeSpanHelper.java;JUnit4;65;7;Assertion Roulette;testGetIntFromTimeSpan;48-48;48-48
