projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
Game-of-thrones-trivia;GeneralAlgorithmsTest;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\integration-tests\src\com\Spartacus\Trivia\utilTest\GeneralAlgorithmsTest.java;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\app\src\com\GameOfThrones\Trivia\util\GeneralAlgorithms.java;JUnit4;91;8;Magic Number Test;getWeightedProbabilityNoData;53;53
Game-of-thrones-trivia;GeneralAlgorithmsTest;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\integration-tests\src\com\Spartacus\Trivia\utilTest\GeneralAlgorithmsTest.java;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\app\src\com\GameOfThrones\Trivia\util\GeneralAlgorithms.java;JUnit4;91;8;Magic Number Test;getWeightedProbabilityNegativeData;60;60
Game-of-thrones-trivia;GeneralAlgorithmsTest;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\integration-tests\src\com\Spartacus\Trivia\utilTest\GeneralAlgorithmsTest.java;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\app\src\com\GameOfThrones\Trivia\util\GeneralAlgorithms.java;JUnit4;91;8;Magic Number Test;getWeightedProbabilityAllZeroData;66;66
Game-of-thrones-trivia;GeneralAlgorithmsTest;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\integration-tests\src\com\Spartacus\Trivia\utilTest\GeneralAlgorithmsTest.java;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\app\src\com\GameOfThrones\Trivia\util\GeneralAlgorithms.java;JUnit4;91;8;Magic Number Test;getWeightedProbabilityOneEntry;73;73
Game-of-thrones-trivia;GeneralAlgorithmsTest;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\integration-tests\src\com\Spartacus\Trivia\utilTest\GeneralAlgorithmsTest.java;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\app\src\com\GameOfThrones\Trivia\util\GeneralAlgorithms.java;JUnit4;91;8;Lazy Test;getWeightedProbabilitySuccessful, getWeightedProbabilityOneEntry, getWeightedProbabilityAllZeroData, getWeightedProbabilityNegativeData, getWeightedProbabilityNoData;84, 74, 67, 61, 54;84, 74, 67, 61, 54
Game-of-thrones-trivia;GeneralAlgorithmsTest;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\integration-tests\src\com\Spartacus\Trivia\utilTest\GeneralAlgorithmsTest.java;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\app\src\com\GameOfThrones\Trivia\util\GeneralAlgorithms.java;JUnit4;91;8;Assertion Roulette;getWeightedProbabilityOneEntry;73-74;73-74
Game-of-thrones-trivia;GeneralAlgorithmsTest;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\integration-tests\src\com\Spartacus\Trivia\utilTest\GeneralAlgorithmsTest.java;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\app\src\com\GameOfThrones\Trivia\util\GeneralAlgorithms.java;JUnit4;91;8;Conditional Test Logic;shuffleArrayTestSuccessful;40-42;40-42
Game-of-thrones-trivia;GeneralAlgorithmsTest;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\integration-tests\src\com\Spartacus\Trivia\utilTest\GeneralAlgorithmsTest.java;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\app\src\com\GameOfThrones\Trivia\util\GeneralAlgorithms.java;JUnit4;91;8;Conditional Test Logic;shuffleArrayTestSuccessful;38-43;38-43
Game-of-thrones-trivia;GeneralAlgorithmsTest;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\integration-tests\src\com\Spartacus\Trivia\utilTest\GeneralAlgorithmsTest.java;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\app\src\com\GameOfThrones\Trivia\util\GeneralAlgorithms.java;JUnit4;91;8;Print Statement;shuffleArrayTestSuccessful;39;39
Game-of-thrones-trivia;GeneralAlgorithmsTest;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\integration-tests\src\com\Spartacus\Trivia\utilTest\GeneralAlgorithmsTest.java;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\app\src\com\GameOfThrones\Trivia\util\GeneralAlgorithms.java;JUnit4;91;8;Print Statement;shuffleArrayTestSuccessful;44;44
Game-of-thrones-trivia;GeneralAlgorithmsTest;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\integration-tests\src\com\Spartacus\Trivia\utilTest\GeneralAlgorithmsTest.java;C:\Users\cebec\.jnose_projects\Game-of-thrones-trivia\app\src\com\GameOfThrones\Trivia\util\GeneralAlgorithms.java;JUnit4;91;8;Print Statement;getWeightedProbabilitySuccessful;86;86
