projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
GenericCSRFFilter;GenericCSRFStatelessFilterTest;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\test\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilterTest.java;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\main\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilter.java;JUnit3;358;12;Unknown Test;testShouldBeCSRFSProtected;339-357;339-357
GenericCSRFFilter;GenericCSRFStatelessFilterTest;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\test\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilterTest.java;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\main\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilter.java;JUnit3;358;12;Verbose Test;testStatusCOOKIE_TOKEN_AND_HEADER_TOKEN_MATCH;146-182;146-182
GenericCSRFFilter;GenericCSRFStatelessFilterTest;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\test\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilterTest.java;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\main\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilter.java;JUnit3;358;12;Verbose Test;testStatusCOOKIE_TOKEN_AND_HEADER_TOKEN_MISSMATCH;191-226;191-226
GenericCSRFFilter;GenericCSRFStatelessFilterTest;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\test\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilterTest.java;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\main\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilter.java;JUnit3;358;12;Verbose Test;testShouldAddCSRFCookieToResponse;296-330;296-330
GenericCSRFFilter;GenericCSRFStatelessFilterTest;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\test\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilterTest.java;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\main\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilter.java;JUnit3;358;12;Lazy Test;testShouldBeCSRFSProtected, testShouldAddCSRFCookieToResponse, testStatusCSRF_HEADER_NOT_PRESENT, testStatusCSRF_COOKIE_NOT_PRESENT, testStatusCOOKIE_TOKEN_AND_HEADER_TOKEN_MISSMATCH, testStatusCOOKIE_TOKEN_AND_HEADER_TOKEN_MATCH, testInitParametersNonDefault, testInitParametersDefault;353, 311, 280, 249, 216, 155, 91, 69;353, 311, 280, 249, 216, 155, 91, 69
GenericCSRFFilter;GenericCSRFStatelessFilterTest;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\test\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilterTest.java;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\main\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilter.java;JUnit3;358;12;Lazy Test;testInitParametersNonDefault, testInitParametersDefault;96, 74;96, 74
GenericCSRFFilter;GenericCSRFStatelessFilterTest;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\test\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilterTest.java;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\main\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilter.java;JUnit3;358;12;Lazy Test;testShouldBeCSRFSProtected, testShouldAddCSRFCookieToResponse, testStatusCSRF_HEADER_NOT_PRESENT, testStatusCSRF_COOKIE_NOT_PRESENT, testStatusCOOKIE_TOKEN_AND_HEADER_TOKEN_MISSMATCH, testStatusCOOKIE_TOKEN_AND_HEADER_TOKEN_MATCH;354, 312, 283, 252, 219, 172;354, 312, 283, 252, 219, 172
GenericCSRFFilter;GenericCSRFStatelessFilterTest;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\test\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilterTest.java;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\main\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilter.java;JUnit3;358;12;Lazy Test;testShouldAddCSRFCookieToResponse, testStatusCOOKIE_TOKEN_AND_HEADER_TOKEN_MISSMATCH, testStatusCOOKIE_TOKEN_AND_HEADER_TOKEN_MATCH, testInitParametersNonDefault, testInitParametersDefault;327, 323, 321, 208, 165, 94, 72;327, 323, 321, 208, 165, 94, 72
GenericCSRFFilter;GenericCSRFStatelessFilterTest;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\test\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilterTest.java;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\main\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilter.java;JUnit3;358;12;Assertion Roulette;testHooksDefaultCreation;111-114;111-114
GenericCSRFFilter;GenericCSRFStatelessFilterTest;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\test\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilterTest.java;C:\Users\cebec\.jnose_projects\GenericCSRFFilter\src\main\java\com\github\adriancitu\csrf\GenericCSRFStatelessFilter.java;JUnit3;358;12;Assertion Roulette;testHooksDefaultCreation;117-120;117-120
