projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
GpsPrune;RotatePhotoTest;C:\Users\cebec\.jnose_projects\GpsPrune\test\tim\prune\cmd\RotatePhotoTest.java;C:\Users\cebec\.jnose_projects\GpsPrune\src\tim\prune\function\media\RotatePhoto.java;JUnit5;41;2;Unknown Test;testRotations;15-20;15-20
GpsPrune;RotatePhotoTest;C:\Users\cebec\.jnose_projects\GpsPrune\test\tim\prune\cmd\RotatePhotoTest.java;C:\Users\cebec\.jnose_projects\GpsPrune\src\tim\prune\function\media\RotatePhoto.java;JUnit5;41;2;Resource Optimism;testRotate;22-40;22-40
GpsPrune;RotatePhotoTest;C:\Users\cebec\.jnose_projects\GpsPrune\test\tim\prune\cmd\RotatePhotoTest.java;C:\Users\cebec\.jnose_projects\GpsPrune\src\tim\prune\function\media\RotatePhoto.java;JUnit5;41;2;Magic Number Test;testRotate;28;28
GpsPrune;RotatePhotoTest;C:\Users\cebec\.jnose_projects\GpsPrune\test\tim\prune\cmd\RotatePhotoTest.java;C:\Users\cebec\.jnose_projects\GpsPrune\src\tim\prune\function\media\RotatePhoto.java;JUnit5;41;2;Magic Number Test;testRotate;38;38
GpsPrune;RotatePhotoTest;C:\Users\cebec\.jnose_projects\GpsPrune\test\tim\prune\cmd\RotatePhotoTest.java;C:\Users\cebec\.jnose_projects\GpsPrune\src\tim\prune\function\media\RotatePhoto.java;JUnit5;41;2;Duplicate Assert;testRotate;28, 38;28, 38
GpsPrune;RotatePhotoTest;C:\Users\cebec\.jnose_projects\GpsPrune\test\tim\prune\cmd\RotatePhotoTest.java;C:\Users\cebec\.jnose_projects\GpsPrune\src\tim\prune\function\media\RotatePhoto.java;JUnit5;41;2;Assertion Roulette;testRotate;28-28;28-28
GpsPrune;RotatePhotoTest;C:\Users\cebec\.jnose_projects\GpsPrune\test\tim\prune\cmd\RotatePhotoTest.java;C:\Users\cebec\.jnose_projects\GpsPrune\src\tim\prune\function\media\RotatePhoto.java;JUnit5;41;2;Assertion Roulette;testRotate;35-35;35-35
GpsPrune;RotatePhotoTest;C:\Users\cebec\.jnose_projects\GpsPrune\test\tim\prune\cmd\RotatePhotoTest.java;C:\Users\cebec\.jnose_projects\GpsPrune\src\tim\prune\function\media\RotatePhoto.java;JUnit5;41;2;Assertion Roulette;testRotate;38-38;38-38
GpsPrune;RotatePhotoTest;C:\Users\cebec\.jnose_projects\GpsPrune\test\tim\prune\cmd\RotatePhotoTest.java;C:\Users\cebec\.jnose_projects\GpsPrune\src\tim\prune\function\media\RotatePhoto.java;JUnit5;41;2;Conditional Test Logic;testRotate;33-33;33-33
GpsPrune;RotatePhotoTest;C:\Users\cebec\.jnose_projects\GpsPrune\test\tim\prune\cmd\RotatePhotoTest.java;C:\Users\cebec\.jnose_projects\GpsPrune\src\tim\prune\function\media\RotatePhoto.java;JUnit5;41;2;Conditional Test Logic;testRotate;24-39;24-39
