projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-check-fails-halt\src\test\java\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;22;1;Unknown Test;test;17-20;17-20
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-check-fails-no-halt\src\test\java\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;22;1;Unknown Test;test;17-20;17-20
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-check-passes\src\test\java\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;22;1;Unknown Test;test;17-20;17-20
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-customize-agent\src\test\java\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;21;1;Unknown Test;test;16-19;16-19
JacocoPlus;TestDatabaseUtil;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-includes-excludes\src\test\java\org\project\TestDatabaseUtil.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-includes-excludes\src\main\java\org\project\DatabaseUtil.java;JUnit4;21;1;Unknown Test;testDoStuff;17-20;17-20
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-java9\src\test\java\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;21;1;Unknown Test;test;16-19;16-19
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-java9-offline-instrumentation\src\test\java\org\example\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;23;1;Unknown Test;test;18-21;18-21
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-merge-passes\it-merge-passes-project1\src\test\java\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;21;1;Unknown Test;test;16-19;16-19
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-merge-passes\it-merge-passes-project2\src\test\java\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;21;1;Unknown Test;test;16-19;16-19
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-multi-module\child\src\test\java\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;21;1;Unknown Test;test;16-19;16-19
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-multi-module\skip-child\src\test\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;20;1;EmptyTest;test;16-18;16-18
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-multiple-executions\src\test\java\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;21;1;Unknown Test;test;16-19;16-19
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-offline-instrumentation\child\src\test\java\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;21;1;Unknown Test;test;16-19;16-19
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-offline-instrumentation\child-without-main-classes\src\test\java\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;20;1;EmptyTest;test;16-18;16-18
JacocoPlus;ExampleTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-prepend-property-skip\src\test\java\ExampleTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-site-failsafe\src\main\java\Example.java;JUnit4;23;1;Assertion Roulette;test;20-20;20-20
JacocoPlus;Example1aTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-report-aggregate\child1\src\test\java\package1\Example1aTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-report-aggregate\child1\src\main\java\package1\Example1a.java;JUnit4;23;1;Unknown Test;test;18-21;18-21
JacocoPlus;Example1bTest;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-report-aggregate\child1-test\src\test\java\package1\Example1bTest.java;C:\Users\cebec\.jnose_projects\JacocoPlus\jacoco-maven-plugin.test\it\it-report-aggregate\child1\src\main\java\package1\Example1b.java;JUnit4;23;1;Unknown Test;test;18-21;18-21
