projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
JythonScript;JythonResultNotFoundExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonResultNotFoundExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonResultNotFoundException.java;JUnit5;71;7;IgnoredTest;testJythonResultNotFoundException_resultNotFound;19-25;19-25
JythonScript;JythonResultNotFoundExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonResultNotFoundExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonResultNotFoundException.java;JUnit5;71;7;IgnoredTest;testJythonResultNotFoundException_resultNotFoundMultiArgs;27-33;27-33
JythonScript;JythonResultNotFoundExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonResultNotFoundExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonResultNotFoundException.java;JUnit5;71;7;IgnoredTest;testJythonResultNotFoundException;35-40;35-40
JythonScript;JythonResultNotFoundExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonResultNotFoundExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonResultNotFoundException.java;JUnit5;71;7;IgnoredTest;testJythonResultNotFoundException_message;42-50;42-50
JythonScript;JythonResultNotFoundExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonResultNotFoundExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonResultNotFoundException.java;JUnit5;71;7;IgnoredTest;testJythonResultNotFoundException_messageCause;52-60;52-60
JythonScript;JythonResultNotFoundExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonResultNotFoundExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonResultNotFoundException.java;JUnit5;71;7;IgnoredTest;testJythonResultNotFoundException_cause;62-69;62-69
JythonScript;JythonResultNotFoundExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonResultNotFoundExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonResultNotFoundException.java;JUnit5;71;7;Lazy Test;testJythonResultNotFoundException_cause, testJythonResultNotFoundException_messageCause, testJythonResultNotFoundException_message, testJythonResultNotFoundException;65, 55, 45, 38;65, 55, 45, 38
JythonScript;JythonResultNotFoundExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonResultNotFoundExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonResultNotFoundException.java;JUnit5;71;7;Assertion Roulette;testJythonResultNotFoundException_message;48-48;48-48
JythonScript;JythonResultNotFoundExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonResultNotFoundExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonResultNotFoundException.java;JUnit5;71;7;Assertion Roulette;testJythonResultNotFoundException_message;49-49;49-49
JythonScript;JythonResultNotFoundExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonResultNotFoundExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonResultNotFoundException.java;JUnit5;71;7;Assertion Roulette;testJythonResultNotFoundException_messageCause;58-58;58-58
JythonScript;JythonResultNotFoundExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonResultNotFoundExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonResultNotFoundException.java;JUnit5;71;7;Assertion Roulette;testJythonResultNotFoundException_messageCause;59-59;59-59
JythonScript;JythonResultNotFoundExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonResultNotFoundExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonResultNotFoundException.java;JUnit5;71;7;Assertion Roulette;testJythonResultNotFoundException_cause;68-68;68-68
JythonScript;JythonScriptExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonScriptExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonScriptException.java;JUnit5;59;6;IgnoredTest;testJythonScriptException_invalidFile;18-21;18-21
JythonScript;JythonScriptExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonScriptExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonScriptException.java;JUnit5;59;6;IgnoredTest;testJythonScriptException;23-28;23-28
JythonScript;JythonScriptExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonScriptExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonScriptException.java;JUnit5;59;6;IgnoredTest;testJythonScriptException_message;30-38;30-38
JythonScript;JythonScriptExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonScriptExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonScriptException.java;JUnit5;59;6;IgnoredTest;testJythonScriptException_messageCause;40-48;40-48
JythonScript;JythonScriptExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonScriptExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonScriptException.java;JUnit5;59;6;IgnoredTest;testJythonScriptException_cause;50-57;50-57
JythonScript;JythonScriptExceptionTest;C:\Users\cebec\.jnose_projects\JythonScript\src\test\java\com\github\adchilds\jython\exception\JythonScriptExceptionTest.java;C:\Users\cebec\.jnose_projects\JythonScript\src\main\java\com\github\adchilds\jython\exception\JythonScriptException.java;JUnit5;59;6;Lazy Test;testJythonScriptException_cause, testJythonScriptException_messageCause, testJythonScriptException_message, testJythonScriptException;53, 43, 33, 26;53, 43, 33, 26
