projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Resource Optimism;testResourceFolderMethods;13-23;13-23
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Resource Optimism;testFileMethods;25-34;25-34
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Resource Optimism;testPublishMethods;36-49;36-49
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Lazy Test;testPublishMethods, testFileMethods;46, 41, 38, 32, 27;46, 41, 38, 32, 27
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Lazy Test;testPublishMethods, testFileMethods;42, 29;42, 29
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Lazy Test;testPublishMethods, testFileMethods;43, 28;43, 28
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Lazy Test;testPublishMethods, testFileMethods, testResourceFolderMethods;44, 30, 21, 15;44, 30, 21, 15
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Assertion Roulette;testResourceFolderMethods;21-21;21-21
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Assertion Roulette;testFileMethods;31-31;31-31
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Assertion Roulette;testFileMethods;33-33;33-33
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Assertion Roulette;testPublishMethods;39-39;39-39
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Assertion Roulette;testPublishMethods;45-45;45-45
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Assertion Roulette;testPublishMethods;47-47;47-47
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Mystery Guest;testResourceFolderMethods;13-23;13-23
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Mystery Guest;testFileMethods;25-34;25-34
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.core.test\src\test\java\org\aksw\kbox\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;51;3;Mystery Guest;testPublishMethods;36-49;36-49
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Resource Optimism;setUp;25-46;25-46
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Resource Optimism;testGetResource;88-96;88-96
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Resource Optimism;testResourceNotResolvedException2;107-114;107-114
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Resource Optimism;testLocate;148-152;148-152
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Resource Optimism;testNewDir;170-174;170-174
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Resource Optimism;testInstallBZ2;176-182;176-182
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Resource Optimism;testInstallZIP;184-189;184-189
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Magic Number Test;testVisitKBs;54;54
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Magic Number Test;testResolveKN;75;75
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Magic Number Test;testInstallProcess;200;200
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Magic Number Test;testDescribeQuery;212;212
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Magic Number Test;testAskQuery;225;225
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Magic Number Test;testQueryInstalledKB2;237;237
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Magic Number Test;testQueryInstalledKB;249;249
KBox;KBoxTest;C:\Users\cebec\.jnose_projects\KBox\kbox.kibe.test\src\test\java\org\aksw\kbox\kibe\KBoxTest.java;C:\Users\cebec\.jnose_projects\KBox\kbox.kns\src\main\java\org\aksw\kbox\kns\KBox.java;JUnit4;372;33;Magic Number Test;testQueryKBXML;262;262
