projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
L2io;BufferUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\BufferUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\BufferUtil.java;JUnit4;100;4;Unknown Test;compactInt;32-44;32-44
L2io;BufferUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\BufferUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\BufferUtil.java;JUnit4;100;4;IgnoredTest;testCompactInt;46-51;46-51
L2io;BufferUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\BufferUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\BufferUtil.java;JUnit4;100;4;Assertion Roulette;testCompactInt;50-50;50-50
L2io;BufferUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\BufferUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\BufferUtil.java;JUnit4;100;4;Assertion Roulette;string;60-60;60-60
L2io;BufferUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\BufferUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\BufferUtil.java;JUnit4;100;4;Assertion Roulette;string;73-73;73-73
L2io;BufferUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\BufferUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\BufferUtil.java;JUnit4;100;4;Assertion Roulette;utf;84-84;84-84
L2io;BufferUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\BufferUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\BufferUtil.java;JUnit4;100;4;Assertion Roulette;utf;97-97;97-97
L2io;BufferUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\BufferUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\BufferUtil.java;JUnit4;100;4;Conditional Test Logic;compactInt;40-43;40-43
L2io;BufferUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\BufferUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\BufferUtil.java;JUnit4;100;4;Conditional Test Logic;string;69-74;69-74
L2io;BufferUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\BufferUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\BufferUtil.java;JUnit4;100;4;Conditional Test Logic;utf;93-98;93-98
L2io;ByteUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\ByteUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\ByteUtil.java;JUnit4;49;2;Magic Number Test;compactInt;34;34
L2io;ByteUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\ByteUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\ByteUtil.java;JUnit4;49;2;Magic Number Test;compactInt;35;35
L2io;ByteUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\ByteUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\ByteUtil.java;JUnit4;49;2;Magic Number Test;compactInt;36;36
L2io;ByteUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\ByteUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\ByteUtil.java;JUnit4;49;2;Magic Number Test;compactInt;37;37
L2io;ByteUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\ByteUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\ByteUtil.java;JUnit4;49;2;Magic Number Test;compactInt;38;38
L2io;ByteUtilTests;C:\Users\cebec\.jnose_projects\L2io\src\test\java\acmi\l2\clientmod\io\ByteUtilTests.java;C:\Users\cebec\.jnose_projects\L2io\src\main\java\acmi\l2\clientmod\io\ByteUtil.java;JUnit4;49;2;Magic Number Test;compactInt;39;39
