projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
LODVader;DistributionDBTest;C:\Users\cebec\.jnose_projects\LODVader\src\test\java\lodVader\integration\mongodb\collections\DistributionDBTest.java;C:\Users\cebec\.jnose_projects\LODVader\src\main\java\lodVader\mongodb\collections\DistributionDB.java;JUnit4;150;17;Assertion Roulette;testDist;137-137;137-137
LODVader;DistributionDBTest;C:\Users\cebec\.jnose_projects\LODVader\src\test\java\lodVader\integration\mongodb\collections\DistributionDBTest.java;C:\Users\cebec\.jnose_projects\LODVader\src\main\java\lodVader\mongodb\collections\DistributionDB.java;JUnit4;150;17;Assertion Roulette;testDist;138-138;138-138
LODVader;DistributionDBTest;C:\Users\cebec\.jnose_projects\LODVader\src\test\java\lodVader\integration\mongodb\collections\DistributionDBTest.java;C:\Users\cebec\.jnose_projects\LODVader\src\main\java\lodVader\mongodb\collections\DistributionDB.java;JUnit4;150;17;Assertion Roulette;testDist;139-139;139-139
LODVader;DistributionDBTest;C:\Users\cebec\.jnose_projects\LODVader\src\test\java\lodVader\integration\mongodb\collections\DistributionDBTest.java;C:\Users\cebec\.jnose_projects\LODVader\src\main\java\lodVader\mongodb\collections\DistributionDB.java;JUnit4;150;17;Assertion Roulette;testDist;140-140;140-140
LODVader;DistributionDBTest;C:\Users\cebec\.jnose_projects\LODVader\src\test\java\lodVader\integration\mongodb\collections\DistributionDBTest.java;C:\Users\cebec\.jnose_projects\LODVader\src\main\java\lodVader\mongodb\collections\DistributionDB.java;JUnit4;150;17;Assertion Roulette;testDist;141-141;141-141
LODVader;DistributionDBTest;C:\Users\cebec\.jnose_projects\LODVader\src\test\java\lodVader\integration\mongodb\collections\DistributionDBTest.java;C:\Users\cebec\.jnose_projects\LODVader\src\main\java\lodVader\mongodb\collections\DistributionDB.java;JUnit4;150;17;Assertion Roulette;testDist;142-142;142-142
LODVader;DistributionDBTest;C:\Users\cebec\.jnose_projects\LODVader\src\test\java\lodVader\integration\mongodb\collections\DistributionDBTest.java;C:\Users\cebec\.jnose_projects\LODVader\src\main\java\lodVader\mongodb\collections\DistributionDB.java;JUnit4;150;17;Assertion Roulette;testDist;143-143;143-143
LODVader;DistributionDBTest;C:\Users\cebec\.jnose_projects\LODVader\src\test\java\lodVader\integration\mongodb\collections\DistributionDBTest.java;C:\Users\cebec\.jnose_projects\LODVader\src\main\java\lodVader\mongodb\collections\DistributionDB.java;JUnit4;150;17;Assertion Roulette;testDist;144-144;144-144
LODVader;DistributionDBTest;C:\Users\cebec\.jnose_projects\LODVader\src\test\java\lodVader\integration\mongodb\collections\DistributionDBTest.java;C:\Users\cebec\.jnose_projects\LODVader\src\main\java\lodVader\mongodb\collections\DistributionDB.java;JUnit4;150;17;Assertion Roulette;testDist;145-145;145-145
LODVader;DistributionDBTest;C:\Users\cebec\.jnose_projects\LODVader\src\test\java\lodVader\integration\mongodb\collections\DistributionDBTest.java;C:\Users\cebec\.jnose_projects\LODVader\src\main\java\lodVader\mongodb\collections\DistributionDB.java;JUnit4;150;17;Assertion Roulette;testDist;147-147;147-147
