projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
LibFX;BackwardsDfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategy.java;JUnit4;177;12;Assertion Roulette;create_withInitialTreePath_returnPathEndOnFirstCallToGoToNext;63-63;63-63
LibFX;BackwardsDfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategy.java;JUnit4;177;12;Assertion Roulette;iterateOverSingletonTree_returnsCorrectElements;82-82;82-82
LibFX;BackwardsDfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategy.java;JUnit4;177;12;Assertion Roulette;iterateOverSimpleBinaryTree_startAtRoot_returnsRootOnly;94-94;94-94
LibFX;BackwardsDfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategy.java;JUnit4;177;12;Assertion Roulette;iterateOverSimpleBinaryTree_startAtLeftChild_returnsChildAndRoot;107-107;107-107
LibFX;BackwardsDfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategy.java;JUnit4;177;12;Assertion Roulette;iterateOverSimpleBinaryTree_startAtLastNode_returnsWholeTreeBackwards;120-120;120-120
LibFX;BackwardsDfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategy.java;JUnit4;177;12;Assertion Roulette;iterateOverDeepBinaryTree_returnsCorrectElements;136-138;136-138
LibFX;BackwardsDfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategy.java;JUnit4;177;12;Assertion Roulette;iterateOverSubTreeOfDeepBinaryTree_returnsCorrectElements;155-157;155-157
LibFX;BackwardsDfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategy.java;JUnit4;177;12;Assertion Roulette;iterateOverDeepBinaryTree_startFromWithin_returnsCorrectElements;172-174;172-174
LibFX;BackwardsDfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\BackwardsDfsTreeIterationStrategy.java;JUnit4;177;12;General Fixture;setUp;31;31
LibFX;DfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategy.java;JUnit4;146;10;Assertion Roulette;create_withInitialTreePath_returnPathEndOnFirstCallToGoToNext;62-62;62-62
LibFX;DfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategy.java;JUnit4;146;10;Assertion Roulette;iterateOverSingletonTree_returnsCorrectElements;81-81;81-81
LibFX;DfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategy.java;JUnit4;146;10;Assertion Roulette;iterateOverSimpleBinaryTree_returnsCorrectElements;93-93;93-93
LibFX;DfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategy.java;JUnit4;146;10;Assertion Roulette;iterateOverDeepBinaryTree_returnsCorrectElements;105-107;105-107
LibFX;DfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategy.java;JUnit4;146;10;Assertion Roulette;iterateOverSubTreeOfDeepBinaryTree_returnsCorrectElements;123-125;123-125
LibFX;DfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategy.java;JUnit4;146;10;Assertion Roulette;iterateOverDeepBinaryTree_startFromWithin_returnsCorrectElements;141-143;141-143
LibFX;DfsTreeIterationStrategyTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategyTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\DfsTreeIterationStrategy.java;JUnit4;146;10;General Fixture;setUp;31;31
LibFX;SimpleTreeNodeTest;C:\Users\cebec\.jnose_projects\LibFX\src\test\java\org\codefx\libfx\collection\tree\stream\SimpleTreeNodeTest.java;C:\Users\cebec\.jnose_projects\LibFX\src\main\java\org\codefx\libfx\collection\tree\stream\SimpleTreeNode.java;JUnit4;106;11;Lazy Test;createNode_canRetrieveChildIndex, createNode_elementNonNull_canRetrieveElement, createNode_childIndexNull_throwsNullPointerException, createNode_elementNull_throwsNullPointerException;44, 35, 28, 22;44, 35, 28, 22
