projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Lazy Test;test_minus, test_plus, test_getX, test_newCoordinate3D;219, 200, 68, 56;219, 200, 68, 56
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Lazy Test;test_minus, test_plus, test_getY, test_newCoordinate3D;220, 201, 78, 57;220, 201, 78, 57
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Lazy Test;test_minus, test_plus, test_getZ, test_newCoordinate3D;221, 202, 88, 58;221, 202, 88, 58
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Lazy Test;test_minus, test_plus, test_toRelativeString_with_double, test_toAbsoluteString_with_double, test_toRelativeString_with_int, test_toAbsoluteString_with_int, test_copy, test_newCoordinate3D_Coordinate3D, test_equals, test_getZ, test_getY, test_getX, test_newCoordinate3D;215, 211, 196, 192, 177, 162, 149, 136, 122, 111, 109, 98, 97, 86, 76, 66, 54;215, 211, 196, 192, 177, 162, 149, 136, 122, 111, 109, 98, 97, 86, 76, 66, 54
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Lazy Test;test_toAbsoluteString_with_double, test_toAbsoluteString_with_int;165, 138;165, 138
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Lazy Test;test_toRelativeString_with_double, test_toRelativeString_with_int;180, 151;180, 151
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Duplicate Assert;test_copy;126, 127;126, 127
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Eager Test;test_newCoordinate3D;54, 58;54, 58
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Eager Test;test_getX;66, 68;66, 68
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Eager Test;test_getY;76, 78;76, 78
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Eager Test;test_getZ;86, 88;86, 88
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Eager Test;test_copy;122, 124;122, 124
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Eager Test;test_toAbsoluteString_with_int;136, 138;136, 138
MPL;Coordinate3DTest;C:\Users\cebec\.jnose_projects\MPL\compiler\src\test\java\de\adrodoc55\minecraft\Coordinate3DTest.java;C:\Users\cebec\.jnose_projects\MPL\compiler\src\main\java\de\adrodoc55\minecraft\coordinate\Coordinate3D.java;JUnit4;224;13;Eager Test;test_toRelativeString_with_int;149, 151;149, 151
