projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
N_Queens_Puzzle;AlgebraicNotationTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\AlgebraicNotationTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\AlgebraicNotation.java;JUnit4;52;2;Lazy Test;testIncorrectArguments, testAlgebraicNotationWorkingProperly;44, 28;44, 28
N_Queens_Puzzle;AlgebraicNotationTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\AlgebraicNotationTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\AlgebraicNotation.java;JUnit4;52;2;Assertion Roulette;testAlgebraicNotationWorkingProperly;29-29;29-29
N_Queens_Puzzle;AlgebraicNotationTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\AlgebraicNotationTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\AlgebraicNotation.java;JUnit4;52;2;Assertion Roulette;testIncorrectArguments;49-49;49-49
N_Queens_Puzzle;AlgebraicNotationTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\AlgebraicNotationTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\AlgebraicNotation.java;JUnit4;52;2;Exception Catching Throwing;testIncorrectArguments;43-50;43-50
N_Queens_Puzzle;AlgebraicNotationTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\AlgebraicNotationTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\AlgebraicNotation.java;JUnit4;52;2;Print Statement;testIncorrectArguments;46;46
N_Queens_Puzzle;BoardLogicTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\BoardLogicTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\BoardLogic.java;JUnit4;140;6;Verbose Test;testAddQueen;62-115;62-115
N_Queens_Puzzle;BoardLogicTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\BoardLogicTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\BoardLogic.java;JUnit4;140;6;Duplicate Assert;testAddQueen;83, 92;83, 92
N_Queens_Puzzle;BoardLogicTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\BoardLogicTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\BoardLogic.java;JUnit4;140;6;Duplicate Assert;testAddQueen;104, 113;104, 113
N_Queens_Puzzle;BoardLogicTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\BoardLogicTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\BoardLogic.java;JUnit4;140;6;Duplicate Assert;testAddQueen;101, 110;101, 110
N_Queens_Puzzle;BoardLogicTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\BoardLogicTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\BoardLogic.java;JUnit4;140;6;Assertion Roulette;testGetCellState;38-38;38-38
N_Queens_Puzzle;BoardLogicTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\BoardLogicTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\BoardLogic.java;JUnit4;140;6;Assertion Roulette;testSetLogicalMatrixState;54-54;54-54
N_Queens_Puzzle;BoardLogicTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\BoardLogicTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\BoardLogic.java;JUnit4;140;6;Assertion Roulette;testAddQueen;83-83;83-83
N_Queens_Puzzle;BoardLogicTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\BoardLogicTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\BoardLogic.java;JUnit4;140;6;Assertion Roulette;testAddQueen;84-84;84-84
N_Queens_Puzzle;BoardLogicTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\BoardLogicTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\BoardLogic.java;JUnit4;140;6;Assertion Roulette;testAddQueen;85-85;85-85
N_Queens_Puzzle;BoardLogicTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\BoardLogicTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\BoardLogic.java;JUnit4;140;6;Assertion Roulette;testAddQueen;86-86;86-86
N_Queens_Puzzle;BoardLogicTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\BoardLogicTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\BoardLogic.java;JUnit4;140;6;Assertion Roulette;testAddQueen;87-87;87-87
N_Queens_Puzzle;BoardLogicTest;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\junittesting\BoardLogicTest.java;C:\Users\cebec\.jnose_projects\N_Queens_Puzzle\src\logic\BoardLogic.java;JUnit4;140;6;Assertion Roulette;testAddQueen;91-91;91-91
