projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Sensitive Equality;privKeyToPubKey;26-26;26-26
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Sensitive Equality;testAddressFromPubK;31-31;31-31
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Sensitive Equality;testAddressFromPrivK;36-36;36-36
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Lazy Test;testAddressFromPrivK, testAddressFromPubK;36, 31;36, 31
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Lazy Test;testVerification, testEncodeDecode;57, 56, 55, 54, 41;57, 56, 55, 54, 41
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Assertion Roulette;privKeyToPubKey;26-26;26-26
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Assertion Roulette;testAddressFromPubK;31-31;31-31
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Assertion Roulette;testAddressFromPrivK;36-36;36-36
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Assertion Roulette;testEncodeDecode;41-41;41-41
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Assertion Roulette;testEncodeDecode;43-43;43-43
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Assertion Roulette;testEncodeDecode;44-44;44-44
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Assertion Roulette;testEncodeDecode;46-46;46-46
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Assertion Roulette;testEncodeDecode;48-48;48-48
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Assertion Roulette;testEncodeDecode;49-49;49-49
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Assertion Roulette;testVerification;54-54;54-54
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Assertion Roulette;testVerification;55-55;55-55
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Assertion Roulette;testVerification;56-56;56-56
Paytomat-Crypto;AddressTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\AddressTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\tron\src\main\java\com\paytomat\tron\Address.java;JUnit4;60;10;Assertion Roulette;testVerification;57-57;57-57
Paytomat-Crypto;SignTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\SignTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\eth\src\main\java\com\paytomat\eth\crypto\Sign.java;JUnit4;30;2;Assertion Roulette;testSignature1;18-18;18-18
Paytomat-Crypto;SignTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\SignTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\eth\src\main\java\com\paytomat\eth\crypto\Sign.java;JUnit4;30;2;Assertion Roulette;testSignature2;27-27;27-27
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;63;3;Sensitive Equality;testTx1;23-23;23-23
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;63;3;Sensitive Equality;testTx1;26-26;26-26
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;63;3;Assertion Roulette;testTx1;23-23;23-23
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;63;3;Assertion Roulette;testTx1;24-24;24-24
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;63;3;Assertion Roulette;testTx1;26-26;26-26
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;63;3;Assertion Roulette;testTx1;30-30;30-30
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;63;3;Assertion Roulette;testTx1;36-37;36-37
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;63;3;Assertion Roulette;testTx2;48-49;48-49
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\binance\src\test\java\com\paytomat\binance\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;63;3;Assertion Roulette;testTx3;60-61;60-61
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Unknown Test;testTransactionSegwit;73-97;73-97
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Unknown Test;testMultiInputHorizenTx;198-229;198-229
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Sensitive Equality;testTransaction;69-70;69-70
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Sensitive Equality;testWithSegwitUtxoTransaction;189-190;189-190
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Verbose Test;testTransaction;39-71;39-71
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Verbose Test;testWithSegwitUtxoTransaction;99-191;99-191
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Verbose Test;testMultiInputHorizenTx;198-229;198-229
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Lazy Test;testWithSegwitUtxoTransaction, testTransaction;190, 70;190, 70
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Assertion Roulette;testTransaction;69-70;69-70
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Assertion Roulette;testWithSegwitUtxoTransaction;189-190;189-190
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Conditional Test Logic;testMultiInputHorizenTx;207-215;207-215
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Print Statement;testTransaction;41;41
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Print Statement;testTransactionSegwit;75;75
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Print Statement;testTransactionSegwit;76;76
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Print Statement;testWithSegwitUtxoTransaction;101;101
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Print Statement;testWithSegwitUtxoTransaction;102;102
Paytomat-Crypto;TransactionTest;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\btc\src\test\java\com\paytomat\btc\TransactionTest.java;C:\Users\cebec\.jnose_projects\Paytomat-Crypto\waves\src\main\java\com\paytomat\waves\Transaction.java;JUnit4;231;5;Print Statement;testMultiInputHorizenTx;228;228
