projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
PengueeBot;TestPosition;C:\Users\cebec\.jnose_projects\PengueeBot\src\test\java\TestPosition.java;C:\Users\cebec\.jnose_projects\PengueeBot\src\main\java\bot\penguee\Position.java;JUnit4;187;14;Lazy Test;testAdd2, testAdd;124, 111;124, 111
PengueeBot;TestPosition;C:\Users\cebec\.jnose_projects\PengueeBot\src\test\java\TestPosition.java;C:\Users\cebec\.jnose_projects\PengueeBot\src\main\java\bot\penguee\Position.java;JUnit4;187;14;Lazy Test;testSub2, testSub;150, 137;150, 137
PengueeBot;TestPosition;C:\Users\cebec\.jnose_projects\PengueeBot\src\test\java\TestPosition.java;C:\Users\cebec\.jnose_projects\PengueeBot\src\main\java\bot\penguee\Position.java;JUnit4;187;14;Lazy Test;testEquals, testSetName, testSub2, testSub, testAdd2, testAdd, testGetName, testGetY, testGetX, testConstructor5, testConstructor4, testConstructor3, testConstructor2, testConstructor1;179, 178, 177, 176, 175, 162, 149, 148, 136, 123, 122, 110, 99, 89, 80, 69, 58, 43, 42, 30, 18;179, 178, 177, 176, 175, 162, 149, 148, 136, 123, 122, 110, 99, 89, 80, 69, 58, 43, 42, 30, 18
PengueeBot;TestPosition;C:\Users\cebec\.jnose_projects\PengueeBot\src\test\java\TestPosition.java;C:\Users\cebec\.jnose_projects\PengueeBot\src\main\java\bot\penguee\Position.java;JUnit4;187;14;Eager Test;testGetX;80, 82;80, 82
PengueeBot;TestPosition;C:\Users\cebec\.jnose_projects\PengueeBot\src\test\java\TestPosition.java;C:\Users\cebec\.jnose_projects\PengueeBot\src\main\java\bot\penguee\Position.java;JUnit4;187;14;Eager Test;testGetY;89, 91;89, 91
PengueeBot;TestPosition;C:\Users\cebec\.jnose_projects\PengueeBot\src\test\java\TestPosition.java;C:\Users\cebec\.jnose_projects\PengueeBot\src\main\java\bot\penguee\Position.java;JUnit4;187;14;Eager Test;testGetName;101, 99;101, 99
PengueeBot;TestPosition;C:\Users\cebec\.jnose_projects\PengueeBot\src\test\java\TestPosition.java;C:\Users\cebec\.jnose_projects\PengueeBot\src\main\java\bot\penguee\Position.java;JUnit4;187;14;Eager Test;testAdd;110, 111;110, 111
PengueeBot;TestPosition;C:\Users\cebec\.jnose_projects\PengueeBot\src\test\java\TestPosition.java;C:\Users\cebec\.jnose_projects\PengueeBot\src\main\java\bot\penguee\Position.java;JUnit4;187;14;Eager Test;testAdd2;122, 123, 124;122, 123, 124
PengueeBot;TestPosition;C:\Users\cebec\.jnose_projects\PengueeBot\src\test\java\TestPosition.java;C:\Users\cebec\.jnose_projects\PengueeBot\src\main\java\bot\penguee\Position.java;JUnit4;187;14;Eager Test;testSub;136, 137;136, 137
PengueeBot;TestPosition;C:\Users\cebec\.jnose_projects\PengueeBot\src\test\java\TestPosition.java;C:\Users\cebec\.jnose_projects\PengueeBot\src\main\java\bot\penguee\Position.java;JUnit4;187;14;Eager Test;testSub2;148, 149, 150;148, 149, 150
