projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
PretendYoureXyzzy;ConstantsTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\ConstantsTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\Constants.java;JUnit4;72;2;Conditional Test Logic;ensureNoDuplicateValues;28-30;28-30
PretendYoureXyzzy;ConstantsTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\ConstantsTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\Constants.java;JUnit4;72;2;Conditional Test Logic;ensureNoDuplicateValues;34-37;34-37
PretendYoureXyzzy;ConstantsTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\ConstantsTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\Constants.java;JUnit4;72;2;Conditional Test Logic;ensureNoDuplicateValues;33-39;33-39
PretendYoureXyzzy;ConstantsTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\ConstantsTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\Constants.java;JUnit4;72;2;Conditional Test Logic;ensureNoDuplicateValues;26-40;26-40
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Magic Number Test;testGetAndDestroyGame;183;183
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Magic Number Test;testGetAndDestroyGame;187;187
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Magic Number Test;testGetAndDestroyGame;191;191
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Magic Number Test;testGetAndDestroyGame;196;196
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Magic Number Test;testGetAndDestroyGame;201;201
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Magic Number Test;testGetAndDestroyGame;205;205
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Magic Number Test;testGetAndDestroyGame;209;209
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Magic Number Test;testGetAndDestroyGame;213;213
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Magic Number Test;testGetAndDestroyGame;217;217
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Verbose Test;testGetAndDestroyGame;177-218;177-218
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Duplicate Assert;testGetAndDestroyGame;187, 201, 209;187, 201, 209
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Duplicate Assert;testGetAndDestroyGame;191, 217;191, 217
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Duplicate Assert;testGetAndDestroyGame;196, 205, 213;196, 205, 213
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Duplicate Assert;testCreateGame;235, 238, 241;235, 238, 241
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Assertion Roulette;testGetAndDestroyGame;183-183;183-183
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Assertion Roulette;testGetAndDestroyGame;187-187;187-187
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Assertion Roulette;testGetAndDestroyGame;191-191;191-191
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Assertion Roulette;testGetAndDestroyGame;196-196;196-196
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Assertion Roulette;testGetAndDestroyGame;201-201;201-201
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Assertion Roulette;testGetAndDestroyGame;205-205;205-205
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Assertion Roulette;testGetAndDestroyGame;209-209;209-209
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Assertion Roulette;testGetAndDestroyGame;213-213;213-213
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Assertion Roulette;testGetAndDestroyGame;217-217;217-217
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Assertion Roulette;testCreateGame;235-235;235-235
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Assertion Roulette;testCreateGame;238-238;238-238
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Assertion Roulette;testCreateGame;241-241;241-241
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;Assertion Roulette;testCreateGame;244-244;244-244
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;General Fixture;setUp;110;110
PretendYoureXyzzy;GameManagerTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameManagerTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\GameManager.java;JUnit4;246;14;General Fixture;setUp;108;108
PretendYoureXyzzy;GameTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\Game.java;JUnit4;119;10;Assertion Roulette;testRemovePlayer;110-110;110-110
PretendYoureXyzzy;GameTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\Game.java;JUnit4;119;10;Assertion Roulette;testRemovePlayer;111-111;111-111
PretendYoureXyzzy;GameTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\Game.java;JUnit4;119;10;Assertion Roulette;testRemovePlayer;112-112;112-112
PretendYoureXyzzy;GameTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\Game.java;JUnit4;119;10;Assertion Roulette;testRemovePlayer;113-113;113-113
PretendYoureXyzzy;GameTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\Game.java;JUnit4;119;10;Assertion Roulette;testRemovePlayer;114-114;114-114
PretendYoureXyzzy;GameTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\data\GameTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\data\Game.java;JUnit4;119;10;General Fixture;setUp;89;89
PretendYoureXyzzy;ChatFilterTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\util\ChatFilterTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\util\ChatFilter.java;JUnit4;40;1;Assertion Roulette;testSimpleMessagePattern;35-35;35-35
PretendYoureXyzzy;ChatFilterTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\util\ChatFilterTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\util\ChatFilter.java;JUnit4;40;1;Assertion Roulette;testSimpleMessagePattern;36-36;36-36
PretendYoureXyzzy;ChatFilterTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\util\ChatFilterTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\util\ChatFilter.java;JUnit4;40;1;Assertion Roulette;testSimpleMessagePattern;37-37;37-37
PretendYoureXyzzy;ChatFilterTest;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\test\java\net\socialgamer\cah\util\ChatFilterTest.java;C:\Users\cebec\.jnose_projects\PretendYoureXyzzy\src\main\java\net\socialgamer\cah\util\ChatFilter.java;JUnit4;40;1;Assertion Roulette;testSimpleMessagePattern;38-38;38-38
