projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
ProtocolLib;BlockingHashMapTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\concurrency\BlockingHashMapTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\concurrency\BlockingHashMap.java;JUnit5;53;1;Sleepy Test;test;44-44;44-44
ProtocolLib;BlockingHashMapTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\concurrency\BlockingHashMapTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\concurrency\BlockingHashMap.java;JUnit5;53;1;Assertion Roulette;test;51-51;51-51
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Unknown Test;testGetBytes;156-160;156-160
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Unknown Test;testGetShorts;162-166;162-166
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Unknown Test;testGetIntegers;168-172;168-172
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Unknown Test;testGetLongs;174-178;174-178
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Unknown Test;testGetFloat;180-184;180-184
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Unknown Test;testGetDoubles;186-190;186-190
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Unknown Test;testGetStrings;192-196;192-196
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Unknown Test;testGetStringArrays;198-205;198-205
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Unknown Test;testAttributeList;432-470;432-470
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Unknown Test;testGenericEnums;568-573;568-573
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;IgnoredTest;testPrimitive;115-122;115-122
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;IgnoredTest;testObjectArray;124-135;124-135
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;IgnoredTest;testEquality;878-960;878-960
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Magic Number Test;testPrimitive;121;121
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Magic Number Test;testObjectArray;134;134
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Magic Number Test;testGetByteArrays;149;149
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Magic Number Test;testGetByteArrays;153;153
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Magic Number Test;testGetIntegerArrays;214;214
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Magic Number Test;testGetIntegerArrays;217;217
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Magic Number Test;testGetItemModifier;231;231
ProtocolLib;PacketContainerTest;C:\Users\cebec\.jnose_projects\ProtocolLib\src\test\java\com\comphenix\protocol\events\PacketContainerTest.java;C:\Users\cebec\.jnose_projects\ProtocolLib\src\main\java\com\comphenix\protocol\events\PacketContainer.java;JUnit5;1007;55;Magic Number Test;testGetItemListModifier;252;252
