projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
RDFUnit;PrefixNSServiceTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-commons\src\test\java\org\aksw\rdfunit\services\PrefixNSServiceTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-commons\src\main\java\org\aksw\rdfunit\services\PrefixNSService.java;JUnit4;30;1;Conditional Test Logic;testGetPrefix;24-28;24-28
RDFUnit;PrefixNSServiceTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-commons\src\test\java\org\aksw\rdfunit\services\PrefixNSServiceTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-commons\src\main\java\org\aksw\rdfunit\services\PrefixNSService.java;JUnit4;30;1;Exception Catching Throwing;testGetPrefix;18-21;18-21
RDFUnit;RdfResultsWriterFactoryTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\test\java\org\aksw\rdfunit\io\writer\RdfResultsWriterFactoryTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\main\java\org\aksw\rdfunit\io\writer\RdfResultsWriterFactory.java;JUnit4;114;8;Assertion Roulette;testOutputWellFormed;69-69;69-69
RDFUnit;RdfResultsWriterFactoryTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\test\java\org\aksw\rdfunit\io\writer\RdfResultsWriterFactoryTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\main\java\org\aksw\rdfunit\io\writer\RdfResultsWriterFactory.java;JUnit4;114;8;Conditional Test Logic;testOutputWellFormed;71-77;71-77
RDFUnit;LOVEndpointTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\test\java\org\aksw\rdfunit\prefix\LOVEndpointTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\main\java\org\aksw\rdfunit\prefix\LOVEndpoint.java;JUnit4;72;1;IgnoredTest;testExtractResourceLocation;Eyl.71;Eyl.71
RDFUnit;AbstractTestSourceTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\test\java\org\aksw\rdfunit\sources\AbstractTestSourceTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\main\java\org\aksw\rdfunit\sources\AbstractTestSource.java;JUnit4;105;20;Assertion Roulette;testGetQueryingConfig;51-51;51-51
RDFUnit;AbstractTestSourceTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\test\java\org\aksw\rdfunit\sources\AbstractTestSourceTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\main\java\org\aksw\rdfunit\sources\AbstractTestSource.java;JUnit4;105;20;Assertion Roulette;testGetReferencesSchemata;58-58;58-58
RDFUnit;AbstractTestSourceTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\test\java\org\aksw\rdfunit\sources\AbstractTestSourceTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\main\java\org\aksw\rdfunit\sources\AbstractTestSource.java;JUnit4;105;20;Assertion Roulette;testGetPrefix;64-64;64-64
RDFUnit;AbstractTestSourceTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\test\java\org\aksw\rdfunit\sources\AbstractTestSourceTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\main\java\org\aksw\rdfunit\sources\AbstractTestSource.java;JUnit4;105;20;Assertion Roulette;testGetUri;70-70;70-70
RDFUnit;AbstractTestSourceTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\test\java\org\aksw\rdfunit\sources\AbstractTestSourceTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\main\java\org\aksw\rdfunit\sources\AbstractTestSource.java;JUnit4;105;20;Assertion Roulette;testGetSourceType;76-76;76-76
RDFUnit;AbstractTestSourceTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\test\java\org\aksw\rdfunit\sources\AbstractTestSourceTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\main\java\org\aksw\rdfunit\sources\AbstractTestSource.java;JUnit4;105;20;Assertion Roulette;testGetCacheTTL;83-83;83-83
RDFUnit;AbstractTestSourceTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\test\java\org\aksw\rdfunit\sources\AbstractTestSourceTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\main\java\org\aksw\rdfunit\sources\AbstractTestSource.java;JUnit4;105;20;Assertion Roulette;testGetQueryDelay;90-90;90-90
RDFUnit;AbstractTestSourceTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\test\java\org\aksw\rdfunit\sources\AbstractTestSourceTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\main\java\org\aksw\rdfunit\sources\AbstractTestSource.java;JUnit4;105;20;Assertion Roulette;testGetQueryLimit;96-96;96-96
RDFUnit;AbstractTestSourceTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\test\java\org\aksw\rdfunit\sources\AbstractTestSourceTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\main\java\org\aksw\rdfunit\sources\AbstractTestSource.java;JUnit4;105;20;Assertion Roulette;testGetPagination;102-102;102-102
RDFUnit;AbstractTestSourceTest;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\test\java\org\aksw\rdfunit\sources\AbstractTestSourceTest.java;C:\Users\cebec\.jnose_projects\RDFUnit\rdfunit-core\src\main\java\org\aksw\rdfunit\sources\AbstractTestSource.java;JUnit4;105;20;Conditional Test Logic;testGetReferencesSchemata;57-59;57-59
