projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
RelaxFactory;CookieRfc6265UtilTest;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\test\java\rxf\couch\CookieRfc6265UtilTest.java;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-core\src\main\java\rxf\core\CookieRfc6265Util.java;JUnit4;136;9;Assertion Roulette;testSimpleHeader;109-109;109-109
RelaxFactory;CookieRfc6265UtilTest;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\test\java\rxf\couch\CookieRfc6265UtilTest.java;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-core\src\main\java\rxf\core\CookieRfc6265Util.java;JUnit4;136;9;Assertion Roulette;testMultiHeader;121-121;121-121
RelaxFactory;CookieRfc6265UtilTest;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\test\java\rxf\couch\CookieRfc6265UtilTest.java;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-core\src\main\java\rxf\core\CookieRfc6265Util.java;JUnit4;136;9;Assertion Roulette;testMultiHeader;122-122;122-122
RelaxFactory;CookieRfc6265UtilTest;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\test\java\rxf\couch\CookieRfc6265UtilTest.java;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-core\src\main\java\rxf\core\CookieRfc6265Util.java;JUnit4;136;9;Assertion Roulette;testHeaderLineContinuations;133-133;133-133
RelaxFactory;DateHeaderParserTest;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\test\java\rxf\couch\DateHeaderParserTest.java;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-core\src\main\java\rxf\core\DateHeaderParser.java;JUnit4;48;4;Unknown Test;testFmt;42-47;42-47
RelaxFactory;DateHeaderParserTest;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\test\java\rxf\couch\DateHeaderParserTest.java;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-core\src\main\java\rxf\core\DateHeaderParser.java;JUnit4;48;4;Assertion Roulette;testIfModifiedStuff;36-36;36-36
RelaxFactory;DateHeaderParserTest;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\test\java\rxf\couch\DateHeaderParserTest.java;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-core\src\main\java\rxf\core\DateHeaderParser.java;JUnit4;48;4;Conditional Test Logic;testIfModifiedStuff;31-38;31-38
RelaxFactory;DateHeaderParserTest;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\test\java\rxf\couch\DateHeaderParserTest.java;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-core\src\main\java\rxf\core\DateHeaderParser.java;JUnit4;48;4;Conditional Test Logic;testFmt;44-46;44-46
RelaxFactory;CouchServiceTest;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\test\java\rxf\couch\gen\CouchServiceTest.java;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\main\java\rxf\couch\CouchService.java;JUnit4;587;32;Magic Number Test;testSimpleFinder;161;161
RelaxFactory;CouchServiceTest;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\test\java\rxf\couch\gen\CouchServiceTest.java;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\main\java\rxf\couch\CouchService.java;JUnit4;587;32;Magic Number Test;testSimpleFinderEmptyRowset;186;186
RelaxFactory;CouchServiceTest;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\test\java\rxf\couch\gen\CouchServiceTest.java;C:\Users\cebec\.jnose_projects\RelaxFactory\rxf-couch\src\main\java\rxf\couch\CouchService.java;JUnit4;587;32;Magic Number Test;testMultiParamFinder;219;219
