projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
RuleKit;ActionTests;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\test\adaa\analytics\rules\ActionTests.java;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\src\main\java\adaa\analytics\rules\logic\representation\Action.java;JUnit4;625;32;Unknown Test;testData;256-623;256-623
RuleKit;ActionTests;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\test\adaa\analytics\rules\ActionTests.java;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\src\main\java\adaa\analytics\rules\logic\representation\Action.java;JUnit4;625;32;IgnoredTest;test;115-129;115-129
RuleKit;ActionTests;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\test\adaa\analytics\rules\ActionTests.java;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\src\main\java\adaa\analytics\rules\logic\representation\Action.java;JUnit4;625;32;IgnoredTest;testBackwardRules2;131-143;131-143
RuleKit;ActionTests;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\test\adaa\analytics\rules\ActionTests.java;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\src\main\java\adaa\analytics\rules\logic\representation\Action.java;JUnit4;625;32;IgnoredTest;testBackwardRules;145-157;145-157
RuleKit;ActionTests;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\test\adaa\analytics\rules\ActionTests.java;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\src\main\java\adaa\analytics\rules\logic\representation\Action.java;JUnit4;625;32;Verbose Test;testData;256-623;256-623
RuleKit;ActionTests;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\test\adaa\analytics\rules\ActionTests.java;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\src\main\java\adaa\analytics\rules\logic\representation\Action.java;JUnit4;625;32;Constructor Initialization;ActionTests;55-89;55-89
RuleKit;ActionTests;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\test\adaa\analytics\rules\ActionTests.java;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\src\main\java\adaa\analytics\rules\logic\representation\Action.java;JUnit4;625;32;General Fixture;beforeTest;103;103
RuleKit;ActionTests;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\test\adaa\analytics\rules\ActionTests.java;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\src\main\java\adaa\analytics\rules\logic\representation\Action.java;JUnit4;625;32;General Fixture;beforeTest;104;104
RuleKit;ActionTests;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\test\adaa\analytics\rules\ActionTests.java;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\src\main\java\adaa\analytics\rules\logic\representation\Action.java;JUnit4;625;32;General Fixture;beforeTest;106;106
RuleKit;ActionMetaTableTest;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\test\adaa\analytics\rules\logic\actions\ActionMetaTableTest.java;C:\Users\cebec\.jnose_projects\RuleKit\adaa.analytics.rules\src\main\java\adaa\analytics\rules\logic\actions\ActionMetaTable.java;JUnit4;293;13;Unknown Test;testRegressionRecommendation_dryrun;101-117;101-117
