projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Magic Number Test;testRountrip;81;81
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Magic Number Test;testRountrip;87;87
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Magic Number Test;testRountrip;94;94
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Verbose Test;testRountrip;68-101;68-101
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Assertion Roulette;testRountrip;75-75;75-75
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Assertion Roulette;testRountrip;81-81;81-81
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Assertion Roulette;testRountrip;87-87;87-87
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Assertion Roulette;testRountrip;92-92;92-92
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Assertion Roulette;testRountrip;93-93;93-93
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Assertion Roulette;testRountrip;94-94;94-94
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Assertion Roulette;testRountrip;95-95;95-95
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Assertion Roulette;testRountrip;96-96;96-96
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Assertion Roulette;testRountrip;97-97;97-97
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Assertion Roulette;testMaximumCount;119-119;119-119
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Assertion Roulette;testMaximumCount;124-124;124-124
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Conditional Test Logic;testRountrip;90-98;90-98
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Conditional Test Logic;testMaximumCount;110-112;110-112
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Conditional Test Logic;testMaximumCount;114-116;114-116
SES;H2StreamPersistenceTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\test\java\org\n52\ses\persistency\H2StreamPersistenceTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-core\src\main\java\org\n52\ses\persistency\streams\H2StreamPersistence.java;JUnit4;138;9;Conditional Test Logic;testMaximumCount;122-125;122-125
SES;OM20ParserTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-io\src\test\java\org\n52\ses\io\parser\test\OM20ParserTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-io\src\main\java\org\n52\ses\io\parser\OM20Parser.java;JUnit4;67;3;Magic Number Test;testParsing;54;54
SES;WXXMParserTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-io\src\test\java\org\n52\ses\io\parser\test\WXXMParserTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-io\src\main\java\org\n52\ses\io\parser\WXXMParser.java;JUnit4;64;3;Eager Test;testParsing;49, 50;49, 50
SES;SimpleAltitudeQueryTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-service-access\src\test\java\org\n52\ses\services\wfs\test\SimpleAltitudeQueryTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-service-access\src\main\java\org\n52\ses\services\wfs\queries\SimpleAltitudeQuery.java;JUnit3;153;3;Duplicate Assert;testQueryCreation;80, 83;80, 83
SES;SimpleAltitudeQueryTest;C:\Users\cebec\.jnose_projects\SES\52n-ses-service-access\src\test\java\org\n52\ses\services\wfs\test\SimpleAltitudeQueryTest.java;C:\Users\cebec\.jnose_projects\SES\52n-ses-service-access\src\main\java\org\n52\ses\services\wfs\queries\SimpleAltitudeQuery.java;JUnit3;153;3;Eager Test;testQueryCreation;79, 82, 83;79, 82, 83
