projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
SensorPlanningService;SensorTaskTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\model\SensorTaskTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\model\SensorTask.java;JUnit4;75;8;Sensitive Equality;testGetTaskStatusAsString;72-72;72-72
SensorPlanningService;SensorTaskTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\model\SensorTaskTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\model\SensorTask.java;JUnit4;75;8;Assertion Roulette;testSensorTaskCreation;59-59;59-59
SensorPlanningService;SensorTaskTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\model\SensorTaskTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\model\SensorTask.java;JUnit4;75;8;Assertion Roulette;testSensorTaskCreation;60-60;60-60
SensorPlanningService;SensorTaskTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\model\SensorTaskTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\model\SensorTask.java;JUnit4;75;8;Assertion Roulette;testSensorTaskCreation;61-61;61-61
SensorPlanningService;SensorTaskTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\model\SensorTaskTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\model\SensorTask.java;JUnit4;75;8;Assertion Roulette;testGetTaskStatusAsString;72-72;72-72
SensorPlanningService;SensorTaskTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\model\SensorTaskTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\model\SensorTask.java;JUnit4;75;8;General Fixture;setUp;46;46
SensorPlanningService;SensorTaskTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\model\SensorTaskTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\model\SensorTask.java;JUnit4;75;8;General Fixture;setUp;47;47
SensorPlanningService;SensorTaskTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\model\SensorTaskTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\model\SensorTask.java;JUnit4;75;8;General Fixture;setUp;48;48
SensorPlanningService;SensorTaskStatusTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\SensorTaskStatusTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\SensorTaskStatus.java;JUnit4;55;2;Lazy Test;testGetSensorTaskStatusThrowingException, testGetSensorTaskStatus;48, 43, 42, 41, 40, 39, 38;48, 43, 42, 41, 40, 39, 38
SensorPlanningService;SensorTaskStatusTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\SensorTaskStatusTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\SensorTaskStatus.java;JUnit4;55;2;Assertion Roulette;testGetSensorTaskStatus;38-38;38-38
SensorPlanningService;SensorTaskStatusTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\SensorTaskStatusTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\SensorTaskStatus.java;JUnit4;55;2;Assertion Roulette;testGetSensorTaskStatus;39-39;39-39
SensorPlanningService;SensorTaskStatusTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\SensorTaskStatusTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\SensorTaskStatus.java;JUnit4;55;2;Assertion Roulette;testGetSensorTaskStatus;40-40;40-40
SensorPlanningService;SensorTaskStatusTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\SensorTaskStatusTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\SensorTaskStatus.java;JUnit4;55;2;Assertion Roulette;testGetSensorTaskStatus;41-41;41-41
SensorPlanningService;SensorTaskStatusTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\SensorTaskStatusTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\SensorTaskStatus.java;JUnit4;55;2;Assertion Roulette;testGetSensorTaskStatus;42-42;42-42
SensorPlanningService;SensorTaskStatusTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\SensorTaskStatusTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\SensorTaskStatus.java;JUnit4;55;2;Assertion Roulette;testGetSensorTaskStatus;43-43;43-43
SensorPlanningService;SensorTaskStatusTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\SensorTaskStatusTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\SensorTaskStatus.java;JUnit4;55;2;Exception Catching Throwing;testGetSensorTaskStatusThrowingException;47-52;47-52
SensorPlanningService;StatusReportGeneratorTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\StatusReportGeneratorTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\StatusReportGenerator.java;JUnit4;137;16;Lazy Test;testGenerateForAcceptedTask, testGenerateForPendingTask, testGenerateForRejectedTask;118, 93, 85;118, 93, 85
SensorPlanningService;StatusReportGeneratorTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\StatusReportGeneratorTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\StatusReportGenerator.java;JUnit4;137;16;Assertion Roulette;testValidCreation;63-63;63-63
SensorPlanningService;StatusReportGeneratorTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\StatusReportGeneratorTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\StatusReportGenerator.java;JUnit4;137;16;Assertion Roulette;testGenerate;74-74;74-74
SensorPlanningService;StatusReportGeneratorTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\StatusReportGeneratorTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\StatusReportGenerator.java;JUnit4;137;16;Assertion Roulette;testGenerateForRejectedTask;87-87;87-87
SensorPlanningService;StatusReportGeneratorTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\StatusReportGeneratorTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\StatusReportGenerator.java;JUnit4;137;16;Assertion Roulette;testGenerateForPendingTask;95-95;95-95
SensorPlanningService;StatusReportGeneratorTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\StatusReportGeneratorTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\StatusReportGenerator.java;JUnit4;137;16;General Fixture;setUp;51;51
SensorPlanningService;StatusReportGeneratorTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\StatusReportGeneratorTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\StatusReportGenerator.java;JUnit4;137;16;General Fixture;setUp;52;52
SensorPlanningService;StatusReportGeneratorTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\sensor\StatusReportGeneratorTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\sensor\StatusReportGenerator.java;JUnit4;137;16;General Fixture;setUp;53;53
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Magic Number Test;testGetSensors;112;112
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Lazy Test;testSetSensorConfigurationRepository, testGetSensorConfigurationRepository;178, 170, 168;178, 170, 168
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Lazy Test;testGetSensorForTaskId, testGetSensorForProcedure, testContainsSensorWith, testContainsTaskWith, testGetSensors, testAddSensor;159, 152, 145, 118, 110, 108, 100;159, 152, 145, 118, 110, 108, 100
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Lazy Test;testSetSensorTaskRepository, testGetSensorTaskRepository;194, 186, 184;194, 186, 184
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Lazy Test;testSetSensorConfigurationRepository, testGetSensorConfigurationRepository;178, 170, 168;178, 170, 168
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Lazy Test;testGetSensorForTaskId, testGetSensorForProcedure, testContainsSensorWith, testContainsTaskWith, testGetSensors, testAddSensor;159, 152, 145, 118, 110, 108, 100;159, 152, 145, 118, 110, 108, 100
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Lazy Test;testSetSensorTaskRepository, testGetSensorTaskRepository;194, 186, 184;194, 186, 184
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Assertion Roulette;testInit;93-93;93-93
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Assertion Roulette;testAddSensor;99-99;99-99
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Assertion Roulette;testAddSensor;101-101;101-101
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Assertion Roulette;testGetSensors;106-106;106-106
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Assertion Roulette;testGetSensors;111-111;111-111
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Assertion Roulette;testGetSensors;112-112;112-112
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Assertion Roulette;testContainsTaskWith;120-120;120-120
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Assertion Roulette;testContainsSensorWith;146-146;146-146
SensorPlanningService;SensorInstanceProviderTest;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\test\java\org\n52\sps\service\core\SensorInstanceProviderTest.java;C:\Users\cebec\.jnose_projects\SensorPlanningService\52n-sps-api\src\main\java\org\n52\sps\service\core\SensorInstanceProvider.java;JUnit4;258;28;Assertion Roulette;testGetSensorForProcedure;153-153;153-153
