projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
SensorWebClient;ArcGISSoeEReportingMetadataHandlerTest;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\test\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandlerTest.java;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\main\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandler.java;JUnit4;142;12;Lazy Test;shouldParseWholePhenomenonWhenNoBraceGroupAvailable, shouldParseCategoryFromPhenomenonLabelWithMultipleBraceGroup, shouldParseCategoryFromPhenomenonLabelWithSingleBraceGroup;97, 91, 85;97, 91, 85
SensorWebClient;ArcGISSoeEReportingMetadataHandlerTest;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\test\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandlerTest.java;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\main\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandler.java;JUnit4;142;12;Lazy Test;shouldParseWholePhenomenonWhenNoBraceGroupAvailable, shouldParseCategoryFromPhenomenonLabelWithMultipleBraceGroup, shouldParseCategoryFromPhenomenonLabelWithSingleBraceGroup;97, 91, 85;97, 91, 85
SensorWebClient;ArcGISSoeEReportingMetadataHandlerTest;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\test\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandlerTest.java;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\main\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandler.java;JUnit4;142;12;Assertion Roulette;shouldInitEReportingCapabilities;68-68;68-68
SensorWebClient;ArcGISSoeEReportingMetadataHandlerTest;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\test\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandlerTest.java;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\main\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandler.java;JUnit4;142;12;Assertion Roulette;shouldPerformMetadataCompletion;76-76;76-76
SensorWebClient;ArcGISSoeEReportingMetadataHandlerTest;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\test\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandlerTest.java;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\main\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandler.java;JUnit4;142;12;Assertion Roulette;shouldPerformMetadataCompletion;80-80;80-80
SensorWebClient;ArcGISSoeEReportingMetadataHandlerTest;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\test\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandlerTest.java;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\main\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandler.java;JUnit4;142;12;Assertion Roulette;shouldParseCategoryFromPhenomenonLabelWithSingleBraceGroup;86-86;86-86
SensorWebClient;ArcGISSoeEReportingMetadataHandlerTest;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\test\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandlerTest.java;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\main\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandler.java;JUnit4;142;12;Assertion Roulette;shouldParseCategoryFromPhenomenonLabelWithMultipleBraceGroup;92-92;92-92
SensorWebClient;ArcGISSoeEReportingMetadataHandlerTest;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\test\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandlerTest.java;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\main\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandler.java;JUnit4;142;12;Assertion Roulette;shouldParseWholePhenomenonWhenNoBraceGroupAvailable;98-98;98-98
SensorWebClient;ArcGISSoeEReportingMetadataHandlerTest;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\test\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandlerTest.java;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\main\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandler.java;JUnit4;142;12;General Fixture;setUp;62;62
SensorWebClient;ArcGISSoeEReportingMetadataHandlerTest;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\test\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandlerTest.java;C:\Users\cebec\.jnose_projects\SensorWebClient\sensorwebclient-ags\src\main\java\org\n52\server\sos\connector\ags\ArcGISSoeEReportingMetadataHandler.java;JUnit4;142;12;General Fixture;setUp;63;63
