projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
SpinalTap;AbstractDestinationTest;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\test\java\com\airbnb\spinaltap\common\destination\AbstractDestinationTest.java;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\main\java\com\airbnb\spinaltap\common\destination\AbstractDestination.java;JUnit4;128;13;Magic Number Test;testSend;55;55
SpinalTap;AbstractDestinationTest;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\test\java\com\airbnb\spinaltap\common\destination\AbstractDestinationTest.java;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\main\java\com\airbnb\spinaltap\common\destination\AbstractDestination.java;JUnit4;128;13;Magic Number Test;testSendEmptyMutationList;66;66
SpinalTap;AbstractDestinationTest;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\test\java\com\airbnb\spinaltap\common\destination\AbstractDestinationTest.java;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\main\java\com\airbnb\spinaltap\common\destination\AbstractDestination.java;JUnit4;128;13;Assertion Roulette;testSend;55-55;55-55
SpinalTap;AbstractDestinationTest;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\test\java\com\airbnb\spinaltap\common\destination\AbstractDestinationTest.java;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\main\java\com\airbnb\spinaltap\common\destination\AbstractDestination.java;JUnit4;128;13;Assertion Roulette;testSend;56-56;56-56
SpinalTap;AbstractDestinationTest;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\test\java\com\airbnb\spinaltap\common\destination\AbstractDestinationTest.java;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\main\java\com\airbnb\spinaltap\common\destination\AbstractDestination.java;JUnit4;128;13;Assertion Roulette;testSendEmptyMutationList;66-66;66-66
SpinalTap;AbstractDestinationTest;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\test\java\com\airbnb\spinaltap\common\destination\AbstractDestinationTest.java;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\main\java\com\airbnb\spinaltap\common\destination\AbstractDestination.java;JUnit4;128;13;Assertion Roulette;testSendEmptyMutationList;67-67;67-67
SpinalTap;AbstractDestinationTest;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\test\java\com\airbnb\spinaltap\common\destination\AbstractDestinationTest.java;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\main\java\com\airbnb\spinaltap\common\destination\AbstractDestination.java;JUnit4;128;13;Assertion Roulette;testSendFailure;82-82;82-82
SpinalTap;AbstractDestinationTest;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\test\java\com\airbnb\spinaltap\common\destination\AbstractDestinationTest.java;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\main\java\com\airbnb\spinaltap\common\destination\AbstractDestination.java;JUnit4;128;13;Assertion Roulette;testOpen;97-97;97-97
SpinalTap;AbstractDestinationTest;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\test\java\com\airbnb\spinaltap\common\destination\AbstractDestinationTest.java;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\main\java\com\airbnb\spinaltap\common\destination\AbstractDestination.java;JUnit4;128;13;Assertion Roulette;testOpen;101-101;101-101
SpinalTap;AbstractDestinationTest;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\test\java\com\airbnb\spinaltap\common\destination\AbstractDestinationTest.java;C:\Users\cebec\.jnose_projects\SpinalTap\spinaltap-common\src\main\java\com\airbnb\spinaltap\common\destination\AbstractDestination.java;JUnit4;128;13;Exception Catching Throwing;testSendFailure;79-86;79-86
