projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
TDD_Demo;LoginActivityTest;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\androidTest\java\com\tdd\nilesh\studentattendance\login\LoginActivityTest.java;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\main\java\com\tdd\nilesh\studentattendance\login\LoginActivity.java;JUnit4;67;5;Unknown Test;checkUserNameEditTextIsDisplayed;37-41;37-41
TDD_Demo;LoginActivityTest;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\androidTest\java\com\tdd\nilesh\studentattendance\login\LoginActivityTest.java;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\main\java\com\tdd\nilesh\studentattendance\login\LoginActivity.java;JUnit4;67;5;Unknown Test;checkPasswordEditTextIsDisplayed;43-47;43-47
TDD_Demo;LoginActivityTest;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\androidTest\java\com\tdd\nilesh\studentattendance\login\LoginActivityTest.java;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\main\java\com\tdd\nilesh\studentattendance\login\LoginActivity.java;JUnit4;67;5;Unknown Test;checkErrorMessageIsDisplayedForEmptyData;49-54;49-54
TDD_Demo;LoginActivityTest;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\androidTest\java\com\tdd\nilesh\studentattendance\login\LoginActivityTest.java;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\main\java\com\tdd\nilesh\studentattendance\login\LoginActivity.java;JUnit4;67;5;Unknown Test;checkLoginSuccess;56-64;56-64
TDD_Demo;LoginPresenterTest;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\test\java\com\tdd\nilesh\studentattendance\login\LoginPresenterTest.java;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\main\java\com\tdd\nilesh\studentattendance\login\LoginPresenter.java;JUnit4;63;5;Unknown Test;checkUsernameAndPasswordIsCorrect;34-41;34-41
TDD_Demo;LoginPresenterTest;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\test\java\com\tdd\nilesh\studentattendance\login\LoginPresenterTest.java;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\main\java\com\tdd\nilesh\studentattendance\login\LoginPresenter.java;JUnit4;63;5;Unknown Test;checkUsernameAndPasswordIsInCorrect;43-50;43-50
TDD_Demo;LoginPresenterTest;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\test\java\com\tdd\nilesh\studentattendance\login\LoginPresenterTest.java;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\main\java\com\tdd\nilesh\studentattendance\login\LoginPresenter.java;JUnit4;63;5;Unknown Test;checkIfLoginAttemptIsExceededAndViewMethodCalled;52-62;52-62
TDD_Demo;LoginPresenterTest;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\test\java\com\tdd\nilesh\studentattendance\login\LoginPresenterTest.java;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\main\java\com\tdd\nilesh\studentattendance\login\LoginPresenter.java;JUnit4;63;5;Magic Number Test;checkIfLoginAttemptIsExceeded;19;19
TDD_Demo;LoginPresenterTest;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\test\java\com\tdd\nilesh\studentattendance\login\LoginPresenterTest.java;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\main\java\com\tdd\nilesh\studentattendance\login\LoginPresenter.java;JUnit4;63;5;Magic Number Test;checkIfLoginAttemptIsExceeded;20;20
TDD_Demo;LoginPresenterTest;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\test\java\com\tdd\nilesh\studentattendance\login\LoginPresenterTest.java;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\main\java\com\tdd\nilesh\studentattendance\login\LoginPresenter.java;JUnit4;63;5;Magic Number Test;checkIfLoginAttemptIsExceeded;21;21
TDD_Demo;LoginPresenterTest;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\test\java\com\tdd\nilesh\studentattendance\login\LoginPresenterTest.java;C:\Users\cebec\.jnose_projects\TDD_Demo\app\src\main\java\com\tdd\nilesh\studentattendance\login\LoginPresenter.java;JUnit4;63;5;Lazy Test;checkIfLoginAttemptIsNotExceeded, checkIfLoginAttemptIsExceeded;30, 22;30, 22
