projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
ThreeTen-Backport-Gson-Adapter;InstantConverterTest;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\test\java\org\aaronhe\threetengson\InstantConverterTest.java;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\main\java\org\aaronhe\threetengson\InstantConverter.java;JUnit4;38;4;Assertion Roulette;testSerialization;27-27;27-27
ThreeTen-Backport-Gson-Adapter;InstantConverterTest;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\test\java\org\aaronhe\threetengson\InstantConverterTest.java;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\main\java\org\aaronhe\threetengson\InstantConverter.java;JUnit4;38;4;Assertion Roulette;testDeserialization;36-36;36-36
ThreeTen-Backport-Gson-Adapter;LocalDateConverterTest;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\test\java\org\aaronhe\threetengson\LocalDateConverterTest.java;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\main\java\org\aaronhe\threetengson\LocalDateConverter.java;JUnit4;38;4;Assertion Roulette;testSerialization;27-27;27-27
ThreeTen-Backport-Gson-Adapter;LocalDateConverterTest;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\test\java\org\aaronhe\threetengson\LocalDateConverterTest.java;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\main\java\org\aaronhe\threetengson\LocalDateConverter.java;JUnit4;38;4;Assertion Roulette;testDeserialization;36-36;36-36
ThreeTen-Backport-Gson-Adapter;LocalDateTimeConverterTest;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\test\java\org\aaronhe\threetengson\LocalDateTimeConverterTest.java;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\main\java\org\aaronhe\threetengson\LocalDateTimeConverter.java;JUnit4;39;4;Assertion Roulette;testSerialization;27-27;27-27
ThreeTen-Backport-Gson-Adapter;LocalDateTimeConverterTest;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\test\java\org\aaronhe\threetengson\LocalDateTimeConverterTest.java;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\main\java\org\aaronhe\threetengson\LocalDateTimeConverter.java;JUnit4;39;4;Assertion Roulette;testDeserialization;36-36;36-36
ThreeTen-Backport-Gson-Adapter;LocalTimeConverterTest;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\test\java\org\aaronhe\threetengson\LocalTimeConverterTest.java;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\main\java\org\aaronhe\threetengson\LocalTimeConverter.java;JUnit4;38;4;Assertion Roulette;testSerialization;27-27;27-27
ThreeTen-Backport-Gson-Adapter;LocalTimeConverterTest;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\test\java\org\aaronhe\threetengson\LocalTimeConverterTest.java;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\main\java\org\aaronhe\threetengson\LocalTimeConverter.java;JUnit4;38;4;Assertion Roulette;testDeserialization;36-36;36-36
ThreeTen-Backport-Gson-Adapter;OffsetDateTimeConverterTest;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\test\java\org\aaronhe\threetengson\OffsetDateTimeConverterTest.java;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\main\java\org\aaronhe\threetengson\OffsetDateTimeConverter.java;JUnit4;38;4;Assertion Roulette;testSerialization;27-27;27-27
ThreeTen-Backport-Gson-Adapter;OffsetDateTimeConverterTest;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\test\java\org\aaronhe\threetengson\OffsetDateTimeConverterTest.java;C:\Users\cebec\.jnose_projects\ThreeTen-Backport-Gson-Adapter\src\main\java\org\aaronhe\threetengson\OffsetDateTimeConverter.java;JUnit4;38;4;Assertion Roulette;testDeserialization;36-36;36-36
