projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
Troilus;HistoryTableTest;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\api\HistoryTableTest.java;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\api\HistoryTable.java;JUnit4;68;5;Unknown Test;testHistoryTable;57-65;57-65
Troilus;HotelTest;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\HotelTest.java;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\Hotel.java;JUnit4;399;6;Magic Number Test;testExample;198;198
Troilus;HotelTest;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\HotelTest.java;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\Hotel.java;JUnit4;399;6;Sensitive Equality;testExample;274-274;274-274
Troilus;HotelTest;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\HotelTest.java;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\Hotel.java;JUnit4;399;6;Verbose Test;testExample;70-354;70-354
Troilus;HotelTest;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\HotelTest.java;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\Hotel.java;JUnit4;399;6;Verbose Test;testWithName;358-395;358-395
Troilus;HotelTest;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\HotelTest.java;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\Hotel.java;JUnit4;399;6;Duplicate Assert;testExample;257, 275;257, 275
Troilus;HotelTest;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\HotelTest.java;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\Hotel.java;JUnit4;399;6;Eager Test;testExample;135, 238, 82;135, 238, 82
Troilus;HotelTest;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\HotelTest.java;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\Hotel.java;JUnit4;399;6;Assertion Roulette;testExample;116-116;116-116
Troilus;HotelTest;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\HotelTest.java;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\Hotel.java;JUnit4;399;6;Assertion Roulette;testExample;117-117;117-117
Troilus;HotelTest;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\HotelTest.java;C:\Users\cebec\.jnose_projects\Troilus\troilus-core\src\test\java\net\oneandone\troilus\example\Hotel.java;JUnit4;399;6;Assertion Roulette;testExample;118-118;118-118
