projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
WPS;AnnotatedAlgorithmIntrospectorTest;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\test\java\org\n52\wps\algorithm\annotation\AnnotatedAlgorithmIntrospectorTest.java;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\main\java\org\n52\wps\algorithm\annotation\AnnotatedAlgorithmIntrospector.java;JUnit4;36;3;Unknown Test;testClassWithNoExecuteAnnotation;30-35;30-35
WPS;AlgorithmDescriptorTest;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\test\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptorTest.java;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\main\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptor.java;JUnit3;332;15;Magic Number Test;testInputDescriptorHandling;161;161
WPS;AlgorithmDescriptorTest;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\test\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptorTest.java;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\main\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptor.java;JUnit3;332;15;Magic Number Test;testInputDescriptorHandling;163;163
WPS;AlgorithmDescriptorTest;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\test\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptorTest.java;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\main\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptor.java;JUnit3;332;15;Magic Number Test;testOutputDescriptorHanding;206;206
WPS;AlgorithmDescriptorTest;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\test\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptorTest.java;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\main\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptor.java;JUnit3;332;15;Magic Number Test;testOutputDescriptorHanding;208;208
WPS;AlgorithmDescriptorTest;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\test\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptorTest.java;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\main\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptor.java;JUnit3;332;15;Verbose Test;testInputDescriptorHandling;155-188;155-188
WPS;AlgorithmDescriptorTest;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\test\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptorTest.java;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\main\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptor.java;JUnit3;332;15;Verbose Test;testOutputDescriptorHanding;190-232;190-232
WPS;AlgorithmDescriptorTest;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\test\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptorTest.java;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\main\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptor.java;JUnit3;332;15;Duplicate Assert;testStoreSupported;128, 132;128, 132
WPS;AlgorithmDescriptorTest;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\test\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptorTest.java;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\main\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptor.java;JUnit3;332;15;Duplicate Assert;testStatusSupported;144, 148;144, 148
WPS;AlgorithmDescriptorTest;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\test\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptorTest.java;C:\Users\cebec\.jnose_projects\WPS\52n-wps-algorithm\src\main\java\org\n52\wps\algorithm\descriptor\AlgorithmDescriptor.java;JUnit3;332;15;Assertion Roulette;testStaticBuilder_String;74-74;74-74
