projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
XS2A-Sandbox;ConsentMapperTest;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\cms-connector\cms-connector-impl\src\test\java\de\adorsys\psd2\sandbox\cms\connector\impl\mapper\ConsentMapperTest.java;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\cms-connector\cms-connector-impl\src\main\java\de\adorsys\psd2\sandbox\cms\connector\impl\mapper\ConsentMapper.java;JUnit5;224;41;Assertion Roulette;toCmsAisConsentRequest;90-90;90-90
XS2A-Sandbox;ConsentMapperTest;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\cms-connector\cms-connector-impl\src\test\java\de\adorsys\psd2\sandbox\cms\connector\impl\mapper\ConsentMapperTest.java;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\cms-connector\cms-connector-impl\src\main\java\de\adorsys\psd2\sandbox\cms\connector\impl\mapper\ConsentMapper.java;JUnit5;224;41;Assertion Roulette;toCmsAisConsentRequest;91-91;91-91
XS2A-Sandbox;ConsentMapperTest;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\cms-connector\cms-connector-impl\src\test\java\de\adorsys\psd2\sandbox\cms\connector\impl\mapper\ConsentMapperTest.java;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\cms-connector\cms-connector-impl\src\main\java\de\adorsys\psd2\sandbox\cms\connector\impl\mapper\ConsentMapper.java;JUnit5;224;41;Assertion Roulette;toCmsAisConsentRequest;93-93;93-93
XS2A-Sandbox;CmsDbNativeServiceImplTest;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\cms-connector\cms-connector-impl\src\test\java\de\adorsys\psd2\sandbox\cms\connector\impl\service\CmsDbNativeServiceImplTest.java;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\cms-connector\cms-connector-impl\src\main\java\de\adorsys\psd2\sandbox\cms\connector\impl\service\CmsDbNativeServiceImpl.java;JUnit5;102;6;Exception Catching Throwing;revertDatabase;76-80;76-80
XS2A-Sandbox;CmsDbNativeServiceImplTest;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\cms-connector\cms-connector-impl\src\test\java\de\adorsys\psd2\sandbox\cms\connector\impl\service\CmsDbNativeServiceImplTest.java;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\cms-connector\cms-connector-impl\src\main\java\de\adorsys\psd2\sandbox\cms\connector\impl\service\CmsDbNativeServiceImpl.java;JUnit5;102;6;Exception Catching Throwing;deleteConsents;96-100;96-100
XS2A-Sandbox;ConsentServiceImplTest;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\cms-connector\cms-connector-impl\src\test\java\de\adorsys\psd2\sandbox\cms\connector\impl\service\ConsentServiceImplTest.java;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\online-banking\oba-service-impl\src\main\java\de\adorsys\ledgers\oba\service\impl\service\ConsentServiceImpl.java;JUnit5;78;7;Assertion Roulette;generateConsents;64-64;64-64
XS2A-Sandbox;JWTAuthenticationFilterTest;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\online-banking\oba-rest-server\src\test\java\de\adorsys\ledgers\oba\rest\server\auth\JWTAuthenticationFilterTest.java;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\online-banking\oba-rest-server\src\main\java\de\adorsys\ledgers\oba\rest\server\auth\JWTAuthenticationFilter.java;JUnit5;95;9;Unknown Test;doFilterInternal;64-76;64-76
XS2A-Sandbox;JWTAuthenticationFilterTest;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\online-banking\oba-rest-server\src\test\java\de\adorsys\ledgers\oba\rest\server\auth\JWTAuthenticationFilterTest.java;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\online-banking\oba-rest-server\src\main\java\de\adorsys\ledgers\oba\rest\server\auth\JWTAuthenticationFilter.java;JUnit5;95;9;Assertion Roulette;shouldNotFilter;87-87;87-87
XS2A-Sandbox;OauthServerLinkResolverTest;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\online-banking\oba-rest-server\src\test\java\de\adorsys\ledgers\oba\rest\server\config\security\OauthServerLinkResolverTest.java;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\online-banking\oba-rest-server\src\main\java\de\adorsys\ledgers\oba\rest\server\config\security\OauthServerLinkResolver.java;JUnit5;60;8;Lazy Test;resolve_non_parametrized, resolve_parametrized;47, 37;47, 37
XS2A-Sandbox;OauthServerLinkResolverTest;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\online-banking\oba-rest-server\src\test\java\de\adorsys\ledgers\oba\rest\server\config\security\OauthServerLinkResolverTest.java;C:\Users\cebec\.jnose_projects\XS2A-Sandbox\online-banking\oba-rest-server\src\main\java\de\adorsys\ledgers\oba\rest\server\config\security\OauthServerLinkResolver.java;JUnit5;60;8;Lazy Test;resolve_non_parametrized, resolve_parametrized;46, 36;46, 36
