projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
ZhihuDailyNews;ZhihuCommentServiceTest;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\test\java\com\yininghuang\zhihudailynews\net\ZhihuCommentServiceTest.java;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\main\java\com\yininghuang\zhihudailynews\net\ZhihuCommentService.java;JUnit4;41;5;Assertion Roulette;getNewsExtra;25-25;25-25
ZhihuDailyNews;ZhihuCommentServiceTest;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\test\java\com\yininghuang\zhihudailynews\net\ZhihuCommentServiceTest.java;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\main\java\com\yininghuang\zhihudailynews\net\ZhihuCommentService.java;JUnit4;41;5;Assertion Roulette;getComments;31-31;31-31
ZhihuDailyNews;ZhihuCommentServiceTest;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\test\java\com\yininghuang\zhihudailynews\net\ZhihuCommentServiceTest.java;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\main\java\com\yininghuang\zhihudailynews\net\ZhihuCommentService.java;JUnit4;41;5;Assertion Roulette;getHistoryComments;37-37;37-37
ZhihuDailyNews;ZhihuDailyServiceTest;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\test\java\com\yininghuang\zhihudailynews\net\ZhihuDailyServiceTest.java;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\main\java\com\yininghuang\zhihudailynews\net\ZhihuDailyService.java;JUnit4;41;5;Assertion Roulette;getLatestNews;26-26;26-26
ZhihuDailyNews;ZhihuDailyServiceTest;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\test\java\com\yininghuang\zhihudailynews\net\ZhihuDailyServiceTest.java;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\main\java\com\yininghuang\zhihudailynews\net\ZhihuDailyService.java;JUnit4;41;5;Assertion Roulette;getNewsContent;32-32;32-32
ZhihuDailyNews;ZhihuDailyServiceTest;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\test\java\com\yininghuang\zhihudailynews\net\ZhihuDailyServiceTest.java;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\main\java\com\yininghuang\zhihudailynews\net\ZhihuDailyService.java;JUnit4;41;5;Assertion Roulette;getHistoryNews;38-38;38-38
ZhihuDailyNews;ZhihuStartupServiceTest;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\test\java\com\yininghuang\zhihudailynews\net\ZhihuStartupServiceTest.java;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\main\java\com\yininghuang\zhihudailynews\net\ZhihuStartupService.java;JUnit4;28;3;Assertion Roulette;getStartup;25-25;25-25
ZhihuDailyNews;ZhihuThemeServiceTest;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\test\java\com\yininghuang\zhihudailynews\net\ZhihuThemeServiceTest.java;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\main\java\com\yininghuang\zhihudailynews\net\ZhihuThemeService.java;JUnit4;41;5;Assertion Roulette;getThemes;26-26;26-26
ZhihuDailyNews;ZhihuThemeServiceTest;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\test\java\com\yininghuang\zhihudailynews\net\ZhihuThemeServiceTest.java;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\main\java\com\yininghuang\zhihudailynews\net\ZhihuThemeService.java;JUnit4;41;5;Assertion Roulette;getTheme;32-32;32-32
ZhihuDailyNews;ZhihuThemeServiceTest;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\test\java\com\yininghuang\zhihudailynews\net\ZhihuThemeServiceTest.java;C:\Users\cebec\.jnose_projects\ZhihuDailyNews\app\src\main\java\com\yininghuang\zhihudailynews\net\ZhihuThemeService.java;JUnit4;41;5;Assertion Roulette;getHistoryThemeStory;38-38;38-38
