projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Unknown Test;connection_manager_enters_suspended_state_on_transport_failure_after_already_being_disconnected_for_2_minutes;753-784;753-784
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;IgnoredTest;connectionmanager_fallback_none_withoutconnection;129-160;129-160
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;IgnoredTest;connectionmanager_reconnect_default_fallback;325-370;325-370
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Magic Number Test;connection_is_closed_after_max_idle_interval;570;570
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Verbose Test;connectionmanager_default_fallback_applied;174-217;174-217
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Verbose Test;connectionmanager_default_endpoint_no_fallback;226-267;226-267
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Verbose Test;connectionmanager_default_endpoint_explicit_fallback;276-319;276-319
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Verbose Test;open_from_dedicated_thread;438-479;438-479
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Verbose Test;close_from_dedicated_thread;485-523;485-523
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Verbose Test;connection_has_new_id_when_reconnecting_after_statettl_plus_idleinterval_has_passed;578-611;578-611
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Verbose Test;channels_are_reattached_after_reconnecting_when_statettl_plus_idleinterval_has_passed;640-706;640-706
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Verbose Test;connection_manager_enters_suspended_state_on_transport_failure_after_already_being_disconnected_for_2_minutes;753-784;753-784
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Verbose Test;connection_manager_sends_close_message_on_closed;794-831;794-831
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Sleepy Test;close_from_connectionmanager;391-391;391-391
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Sleepy Test;open_from_dedicated_thread;474-474;474-474
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Sleepy Test;connection_has_new_id_when_reconnecting_after_statettl_plus_idleinterval_has_passed;600-600;600-600
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Sleepy Test;channels_are_reattached_after_reconnecting_when_statettl_plus_idleinterval_has_passed;678-678;678-678
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Sleepy Test;connection_manager_sends_close_message_on_closed;805-805;805-805
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Sleepy Test;connection_manager_sends_close_message_on_closed;828-828;828-828
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Lazy Test;channels_are_reattached_after_reconnecting_when_statettl_plus_idleinterval_has_passed, connection_has_same_id_when_reconnecting_before_statettl_plus_idleinterval_has_passed, connection_has_new_id_when_reconnecting_after_statettl_plus_idleinterval_has_passed, connection_is_closed_after_max_idle_interval, connection_details_has_ttl, close_from_dedicated_thread, open_from_dedicated_thread, connectionmanager_restart_race;652, 621, 586, 563, 544, 499, 462, 408;652, 621, 586, 563, 544, 499, 462, 408
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Lazy Test;channels_are_reattached_after_reconnecting_when_statettl_plus_idleinterval_has_passed, connection_has_same_id_when_reconnecting_before_statettl_plus_idleinterval_has_passed, connection_has_new_id_when_reconnecting_after_statettl_plus_idleinterval_has_passed, connection_is_closed_after_max_idle_interval, connection_details_has_ttl, close_from_dedicated_thread, open_from_dedicated_thread, connectionmanager_restart_race;652, 621, 586, 563, 544, 499, 462, 408;652, 621, 586, 563, 544, 499, 462, 408
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Lazy Test;channels_are_reattached_after_reconnecting_when_statettl_plus_idleinterval_has_passed, connection_has_same_id_when_reconnecting_before_statettl_plus_idleinterval_has_passed, connection_has_new_id_when_reconnecting_after_statettl_plus_idleinterval_has_passed, connection_is_closed_after_max_idle_interval, connection_details_has_ttl, close_from_dedicated_thread, open_from_dedicated_thread, connectionmanager_restart_race;652, 621, 586, 563, 544, 499, 462, 408;652, 621, 586, 563, 544, 499, 462, 408
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Duplicate Assert;connectionmanager_restart_race;418, 431;418, 431
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connectionmanager_fallback_none;82-82;82-82
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connectionmanager_fallback_none;83-83;83-83
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connectionmanager_fallback_none_customhost;112-112;112-112
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connectionmanager_fallback_none_customhost;113-113;113-113
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connectionmanager_default_fallback_applied;214-214;214-214
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connectionmanager_default_fallback_applied;215-215;215-215
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connectionmanager_default_endpoint_no_fallback;264-264;264-264
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connectionmanager_default_endpoint_no_fallback;265-265;265-265
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connectionmanager_default_endpoint_explicit_fallback;316-316;316-316
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connectionmanager_default_endpoint_explicit_fallback;317-317;317-317
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connection_details_has_ttl;537-537;537-537
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connection_details_has_ttl;541-541;541-541
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connection_details_has_ttl;547-547;547-547
ably-java;ConnectionManagerTest;C:\Users\cebec\.jnose_projects\ably-java\lib\src\test\java\io\ably\lib\test\realtime\ConnectionManagerTest.java;C:\Users\cebec\.jnose_projects\ably-java\lib\src\main\java\io\ably\lib\transport\ConnectionManager.java;JUnit4;855;20;Assertion Roulette;connection_is_closed_after_max_idle_interval;570-570;570-570
