projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
abstools;CollectionUtilTest;C:\Users\cebec\.jnose_projects\abstools\abs-foreign-interface\java\abs-java-util\src\test\java\abs\fli\java\CollectionUtilTest.java;C:\Users\cebec\.jnose_projects\abstools\abs-foreign-interface\java\abs-java-util\src\main\java\abs\fli\java\CollectionUtil.java;JUnit4;47;5;Assertion Roulette;testConvertListOfA;33-33;33-33
abstools;CollectionUtilTest;C:\Users\cebec\.jnose_projects\abstools\abs-foreign-interface\java\abs-java-util\src\test\java\abs\fli\java\CollectionUtilTest.java;C:\Users\cebec\.jnose_projects\abstools\abs-foreign-interface\java\abs-java-util\src\main\java\abs\fli\java\CollectionUtil.java;JUnit4;47;5;Assertion Roulette;testConvertListOfA1;44-44;44-44
abstools;ByteUtilTest;C:\Users\cebec\.jnose_projects\abstools\abs-foreign-interface\java\abs-java-util\src\test\java\abs\fli\java\io\ByteUtilTest.java;C:\Users\cebec\.jnose_projects\abstools\abs-foreign-interface\java\abs-java-util\src\main\java\abs\fli\java\io\ByteUtil.java;JUnit4;59;7;Assertion Roulette;testConvertByte;42-44;42-44
abstools;ByteUtilTest;C:\Users\cebec\.jnose_projects\abstools\abs-foreign-interface\java\abs-java-util\src\test\java\abs\fli\java\io\ByteUtilTest.java;C:\Users\cebec\.jnose_projects\abstools\abs-foreign-interface\java\abs-java-util\src\main\java\abs\fli\java\io\ByteUtil.java;JUnit4;59;7;Assertion Roulette;testConvert;51-51;51-51
abstools;ByteUtilTest;C:\Users\cebec\.jnose_projects\abstools\abs-foreign-interface\java\abs-java-util\src\test\java\abs\fli\java\io\ByteUtilTest.java;C:\Users\cebec\.jnose_projects\abstools\abs-foreign-interface\java\abs-java-util\src\main\java\abs\fli\java\io\ByteUtil.java;JUnit4;59;7;Assertion Roulette;testConvert;52-52;52-52
abstools;DeltaTests;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\backend\common\DeltaTests.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\backend\java\lib\runtime\metaABS\Delta.java;JUnit4;31;7;Constructor Initialization;DeltaTests;15-17;15-17
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Magic Number Test;trieStructure1;35;35
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Magic Number Test;trieStructure1;38;38
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Magic Number Test;trieStructure1;39;39
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Magic Number Test;trieStructure2;61;61
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Magic Number Test;trieStructure2;65;65
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Magic Number Test;trieStructure2;66;66
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Magic Number Test;trieStructure2;67;67
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Assertion Roulette;trieStructure1;34-34;34-34
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Assertion Roulette;trieStructure1;35-35;35-35
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Assertion Roulette;trieStructure1;36-36;36-36
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Assertion Roulette;trieStructure1;37-37;37-37
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Assertion Roulette;trieStructure1;38-38;38-38
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Assertion Roulette;trieStructure1;39-39;39-39
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Assertion Roulette;trieStructure1;40-40;40-40
abstools;DeltaTrieTest;C:\Users\cebec\.jnose_projects\abstools\frontend\src\test\java\org\abs_models\frontend\delta\DeltaTrieTest.java;C:\Users\cebec\.jnose_projects\abstools\frontend\src\main\java\org\abs_models\frontend\delta\DeltaTrie.java;JUnit4;103;3;Assertion Roulette;trieStructure2;60-60;60-60
