projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
access2csv;DriverTest;C:\Users\cebec\.jnose_projects\access2csv\src\test\java\access2csv\DriverTest.java;C:\Users\cebec\.jnose_projects\access2csv\src\main\java\access2csv\Driver.java;JUnit4;103;11;Unknown Test;testMainHelp;79-83;79-83
access2csv;DriverTest;C:\Users\cebec\.jnose_projects\access2csv\src\test\java\access2csv\DriverTest.java;C:\Users\cebec\.jnose_projects\access2csv\src\main\java\access2csv\Driver.java;JUnit4;103;11;Unknown Test;testMainSchemaMissingDatabase;88-92;88-92
access2csv;DriverTest;C:\Users\cebec\.jnose_projects\access2csv\src\test\java\access2csv\DriverTest.java;C:\Users\cebec\.jnose_projects\access2csv\src\main\java\access2csv\Driver.java;JUnit4;103;11;Unknown Test;testHeaderMissingDatabase;97-101;97-101
access2csv;DriverTest;C:\Users\cebec\.jnose_projects\access2csv\src\test\java\access2csv\DriverTest.java;C:\Users\cebec\.jnose_projects\access2csv\src\main\java\access2csv\Driver.java;JUnit4;103;11;IgnoredTest;testExportDatabaseStringWriterBoolean;43-47;43-47
access2csv;DriverTest;C:\Users\cebec\.jnose_projects\access2csv\src\test\java\access2csv\DriverTest.java;C:\Users\cebec\.jnose_projects\access2csv\src\main\java\access2csv\Driver.java;JUnit4;103;11;IgnoredTest;testExportStringString;52-56;52-56
access2csv;DriverTest;C:\Users\cebec\.jnose_projects\access2csv\src\test\java\access2csv\DriverTest.java;C:\Users\cebec\.jnose_projects\access2csv\src\main\java\access2csv\Driver.java;JUnit4;103;11;IgnoredTest;testSchema;61-65;61-65
access2csv;DriverTest;C:\Users\cebec\.jnose_projects\access2csv\src\test\java\access2csv\DriverTest.java;C:\Users\cebec\.jnose_projects\access2csv\src\main\java\access2csv\Driver.java;JUnit4;103;11;IgnoredTest;testExportAll;70-74;70-74
access2csv;DriverTest;C:\Users\cebec\.jnose_projects\access2csv\src\test\java\access2csv\DriverTest.java;C:\Users\cebec\.jnose_projects\access2csv\src\main\java\access2csv\Driver.java;JUnit4;103;11;Resource Optimism;testMainSchemaMissingDatabase;88-92;88-92
access2csv;DriverTest;C:\Users\cebec\.jnose_projects\access2csv\src\test\java\access2csv\DriverTest.java;C:\Users\cebec\.jnose_projects\access2csv\src\main\java\access2csv\Driver.java;JUnit4;103;11;Resource Optimism;testHeaderMissingDatabase;97-101;97-101
access2csv;DriverTest;C:\Users\cebec\.jnose_projects\access2csv\src\test\java\access2csv\DriverTest.java;C:\Users\cebec\.jnose_projects\access2csv\src\main\java\access2csv\Driver.java;JUnit4;103;11;Lazy Test;testHeaderMissingDatabase, testMainSchemaMissingDatabase, testMainHelp;100, 91, 82, 81;100, 91, 82, 81
access2csv;DriverTest;C:\Users\cebec\.jnose_projects\access2csv\src\test\java\access2csv\DriverTest.java;C:\Users\cebec\.jnose_projects\access2csv\src\main\java\access2csv\Driver.java;JUnit4;103;11;General Fixture;setUp;36;36
