projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Magic Number Test;testGenerateJson;302;302
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Magic Number Test;testGenerateJson;303;303
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Magic Number Test;testGenerateJson;304;304
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Magic Number Test;testGenerateJson;305;305
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Magic Number Test;testGenerateJson;306;306
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Verbose Test;testGenerateJson;254-310;254-310
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Eager Test;testGenerateJson;258, 306;258, 306
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Assertion Roulette;testGenerateJson;302-302;302-302
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Assertion Roulette;testGenerateJson;303-303;303-303
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Assertion Roulette;testGenerateJson;304-304;304-304
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Assertion Roulette;testGenerateJson;305-305;305-305
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Assertion Roulette;testGenerateJson;306-306;306-306
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Constructor Initialization;AccountingSystemTest;26-27;26-27
accounting_Soft;AccountingSystemTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\AccountingSystemTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\AccountingSystem.java;JUnit4;311;6;Print Statement;testGenerateJson;256;256
accounting_Soft;CryptoTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\CryptoTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Crypto.java;JUnit4;83;7;Assertion Roulette;testEncrypt;66-66;66-66
accounting_Soft;CryptoTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\CryptoTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Crypto.java;JUnit4;83;7;Assertion Roulette;testDecrypt;80-80;80-80
accounting_Soft;CryptoTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\CryptoTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Crypto.java;JUnit4;83;7;Constructor Initialization;CryptoTest;24-25;24-25
accounting_Soft;CryptoTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\CryptoTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Crypto.java;JUnit4;83;7;Print Statement;testEncrypt;60;60
accounting_Soft;CryptoTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\CryptoTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Crypto.java;JUnit4;83;7;Print Statement;testDecrypt;74;74
accounting_Soft;JsonParserTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\JsonParserTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\JsonParser.java;JUnit4;140;7;Unknown Test;testJSONDecode;65-75;65-75
accounting_Soft;JsonParserTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\JsonParserTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\JsonParser.java;JUnit4;140;7;Unknown Test;testJSONEncode;81-126;81-126
accounting_Soft;JsonParserTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\JsonParserTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\JsonParser.java;JUnit4;140;7;Verbose Test;testJSONEncode;81-126;81-126
accounting_Soft;JsonParserTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\JsonParserTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\JsonParser.java;JUnit4;140;7;Constructor Initialization;JsonParserTest;31-32;31-32
accounting_Soft;JsonParserTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\JsonParserTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\JsonParser.java;JUnit4;140;7;Exception Catching Throwing;testJSONDecode;69-73;69-73
accounting_Soft;JsonParserTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\JsonParserTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\JsonParser.java;JUnit4;140;7;Print Statement;testJSONDecode;67;67
accounting_Soft;JsonParserTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\JsonParserTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\JsonParser.java;JUnit4;140;7;Print Statement;testJSONEncode;83;83
accounting_Soft;PersonnelTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\PersonnelTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Personnel.java;JUnit4;292;9;Magic Number Test;testGetSskBonus;233;233
accounting_Soft;PersonnelTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\PersonnelTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Personnel.java;JUnit4;292;9;Lazy Test;testToString, testGetDescription, testGetExpense, testGetSskBonus;285, 271, 257, 230;285, 271, 257, 230
accounting_Soft;PersonnelTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\PersonnelTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Personnel.java;JUnit4;292;9;Eager Test;testGetSskBonus;230, 232;230, 232
accounting_Soft;PersonnelTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\PersonnelTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Personnel.java;JUnit4;292;9;Eager Test;testGetExpense;257, 259;257, 259
accounting_Soft;PersonnelTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\PersonnelTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Personnel.java;JUnit4;292;9;Eager Test;testGetDescription;271, 273;271, 273
accounting_Soft;PersonnelTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\PersonnelTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Personnel.java;JUnit4;292;9;Eager Test;testToString;285, 287;285, 287
accounting_Soft;PersonnelTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\PersonnelTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Personnel.java;JUnit4;292;9;Assertion Roulette;testGetSskBonus;233-233;233-233
accounting_Soft;PersonnelTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\PersonnelTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Personnel.java;JUnit4;292;9;Assertion Roulette;testGetExpense;260-260;260-260
accounting_Soft;PersonnelTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\PersonnelTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Personnel.java;JUnit4;292;9;Assertion Roulette;testGetDescription;274-274;274-274
accounting_Soft;PersonnelTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\PersonnelTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Personnel.java;JUnit4;292;9;Assertion Roulette;testToString;288-288;288-288
accounting_Soft;PersonnelTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\PersonnelTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Personnel.java;JUnit4;292;9;Constructor Initialization;PersonnelTest;16-17;16-17
accounting_Soft;PersonnelTest;C:\Users\cebec\.jnose_projects\accounting_Soft\test\accounting\software\PersonnelTest.java;C:\Users\cebec\.jnose_projects\accounting_Soft\src\accounting\software\Personnel.java;JUnit4;292;9;Print Statement;testGetSskBonus;229;229
