projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
act;BrendaChebiOntologyTest;C:\Users\cebec\.jnose_projects\act\reachables\src\test\java\act\installer\brenda\BrendaChebiOntologyTest.java;C:\Users\cebec\.jnose_projects\act\reachables\src\main\java\act\installer\brenda\BrendaChebiOntology.java;JUnit4;83;1;Verbose Test;testApplicationToMainApplicationMapping;41-82;41-82
act;BrendaChebiOntologyTest;C:\Users\cebec\.jnose_projects\act\reachables\src\test\java\act\installer\brenda\BrendaChebiOntologyTest.java;C:\Users\cebec\.jnose_projects\act\reachables\src\main\java\act\installer\brenda\BrendaChebiOntology.java;JUnit4;83;1;Assertion Roulette;testApplicationToMainApplicationMapping;81-81;81-81
act;GenbankInstallerTest;C:\Users\cebec\.jnose_projects\act\reachables\src\test\java\act\installer\GenbankInstallerTest.java;C:\Users\cebec\.jnose_projects\act\reachables\src\main\java\act\installer\GenbankInstaller.java;JUnit4;696;23;Unknown Test;testProteinNullNull;281-297;281-297
act;GenbankInstallerTest;C:\Users\cebec\.jnose_projects\act\reachables\src\test\java\act\installer\GenbankInstallerTest.java;C:\Users\cebec\.jnose_projects\act\reachables\src\main\java\act\installer\GenbankInstaller.java;JUnit4;696;23;Unknown Test;testProteinNullFull;303-353;303-353
act;GenbankInstallerTest;C:\Users\cebec\.jnose_projects\act\reachables\src\test\java\act\installer\GenbankInstallerTest.java;C:\Users\cebec\.jnose_projects\act\reachables\src\main\java\act\installer\GenbankInstaller.java;JUnit4;696;23;Unknown Test;testProteinFullNull;359-410;359-410
act;GenbankInstallerTest;C:\Users\cebec\.jnose_projects\act\reachables\src\test\java\act\installer\GenbankInstallerTest.java;C:\Users\cebec\.jnose_projects\act\reachables\src\main\java\act\installer\GenbankInstaller.java;JUnit4;696;23;Unknown Test;testProteinFullFull;416-479;416-479
act;GenbankInstallerTest;C:\Users\cebec\.jnose_projects\act\reachables\src\test\java\act\installer\GenbankInstallerTest.java;C:\Users\cebec\.jnose_projects\act\reachables\src\main\java\act\installer\GenbankInstaller.java;JUnit4;696;23;Unknown Test;testProteinEcSeqOrgQuery;485-508;485-508
act;GenbankInstallerTest;C:\Users\cebec\.jnose_projects\act\reachables\src\test\java\act\installer\GenbankInstallerTest.java;C:\Users\cebec\.jnose_projects\act\reachables\src\main\java\act\installer\GenbankInstaller.java;JUnit4;696;23;Unknown Test;testProteinAccessionQuery;515-564;515-564
act;GenbankInstallerTest;C:\Users\cebec\.jnose_projects\act\reachables\src\test\java\act\installer\GenbankInstallerTest.java;C:\Users\cebec\.jnose_projects\act\reachables\src\main\java\act\installer\GenbankInstaller.java;JUnit4;696;23;Unknown Test;testDnaInstall;566-682;566-682
act;GenbankInstallerTest;C:\Users\cebec\.jnose_projects\act\reachables\src\test\java\act\installer\GenbankInstallerTest.java;C:\Users\cebec\.jnose_projects\act\reachables\src\main\java\act\installer\GenbankInstaller.java;JUnit4;696;23;Resource Optimism;setUp;108-274;108-274
