projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
actor-platform;StringMatcherTest;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\core\core-shared\src\test\java\im\actor\core\util\StringMatcherTest.java;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\core\core-shared\src\main\java\im\actor\core\util\StringMatcher.java;JUnit3;16;1;Magic Number Test;testMatch;12;12
actor-platform;StringMatcherTest;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\core\core-shared\src\test\java\im\actor\core\util\StringMatcherTest.java;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\core\core-shared\src\main\java\im\actor\core\util\StringMatcher.java;JUnit3;16;1;Magic Number Test;testMatch;13;13
actor-platform;StringMatcherTest;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\core\core-shared\src\test\java\im\actor\core\util\StringMatcherTest.java;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\core\core-shared\src\main\java\im\actor\core\util\StringMatcher.java;JUnit3;16;1;Magic Number Test;testMatch;14;14
actor-platform;StringMatcherTest;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\core\core-shared\src\test\java\im\actor\core\util\StringMatcherTest.java;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\core\core-shared\src\main\java\im\actor\core\util\StringMatcher.java;JUnit3;16;1;Assertion Roulette;testMatch;12-12;12-12
actor-platform;StringMatcherTest;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\core\core-shared\src\test\java\im\actor\core\util\StringMatcherTest.java;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\core\core-shared\src\main\java\im\actor\core\util\StringMatcher.java;JUnit3;16;1;Assertion Roulette;testMatch;13-13;13-13
actor-platform;StringMatcherTest;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\core\core-shared\src\test\java\im\actor\core\util\StringMatcherTest.java;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\core\core-shared\src\main\java\im\actor\core\util\StringMatcher.java;JUnit3;16;1;Assertion Roulette;testMatch;14-14;14-14
actor-platform;SDPTest;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\runtime\runtime-shared\src\test\java\im\actor\runtime\webrtc\sdp\SDPTest.java;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\runtime\runtime-shared\src\main\java\im\actor\runtime\webrtc\sdp\SDP.java;JUnit4;149;4;Unknown Test;testSDP2;143-148;143-148
actor-platform;SDPTest;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\runtime\runtime-shared\src\test\java\im\actor\runtime\webrtc\sdp\SDPTest.java;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\runtime\runtime-shared\src\main\java\im\actor\runtime\webrtc\sdp\SDP.java;JUnit4;149;4;Magic Number Test;testSDPParser;124;124
actor-platform;SDPTest;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\runtime\runtime-shared\src\test\java\im\actor\runtime\webrtc\sdp\SDPTest.java;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\runtime\runtime-shared\src\main\java\im\actor\runtime\webrtc\sdp\SDP.java;JUnit4;149;4;Magic Number Test;testSDPParser;131;131
actor-platform;SDPTest;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\runtime\runtime-shared\src\test\java\im\actor\runtime\webrtc\sdp\SDPTest.java;C:\Users\cebec\.jnose_projects\actor-platform\actor-sdk\sdk-core\runtime\runtime-shared\src\main\java\im\actor\runtime\webrtc\sdp\SDP.java;JUnit4;149;4;Magic Number Test;testSDPParser;132;132
