projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
adamant-android;AdamantApiWrapperTest;C:\Users\cebec\.jnose_projects\adamant-android\app\src\test\java\im\adamant\android\cases\core\AdamantApiWrapperTest.java;C:\Users\cebec\.jnose_projects\adamant-android\app\src\main\java\im\adamant\android\core\AdamantApiWrapper.java;JUnit4;127;11;IgnoredTest;multiThreadingReadAndWriteAuthorization;62-82;62-82
adamant-android;FCMNotificationServiceFacadeTest;C:\Users\cebec\.jnose_projects\adamant-android\app\src\test\java\im\adamant\android\cases\interactors\FCMNotificationServiceFacadeTest.java;C:\Users\cebec\.jnose_projects\adamant-android\app\src\main\java\im\adamant\android\interactors\push\FCMNotificationServiceFacade.java;JUnit4;81;8;General Fixture;setUp;55;55
adamant-android;FCMNotificationServiceFacadeTest;C:\Users\cebec\.jnose_projects\adamant-android\app\src\test\java\im\adamant\android\cases\interactors\FCMNotificationServiceFacadeTest.java;C:\Users\cebec\.jnose_projects\adamant-android\app\src\main\java\im\adamant\android\interactors\push\FCMNotificationServiceFacade.java;JUnit4;81;8;General Fixture;setUp;56;56
adamant-android;FCMNotificationServiceFacadeTest;C:\Users\cebec\.jnose_projects\adamant-android\app\src\test\java\im\adamant\android\cases\interactors\FCMNotificationServiceFacadeTest.java;C:\Users\cebec\.jnose_projects\adamant-android\app\src\main\java\im\adamant\android\interactors\push\FCMNotificationServiceFacade.java;JUnit4;81;8;General Fixture;setUp;57;57
adamant-android;FCMNotificationServiceFacadeTest;C:\Users\cebec\.jnose_projects\adamant-android\app\src\test\java\im\adamant\android\cases\interactors\FCMNotificationServiceFacadeTest.java;C:\Users\cebec\.jnose_projects\adamant-android\app\src\main\java\im\adamant\android\interactors\push\FCMNotificationServiceFacade.java;JUnit4;81;8;General Fixture;setUp;58;58
adamant-android;AdamantAddressExtractorTest;C:\Users\cebec\.jnose_projects\adamant-android\app\src\test\java\im\adamant\android\cases\markdown\AdamantAddressExtractorTest.java;C:\Users\cebec\.jnose_projects\adamant-android\app\src\main\java\im\adamant\android\markdown\AdamantAddressExtractor.java;JUnit4;52;2;Magic Number Test;extractValidAddress;33;33
adamant-android;AdamantAddressExtractorTest;C:\Users\cebec\.jnose_projects\adamant-android\app\src\test\java\im\adamant\android\cases\markdown\AdamantAddressExtractorTest.java;C:\Users\cebec\.jnose_projects\adamant-android\app\src\main\java\im\adamant\android\markdown\AdamantAddressExtractor.java;JUnit4;52;2;Magic Number Test;extractShortAddressMustBeFailed;50;50
adamant-android;AdamantAddressExtractorTest;C:\Users\cebec\.jnose_projects\adamant-android\app\src\test\java\im\adamant\android\cases\markdown\AdamantAddressExtractorTest.java;C:\Users\cebec\.jnose_projects\adamant-android\app\src\main\java\im\adamant\android\markdown\AdamantAddressExtractor.java;JUnit4;52;2;Lazy Test;extractShortAddressMustBeFailed, extractValidAddress;48, 31;48, 31
adamant-android;AdamantAddressExtractorTest;C:\Users\cebec\.jnose_projects\adamant-android\app\src\test\java\im\adamant\android\cases\markdown\AdamantAddressExtractorTest.java;C:\Users\cebec\.jnose_projects\adamant-android\app\src\main\java\im\adamant\android\markdown\AdamantAddressExtractor.java;JUnit4;52;2;Assertion Roulette;extractValidAddress;32-32;32-32
adamant-android;AdamantAddressExtractorTest;C:\Users\cebec\.jnose_projects\adamant-android\app\src\test\java\im\adamant\android\cases\markdown\AdamantAddressExtractorTest.java;C:\Users\cebec\.jnose_projects\adamant-android\app\src\main\java\im\adamant\android\markdown\AdamantAddressExtractor.java;JUnit4;52;2;Assertion Roulette;extractValidAddress;33-33;33-33
