projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;IgnoredTest;testGettersAndSetters;70-83;70-83
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Magic Number Test;testGettersAndSetters;74;74
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Magic Number Test;testGettersAndSetters;77;77
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Magic Number Test;testGettersAndSetters;79;79
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Magic Number Test;thenAllSchemaShouldBeReturned;174;174
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Magic Number Test;thenASpecificSchemaShouldBeReturned;200;200
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Lazy Test;thenDoItShouldThrowAdempiereUserError, thenTheLogSummaryShouldBeUpdated;145, 121;145, 121
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Lazy Test;thenDoItShouldThrowAdempiereUserError, thenTheLogSummaryShouldBeUpdated;145, 121;145, 121
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Lazy Test;thenDoItShouldThrowAdempiereUserError, thenTheLogSummaryShouldBeUpdated;145, 121;145, 121
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Lazy Test;thenDoItShouldThrowAdempiereUserError, thenTheLogSummaryShouldBeUpdated;145, 121;145, 121
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Assertion Roulette;testGettersAndSetters;74-74;74-74
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Assertion Roulette;testGettersAndSetters;77-77;77-77
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Assertion Roulette;testGettersAndSetters;79-79;79-79
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Assertion Roulette;testGettersAndSetters;80-80;80-80
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Assertion Roulette;testGettersAndSetters;81-81;81-81
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Assertion Roulette;thenTheLogSummaryShouldBeUpdated;123-123;123-123
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Assertion Roulette;thenAllSchemaShouldBeReturned;174-174;174-174
adempiere;TestClientAcctProcessor;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\adempiere\process\TestClientAcctProcessor.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\adempiere\process\ClientAcctProcessor.java;JUnit5;206;10;Assertion Roulette;thenASpecificSchemaShouldBeReturned;200-200;200-200
adempiere;Convert_PostgreSQLTest;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\compiere\dbPort\Convert_PostgreSQLTest.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\compiere\dbPort\Convert_PostgreSQL.java;JUnit5;844;7;IgnoredTest;testConversionToPostgreSQLCompatibleSQL;56-63;56-63
adempiere;AccessSqlParserTest;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\compiere\model\AccessSqlParserTest.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\compiere\model\AccessSqlParser.java;JUnit5;209;3;IgnoredTest;testAccessSqlParser;44-51;44-51
adempiere;AccessSqlParserTest;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\compiere\model\AccessSqlParserTest.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\compiere\model\AccessSqlParser.java;JUnit5;209;3;Sensitive Equality;testAccessSqlParser;49-49;49-49
adempiere;AccessSqlParserTest;C:\Users\cebec\.jnose_projects\adempiere\base\test\src\org\compiere\model\AccessSqlParserTest.java;C:\Users\cebec\.jnose_projects\adempiere\base\src\org\compiere\model\AccessSqlParser.java;JUnit5;209;3;Assertion Roulette;testAccessSqlParser;49-49;49-49
