projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
adeptj-modules;UserRepositoryTest;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepositoryTest.java;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepository.java;JUnit5;462;45;Unknown Test;testInsert;128-148;128-148
adeptj-modules;UserRepositoryTest;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepositoryTest.java;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepository.java;JUnit5;462;45;Unknown Test;testBatchInsert;150-162;150-162
adeptj-modules;UserRepositoryTest;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepositoryTest.java;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepository.java;JUnit5;462;45;Unknown Test;testDoWithEntityManagerInTransaction;164-176;164-176
adeptj-modules;UserRepositoryTest;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepositoryTest.java;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepository.java;JUnit5;462;45;Unknown Test;testUpdateWithValidId;178-188;178-188
adeptj-modules;UserRepositoryTest;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepositoryTest.java;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepository.java;JUnit5;462;45;Unknown Test;testUpdateByCriteria;203-210;203-210
adeptj-modules;UserRepositoryTest;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepositoryTest.java;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepository.java;JUnit5;462;45;Unknown Test;testDelete;212-215;212-215
adeptj-modules;UserRepositoryTest;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepositoryTest.java;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepository.java;JUnit5;462;45;Unknown Test;testDeleteByCriteria;217-223;217-223
adeptj-modules;UserRepositoryTest;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepositoryTest.java;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepository.java;JUnit5;462;45;Unknown Test;testDeleteByJpaNamedQuery;225-230;225-230
adeptj-modules;UserRepositoryTest;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepositoryTest.java;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepository.java;JUnit5;462;45;Unknown Test;testFindByCriteria;232-239;232-239
adeptj-modules;UserRepositoryTest;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepositoryTest.java;C:\Users\cebec\.jnose_projects\adeptj-modules\data\jpa-eclipselink\src\test\java\com\adeptj\modules\data\jpa\UserRepository.java;JUnit5;462;45;Unknown Test;testFindById;241-245;241-245
