projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
adobe-dx;AuthorVhTest;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\test\java\com\adobe\dx\admin\authorvh\AuthorVhTest.java;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\main\java\com\adobe\dx\admin\authorvh\AuthorVh.java;JUnit5;86;6;Assertion Roulette;lockKey;61-61;61-61
adobe-dx;AuthorVhTest;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\test\java\com\adobe\dx\admin\authorvh\AuthorVhTest.java;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\main\java\com\adobe\dx\admin\authorvh\AuthorVh.java;JUnit5;86;6;Assertion Roulette;lockClasses;66-66;66-66
adobe-dx;AuthorVhTest;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\test\java\com\adobe\dx\admin\authorvh\AuthorVhTest.java;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\main\java\com\adobe\dx\admin\authorvh\AuthorVh.java;JUnit5;86;6;Assertion Roulette;testGetAttributes;73-73;73-73
adobe-dx;AuthorVhTest;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\test\java\com\adobe\dx\admin\authorvh\AuthorVhTest.java;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\main\java\com\adobe\dx\admin\authorvh\AuthorVh.java;JUnit5;86;6;Assertion Roulette;testGetAttributes;74-75;74-75
adobe-dx;AuthorVhTest;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\test\java\com\adobe\dx\admin\authorvh\AuthorVhTest.java;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\main\java\com\adobe\dx\admin\authorvh\AuthorVh.java;JUnit5;86;6;Assertion Roulette;testGetAttributes;76-76;76-76
adobe-dx;AuthorVhTest;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\test\java\com\adobe\dx\admin\authorvh\AuthorVhTest.java;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\main\java\com\adobe\dx\admin\authorvh\AuthorVh.java;JUnit5;86;6;Assertion Roulette;testGetAttributes;77-77;77-77
adobe-dx;AuthorVhTest;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\test\java\com\adobe\dx\admin\authorvh\AuthorVhTest.java;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\main\java\com\adobe\dx\admin\authorvh\AuthorVh.java;JUnit5;86;6;Assertion Roulette;testGetAttributes;78-78;78-78
adobe-dx;AuthorVhTest;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\test\java\com\adobe\dx\admin\authorvh\AuthorVhTest.java;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\main\java\com\adobe\dx\admin\authorvh\AuthorVh.java;JUnit5;86;6;Assertion Roulette;testGetAttributesOnPublish;84-84;84-84
adobe-dx;CaColorfieldModelTest;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\test\java\com\adobe\dx\admin\components\cacolorfield\CaColorfieldModelTest.java;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\main\java\com\adobe\dx\admin\components\cacolorfield\CaColorfieldModel.java;JUnit5;47;2;Assertion Roulette;testStandardUsage;44-44;44-44
adobe-dx;CaColorfieldModelTest;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\test\java\com\adobe\dx\admin\components\cacolorfield\CaColorfieldModelTest.java;C:\Users\cebec\.jnose_projects\adobe-dx\apps\admin\core\src\main\java\com\adobe\dx\admin\components\cacolorfield\CaColorfieldModel.java;JUnit5;47;2;Assertion Roulette;testStandardUsage;45-45;45-45
