projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
aem-cloud-migration;ContainerProjectDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\ContainerProjectDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\ContainerProjectDAO.java;JUnit4;116;7;Resource Optimism;testNewProjectsAddedToAllProjectWhenPresent;51-68;51-68
aem-cloud-migration;ContainerProjectDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\ContainerProjectDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\ContainerProjectDAO.java;JUnit4;116;7;Resource Optimism;testFilterAdded;70-95;70-95
aem-cloud-migration;ContainerProjectDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\ContainerProjectDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\ContainerProjectDAO.java;JUnit4;116;7;Lazy Test;testFilterAdded, testNewProjectsAddedToAllProjectWhenPresent;73, 54;73, 54
aem-cloud-migration;ContainerProjectDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\ContainerProjectDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\ContainerProjectDAO.java;JUnit4;116;7;Lazy Test;testFilterAdded, testNewProjectsAddedToAllProjectWhenPresent;76, 58, 57;76, 58, 57
aem-cloud-migration;ContainerProjectDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\ContainerProjectDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\ContainerProjectDAO.java;JUnit4;116;7;Eager Test;testNewProjectsAddedToAllProjectWhenPresent;54, 58;54, 58
aem-cloud-migration;ContainerProjectDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\ContainerProjectDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\ContainerProjectDAO.java;JUnit4;116;7;Eager Test;testFilterAdded;73, 76;73, 76
aem-cloud-migration;ContainerProjectDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\ContainerProjectDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\ContainerProjectDAO.java;JUnit4;116;7;Assertion Roulette;testFilterAdded;94-94;94-94
aem-cloud-migration;ContainerProjectDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\ContainerProjectDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\ContainerProjectDAO.java;JUnit4;116;7;Conditional Test Logic;testFilterAdded;88-91;88-91
aem-cloud-migration;ContainerProjectDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\ContainerProjectDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\ContainerProjectDAO.java;JUnit4;116;7;Conditional Test Logic;testFilterAdded;86-92;86-92
aem-cloud-migration;ContainerProjectDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\ContainerProjectDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\ContainerProjectDAO.java;JUnit4;116;7;Mystery Guest;testNewProjectsAddedToAllProjectWhenPresent;51-68;51-68
aem-cloud-migration;ContainerProjectDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\ContainerProjectDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\ContainerProjectDAO.java;JUnit4;116;7;Mystery Guest;testFilterAdded;70-95;70-95
aem-cloud-migration;FilterFileDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\FilterFileDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\FilterFileDAO.java;JUnit4;104;9;Resource Optimism;setUp;45-53;45-53
aem-cloud-migration;FilterFileDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\FilterFileDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\FilterFileDAO.java;JUnit4;104;9;Magic Number Test;testFilterAdded;59;59
aem-cloud-migration;FilterFileDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\FilterFileDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\FilterFileDAO.java;JUnit4;104;9;Magic Number Test;testDuplicateFiltersNotAdded;67;67
aem-cloud-migration;FilterFileDAOTest;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\test\java\com\adobe\skyline\migration\dao\FilterFileDAOTest.java;C:\Users\cebec\.jnose_projects\aem-cloud-migration\src\main\java\com\adobe\skyline\migration\dao\FilterFileDAO.java;JUnit4;104;9;Magic Number Test;testRemovePath;82;82
