projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
agile-wroking-backend;ScheduleRepositoryTest;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\test\java\org\catframework\agileworking\domain\ScheduleRepositoryTest.java;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\main\java\org\catframework\agileworking\domain\ScheduleRepository.java;JUnit4;91;12;Magic Number Test;testFindScheules;78;78
agile-wroking-backend;ScheduleRepositoryTest;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\test\java\org\catframework\agileworking\domain\ScheduleRepositoryTest.java;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\main\java\org\catframework\agileworking\domain\ScheduleRepository.java;JUnit4;91;12;Magic Number Test;testFindScheules;87;87
agile-wroking-backend;ScheduleRepositoryTest;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\test\java\org\catframework\agileworking\domain\ScheduleRepositoryTest.java;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\main\java\org\catframework\agileworking\domain\ScheduleRepository.java;JUnit4;91;12;Assertion Roulette;testFindScheules;78-78;78-78
agile-wroking-backend;ScheduleRepositoryTest;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\test\java\org\catframework\agileworking\domain\ScheduleRepositoryTest.java;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\main\java\org\catframework\agileworking\domain\ScheduleRepository.java;JUnit4;91;12;Assertion Roulette;testFindScheules;79-79;79-79
agile-wroking-backend;ScheduleRepositoryTest;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\test\java\org\catframework\agileworking\domain\ScheduleRepositoryTest.java;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\main\java\org\catframework\agileworking\domain\ScheduleRepository.java;JUnit4;91;12;Assertion Roulette;testFindScheules;84-84;84-84
agile-wroking-backend;ScheduleRepositoryTest;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\test\java\org\catframework\agileworking\domain\ScheduleRepositoryTest.java;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\main\java\org\catframework\agileworking\domain\ScheduleRepository.java;JUnit4;91;12;Assertion Roulette;testFindScheules;82-82;82-82
agile-wroking-backend;ScheduleRepositoryTest;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\test\java\org\catframework\agileworking\domain\ScheduleRepositoryTest.java;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\main\java\org\catframework\agileworking\domain\ScheduleRepository.java;JUnit4;91;12;Assertion Roulette;testFindScheules;87-87;87-87
agile-wroking-backend;ScheduleRepositoryTest;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\test\java\org\catframework\agileworking\domain\ScheduleRepositoryTest.java;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\main\java\org\catframework\agileworking\domain\ScheduleRepository.java;JUnit4;91;12;Exception Catching Throwing;testFindScheules;80-85;80-85
agile-wroking-backend;ScheduleTest;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\test\java\org\catframework\agileworking\domain\ScheduleTest.java;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\main\java\org\catframework\agileworking\domain\Schedule.java;JUnit4;52;2;Magic Number Test;testCompareTo;19;19
agile-wroking-backend;ScheduleTest;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\test\java\org\catframework\agileworking\domain\ScheduleTest.java;C:\Users\cebec\.jnose_projects\agile-wroking-backend\src\main\java\org\catframework\agileworking\domain\Schedule.java;JUnit4;52;2;Magic Number Test;testCompareTo;21;21
