projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
airbrake-java;AirbrakeAppenderTest;C:\Users\cebec\.jnose_projects\airbrake-java\src\test\java\airbrake\AirbrakeAppenderTest.java;C:\Users\cebec\.jnose_projects\airbrake-java\src\main\java\airbrake\AirbrakeAppender.java;JUnit4;89;7;Lazy Test;testNotyfyThrowable$UseSwitchBacktrace, testNotyfyThrowable$UseRubyBacktrace, testNotyfyThrowable$UseQuiteBacktrace, testNotyfyThrowable$UseBacktrace, testNotyfyThrowable, testNewAppenderWithApiKeyAndBacktrace, testNewAppenderWithApiKey;86, 82, 70, 60, 48, 38, 29, 20;86, 82, 70, 60, 48, 38, 29, 20
airbrake-java;AirbrakeAppenderTest;C:\Users\cebec\.jnose_projects\airbrake-java\src\test\java\airbrake\AirbrakeAppenderTest.java;C:\Users\cebec\.jnose_projects\airbrake-java\src\main\java\airbrake\AirbrakeAppender.java;JUnit4;89;7;Lazy Test;testNotyfyThrowable$UseSwitchBacktrace, testNotyfyThrowable$UseRubyBacktrace, testNotyfyThrowable$UseQuiteBacktrace, testNotyfyThrowable$UseBacktrace, testNotyfyThrowable, testNewAppenderWithApiKeyAndBacktrace, testNewAppenderWithApiKey;79, 68, 58, 46, 36, 27, 18;79, 68, 58, 46, 36, 27, 18
airbrake-java;AirbrakeAppenderTest;C:\Users\cebec\.jnose_projects\airbrake-java\src\test\java\airbrake\AirbrakeAppenderTest.java;C:\Users\cebec\.jnose_projects\airbrake-java\src\main\java\airbrake\AirbrakeAppender.java;JUnit4;89;7;Eager Test;testNewAppenderWithApiKey;18, 20;18, 20
airbrake-java;AirbrakeAppenderTest;C:\Users\cebec\.jnose_projects\airbrake-java\src\test\java\airbrake\AirbrakeAppenderTest.java;C:\Users\cebec\.jnose_projects\airbrake-java\src\main\java\airbrake\AirbrakeAppender.java;JUnit4;89;7;Eager Test;testNewAppenderWithApiKeyAndBacktrace;27, 29;27, 29
airbrake-java;AirbrakeAppenderTest;C:\Users\cebec\.jnose_projects\airbrake-java\src\test\java\airbrake\AirbrakeAppenderTest.java;C:\Users\cebec\.jnose_projects\airbrake-java\src\main\java\airbrake\AirbrakeAppender.java;JUnit4;89;7;Eager Test;testNotyfyThrowable;36, 38;36, 38
airbrake-java;AirbrakeAppenderTest;C:\Users\cebec\.jnose_projects\airbrake-java\src\test\java\airbrake\AirbrakeAppenderTest.java;C:\Users\cebec\.jnose_projects\airbrake-java\src\main\java\airbrake\AirbrakeAppender.java;JUnit4;89;7;Eager Test;testNotyfyThrowable$UseBacktrace;46, 48;46, 48
airbrake-java;AirbrakeAppenderTest;C:\Users\cebec\.jnose_projects\airbrake-java\src\test\java\airbrake\AirbrakeAppenderTest.java;C:\Users\cebec\.jnose_projects\airbrake-java\src\main\java\airbrake\AirbrakeAppender.java;JUnit4;89;7;Eager Test;testNotyfyThrowable$UseQuiteBacktrace;58, 60;58, 60
airbrake-java;AirbrakeAppenderTest;C:\Users\cebec\.jnose_projects\airbrake-java\src\test\java\airbrake\AirbrakeAppenderTest.java;C:\Users\cebec\.jnose_projects\airbrake-java\src\main\java\airbrake\AirbrakeAppender.java;JUnit4;89;7;Eager Test;testNotyfyThrowable$UseRubyBacktrace;68, 70;68, 70
airbrake-java;AirbrakeAppenderTest;C:\Users\cebec\.jnose_projects\airbrake-java\src\test\java\airbrake\AirbrakeAppenderTest.java;C:\Users\cebec\.jnose_projects\airbrake-java\src\main\java\airbrake\AirbrakeAppender.java;JUnit4;89;7;Eager Test;testNotyfyThrowable$UseSwitchBacktrace;79, 86;79, 86
airbrake-java;AirbrakeAppenderTest;C:\Users\cebec\.jnose_projects\airbrake-java\src\test\java\airbrake\AirbrakeAppenderTest.java;C:\Users\cebec\.jnose_projects\airbrake-java\src\main\java\airbrake\AirbrakeAppender.java;JUnit4;89;7;Assertion Roulette;testNewAppenderWithApiKey;22-22;22-22
