projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
airlift;TestBootstrap;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\test\java\io\airlift\bootstrap\TestBootstrap.java;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\main\java\io\airlift\bootstrap\Bootstrap.java;None;182;13;Lazy Test;testSeparateConfigureAndInitialize, testLoggingConfiguredOnce, testUserErrorsReportedWithConfigurationProblem, testUserErrorsReported, testUnusedProperty, testDoesNotAllowCircularDependencies, testRequiresExplicitBindings;128, 120, 118, 98, 82, 70, 53, 40;128, 120, 118, 98, 82, 70, 53, 40
airlift;TestBootstrap;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\test\java\io\airlift\bootstrap\TestBootstrap.java;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\main\java\io\airlift\bootstrap\Bootstrap.java;None;182;13;Lazy Test;testSeparateConfigureAndInitialize, testLoggingConfiguredOnce, testUserErrorsReportedWithConfigurationProblem, testUserErrorsReported, testUnusedProperty, testDoesNotAllowCircularDependencies, testRequiresExplicitBindings;128, 120, 118, 98, 82, 70, 53, 40;128, 120, 118, 98, 82, 70, 53, 40
airlift;TestBootstrap;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\test\java\io\airlift\bootstrap\TestBootstrap.java;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\main\java\io\airlift\bootstrap\Bootstrap.java;None;182;13;Lazy Test;testSeparateConfigureAndInitialize, testLoggingConfiguredOnce, testUserErrorsReportedWithConfigurationProblem, testUserErrorsReported, testUnusedProperty, testDoesNotAllowCircularDependencies, testRequiresExplicitBindings;128, 120, 118, 98, 82, 70, 53, 40;128, 120, 118, 98, 82, 70, 53, 40
airlift;TestBootstrap;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\test\java\io\airlift\bootstrap\TestBootstrap.java;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\main\java\io\airlift\bootstrap\Bootstrap.java;None;182;13;Lazy Test;testSeparateConfigureAndInitialize, testLoggingConfiguredOnce, testUserErrorsReportedWithConfigurationProblem, testUserErrorsReported, testUnusedProperty, testDoesNotAllowCircularDependencies, testRequiresExplicitBindings;128, 120, 118, 98, 82, 70, 53, 40;128, 120, 118, 98, 82, 70, 53, 40
airlift;TestBootstrap;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\test\java\io\airlift\bootstrap\TestBootstrap.java;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\main\java\io\airlift\bootstrap\Bootstrap.java;None;182;13;Lazy Test;testSeparateConfigureAndInitialize, testLoggingConfiguredOnce, testUserErrorsReportedWithConfigurationProblem, testUserErrorsReported, testUnusedProperty, testDoesNotAllowCircularDependencies, testRequiresExplicitBindings;128, 120, 118, 98, 82, 70, 53, 40;128, 120, 118, 98, 82, 70, 53, 40
airlift;TestBootstrap;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\test\java\io\airlift\bootstrap\TestBootstrap.java;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\main\java\io\airlift\bootstrap\Bootstrap.java;None;182;13;Lazy Test;testSeparateConfigureAndInitialize, testLoggingConfiguredOnce, testUserErrorsReportedWithConfigurationProblem, testUserErrorsReported, testUnusedProperty, testDoesNotAllowCircularDependencies, testRequiresExplicitBindings;128, 120, 118, 98, 82, 70, 53, 40;128, 120, 118, 98, 82, 70, 53, 40
airlift;TestBootstrap;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\test\java\io\airlift\bootstrap\TestBootstrap.java;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\main\java\io\airlift\bootstrap\Bootstrap.java;None;182;13;Duplicate Assert;testUserErrorsReportedWithConfigurationProblem;109, 110;109, 110
airlift;TestBootstrap;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\test\java\io\airlift\bootstrap\TestBootstrap.java;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\main\java\io\airlift\bootstrap\Bootstrap.java;None;182;13;Duplicate Assert;testSeparateConfigureAndInitialize;137, 139;137, 139
airlift;TestBootstrap;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\test\java\io\airlift\bootstrap\TestBootstrap.java;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\main\java\io\airlift\bootstrap\Bootstrap.java;None;182;13;Assertion Roulette;testUnusedProperty;75-75;75-75
airlift;TestBootstrap;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\test\java\io\airlift\bootstrap\TestBootstrap.java;C:\Users\cebec\.jnose_projects\airlift\bootstrap\src\main\java\io\airlift\bootstrap\Bootstrap.java;None;182;13;Assertion Roulette;testUserErrorsReported;88-88;88-88
